gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
2640-6,1453327509672,base,0,1,0,0,director,"Move the airplane to the right"
2640-6,1453327524632,base,1,1,1,0,director,"Move the sunglasses to the right"
2640-6,1453327537563,base,0,1,2,0,director,"Move the barrel down"
2640-6,1453327550577,base,0,1,3,0,director,"Move the saxophone up"
2640-6,1453327559682,exp,0,4,0,0,director,"Move the carrot up"
2640-6,1453327572384,exp,1,4,1,0,director,"Move the large measuring cup down"
2640-6,1453327600418,exp,1,4,1,1,director,"Move the item below the large measuring cup to the left"
2640-6,1453327652509,exp,1,4,1,2,director,"Move the red text measuring cup down"
2640-6,1453327666931,exp,0,4,2,0,director,"Move the blue water bottle to the right"
2640-6,1453327676297,exp,0,4,3,0,director,"Move the chair to the left"
2640-6,1453327687549,exp,0,2,0,0,director,"Move the binoculars to the right"
2640-6,1453327697230,exp,0,2,1,0,director,"Move the wrench to the left"
2640-6,1453327705428,exp,1,2,2,0,director,"Move the toy block to the left"
2640-6,1453327731909,exp,1,2,2,1,director,"Move the block with the B one block to the left"
2640-6,1453327749230,exp,0,2,3,0,director,"Move the coffee cup to the right one block"
2640-6,1453327758651,base,0,7,0,0,director,"Move the magnet down"
2640-6,1453327765504,base,0,7,1,0,director,"Move the hand cuffs down"
2640-6,1453327775779,base,0,7,2,0,director,"Move the stuffed bear down"
2640-6,1453327782570,base,1,7,3,0,director,"Move the candle down"
2640-6,1453327790432,exp,0,6,0,0,director,"Move the banana up"
2640-6,1453327797725,exp,0,6,1,0,director,"Move the dollar bill right"
2640-6,1453327804913,exp,1,6,2,0,director,"Move the eraser up"
2640-6,1453327818651,exp,1,6,2,1,director,"Move the hand eraser up one block"
2640-6,1453327828383,exp,0,6,3,0,director,"Move the feather left one block"
2640-6,1453327839823,exp,0,3,0,0,director,"Move the scissors right"
2640-6,1453327847544,exp,0,3,1,0,director,"Move the knife down"
2640-6,1453327858533,exp,0,3,2,0,director,"Move the soap left"
2640-6,1453327867723,exp,1,3,3,0,director,"Move the cassette tape down"
2640-6,1453327876577,base,0,8,0,0,director,"Move the comb up"
2640-6,1453327884623,base,1,8,1,0,director,"Move the mouse up"
2640-6,1453327891604,base,0,8,2,0,director,"Move the frying pan up"
2640-6,1453327898695,base,0,8,3,0,director,"Move the piano left"
2640-6,1453327908549,base,0,5,0,0,director,"Move the basketball down"
2640-6,1453327917094,base,1,5,1,0,director,"Move the hair brush left"
2640-6,1453327924663,base,0,5,2,0,director,"Move the head phones left"
2640-6,1453327934147,base,0,5,3,0,director,"Move the book right"
