gameid,objectSet,label
5710-4,5,brush
5710-4,2,bottom block
5710-4,7,small candle
5710-4,4,large measuring cup
5710-4,1,glasses
5710-4,6,eraser
5710-4,8,mouse
5710-4,3,tape
3814-8,6,eraser
3814-8,1,glasses
3814-8,4,large measuring cup
3814-8,3,tape
3814-8,7,small candle
3814-8,2,bottom block
3814-8,8,mouse
3814-8,5,brush
5247-5,7,small candle
5247-5,6,eraser
5247-5,8,mouse
5247-5,2,bottom block
5247-5,1,glasses
5247-5,4,large measuring cup
5247-5,5,brush
5247-5,3,tape
3558-f,6,eraser
3558-f,4,large measuring cup
3558-f,7,small candle
3558-f,8,mouse
3558-f,2,bottom block
3558-f,3,tape
4171-7,4,large measuring cup
4171-7,2,bottom block
4171-7,8,mouse
4171-7,1,glasses
4171-7,3,tape
4171-7,7,small candle
4171-7,5,brush
4171-7,6,eraser
5416-8,3,tape
5416-8,2,bottom block
5416-8,6,eraser
5416-8,7,small candle
5416-8,1,glasses
5416-8,4,large measuring cup
5416-8,5,brush
5416-8,8,mouse
8325-c,4,large measuring cup
8325-c,8,mouse
8325-c,1,glasses
8325-c,7,small candle
8325-c,2,bottom block
8325-c,5,brush
8325-c,3,tape
8325-c,6,eraser
3571-8,8,mouse
3571-8,2,bottom block
3571-8,4,large measuring cup
3571-8,5,brush
3571-8,7,small candle
3571-8,6,eraser
3571-8,3,tape
3571-8,1,glasses
0626-a,3,tape
0626-a,8,mouse
0626-a,4,large measuring cup
0626-a,2,bottom block
0626-a,1,glasses
0626-a,7,small candle
0626-a,6,eraser
0626-a,5,brush
1628-4,2,bottom block
1628-4,6,eraser
1628-4,1,glasses
1628-4,4,large measuring cup
1628-4,8,mouse
1628-4,3,tape
1628-4,7,small candle
1628-4,5,brush
7121-5,6,eraser
7121-5,4,large measuring cup
7121-5,3,tape
7121-5,5,brush
7121-5,2,bottom block
7121-5,8,mouse
7121-5,1,glasses
7121-5,7,small candle
7812-0,1,glasses
7812-0,4,large measuring cup
7812-0,5,brush
7812-0,2,bottom block
7812-0,3,tape
7812-0,8,mouse
7812-0,6,eraser
7812-0,7,small candle
5035-0,3,tape
5035-0,4,large measuring cup
5035-0,8,mouse
5035-0,5,brush
5035-0,6,eraser
5035-0,7,small candle
5035-0,1,glasses
5035-0,2,bottom block
7071-f,6,eraser
7071-f,2,bottom block
7071-f,1,glasses
7071-f,5,brush
7071-f,7,small candle
7071-f,4,large measuring cup
7071-f,8,mouse
7071-f,3,tape
6696-5,4,large measuring cup
6696-5,6,eraser
6696-5,8,mouse
6696-5,3,tape
6696-5,7,small candle
6696-5,2,bottom block
6696-5,5,brush
6696-5,1,glasses
4798-e,8,mouse
4798-e,1,glasses
4798-e,5,brush
4798-e,3,tape
4798-e,7,small candle
4798-e,6,eraser
4798-e,2,bottom block
4798-e,4,large measuring cup
5071-3,7,small candle
5071-3,3,tape
5071-3,4,large measuring cup
5071-3,5,brush
5071-3,8,mouse
5071-3,1,glasses
5071-3,6,eraser
5071-3,2,bottom block
