gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents,targetCode1,distractCode1,altCode1,overCode1
9693-5,1.45E+12,base,1,1,1,0,director,move glasses right,1,1,0,0
8740-0,1.45E+12,base,1,1,1,0,director,black sunglasses right,1,0,0,1
8676-f,1.45E+12,base,1,1,1,0,director,glasses right,1,1,0,0
8136-9,1.45E+12,base,1,1,1,0,director,move the glasses one spot to the right,1,1,0,0
8008-1,1.45E+12,exp,1,1,1,0,director,sunglasses to the right 1 square,1,0,0,1
7690-9,1.45E+12,base,1,1,1,0,director,sun glasses right one,1,0,0,1
7316-5,1.45E+12,base,1,1,1,0,director,MOVE THE SUNGLASSES ONE SPACE TO THE RIGHT,1,0,0,1
6811-a,1.45E+12,exp,1,1,1,0,director,Move the sunglasses one space to the right,1,0,0,1
6794-e,1.45E+12,exp,1,1,1,0,director,move the sunglasses right,1,0,0,1
6008-1,1.45E+12,exp,1,1,1,0,director,glasses right,1,1,0,0
5712-f,1.45E+12,exp,1,1,1,0,director,move the sunglasses one block to the right,1,0,0,1
5535-6,1.45E+12,base,1,1,1,0,director,Move sunglasses to the right one space,1,0,0,1
5266-a,1.45E+12,exp,1,1,1,0,director,move sunglasses right,1,0,0,1
5186-6,1.45E+12,base,1,1,1,0,director,glasses right,1,1,0,0
4928-d,1.45E+12,base,1,1,1,0,director,Move the sunglasses one space to the right,1,0,0,1
4878-0,1.45E+12,base,1,1,1,0,director,"The glasses, move to the right one square",1,1,0,0
4726-f,1.45E+12,exp,1,1,1,0,director,Shades on the right next block ,1,0,0,1
4726-4,1.45E+12,base,1,1,1,0,director,Move the sunglasses to the right one into the black,1,0,0,1
3558-0,1.45E+12,exp,1,1,1,0,director,Move sunglasses to the right,1,0,0,1
3247-a,1.45E+12,base,1,1,1,0,director,glasses right,1,0,0,0
2942-9,1.45E+12,base,1,1,1,0,director,sunglasses to d4,1,0,0,1
2640-6,1.45E+12,base,1,1,1,0,director,Move the sunglasses to the right,1,0,0,1
2377-a,1.45E+12,base,1,1,1,0,director,sunglasses right,1,0,0,1
2255-1,1.45E+12,exp,1,1,1,0,director,Move the sunglasses right 1 space,1,0,0,1
1383-5,1.45E+12,exp,1,1,1,0,director,sunglasses right,1,0,0,1
1264-4,1.45E+12,exp,1,1,1,0,director,sunglasses right,1,0,0,1
1184-c,1.45E+12,base,1,1,1,0,director,Glasses right one space,1,1,0,0
0366-3,1.45E+12,exp,1,1,1,0,director,sunglasses right 1,1,0,0,1
0226-8,1.45E+12,base,1,1,1,0,director,Move the sunglasses 1 right,1,0,0,1
9693-5,1.45E+12,exp,1,2,2,0,director,b block left,1,0,0,0
8740-0,1.45E+12,base,1,2,2,0,director,toy block left,1,1,0,0
8676-f,1.45E+12,base,1,2,2,0,director,blue block left,1,1,0,0
8136-9,1.45E+12,exp,1,2,2,0,director,move the b cube one spot to the left,1,0,0,1
8008-1,1.45E+12,base,1,2,2,0,director,childs blue block left 1,1,0,1,1
7865-e,1.45E+12,base,1,2,2,0,director,Move the alphabet block left,1,1,0,0
7690-9,1.45E+12,exp,1,2,2,0,director,B box left one,1,0,0,0
7316-5,1.45E+12,exp,1,2,2,0,director,MOVE THE BLOCK ONE SPACE LEFT,1,1,0,0
6811-a,1.45E+12,exp,1,2,2,0,director,Move the blue block one space to the left,1,1,0,0
6794-e,1.45E+12,base,1,2,2,0,director,move the block to the left,1,1,0,0
6008-1,1.45E+12,base,1,2,2,0,director,block left,1,1,0,0
5712-f,1.45E+12,exp,1,2,2,0,director,move the block with the blue writing one block to the left,1,1,0,1
5535-6,1.45E+12,base,1,2,2,0,director,Move block left one space,1,1,0,0
5266-a,1.45E+12,base,1,2,2,0,director,move B left,1,0,0,0
5186-6,1.45E+12,base,1,2,2,0,director,B left,1,0,0,0
4928-d,1.45E+12,exp,1,2,2,0,director,"Move the block with the B"" one space left""",1,0,0,0
4878-0,1.45E+12,base,1,2,2,0,director,"Block, left one",1,1,0,0
4726-4,1.45E+12,exp,1,2,2,0,director,Move the B block to the left one,1,0,0,0
3558-0,1.45E+12,exp,1,2,2,0,director,Move block one space to left ƒ Blue block,1,1,0,0
3247-a,1.45E+12,exp,1,2,2,0,director,block left,1,1,0,0
2942-9,1.45E+12,exp,1,2,2,0,director,B.cube to c3,1,0,0,1
2640-6,1.45E+12,exp,1,2,2,0,director,Move the toy block to the left,1,1,0,0
2377-a,1.45E+12,exp,1,2,2,0,director,b block left,1,0,0,0
2255-1,1.45E+12,base,1,2,2,0,director,Move the bluish block with a B left 1 space,1,0,0,1
1408-9,1.45E+12,base,1,2,2,0,director,B block one space L,1,0,0,0
1383-5,1.45E+12,base,1,2,2,0,director,letter block left 1,1,1,0,0
1264-4,1.45E+12,base,1,2,2,0,director,block toy left,1,1,0,0
1184-c,1.45E+12,exp,1,2,2,0,director,block left one,1,1,0,0
0366-3,1.45E+12,exp,1,2,2,0,director,blue B block left 1,1,0,0,1
0226-8,1.45E+12,exp,1,2,2,0,director,move the blue B block 1 left,1,0,0,1
9693-5,1.45E+12,base,1,3,3,0,director,tape down,1,1,0,0
8740-0,1.45E+12,base,1,3,3,0,director,cassette down,1,0,0,1
8676-f,1.45E+12,exp,1,3,3,0,director,cassette down,1,0,0,1
8136-9,1.45E+12,base,1,3,3,0,director,move cassette one down,1,0,0,1
8008-1,1.45E+12,base,1,3,3,0,director,cassette down 1,1,0,0,1
7865-e,1.45E+12,exp,1,3,3,0,director,Move the cassette tape down,1,0,0,1
7690-9,1.45E+12,exp,1,3,3,0,director,tape down one,1,1,0,1
7316-5,1.45E+12,base,1,3,3,0,director,MOVE THE CASSETTE TAPE ONE SPACE DOWN,1,0,0,1
6811-a,1.45E+12,exp,1,3,3,0,director,Move the cassette down one space,1,0,0,1
6794-e,1.45E+12,exp,1,3,3,0,director,move the cassette tape down,1,0,0,1
6008-1,1.45E+12,base,1,3,3,0,director,tape down,1,1,0,0
5712-f,1.45E+12,base,1,3,3,0,director,move the cassette tape one block down to the block directly beneath it,1,0,0,1
5535-6,1.45E+12,base,1,3,3,0,director,Move tape down one space,1,1,0,0
5266-a,1.45E+12,exp,1,3,3,0,director,move clear audiocassette down 1 spot,1,0,0,1
5186-6,1.45E+12,base,1,3,3,0,director,casette down,1,0,0,1
4928-d,1.45E+12,exp,1,3,3,0,director,Move the cassette tape one space down,1,0,0,1
4878-0,1.45E+12,base,1,3,3,0,director,"Cassette Tape, down one",1,0,0,1
4726-f,1.45E+12,base,1,3,3,0,director,Tape to the block that is down,1,1,0,0
4726-4,1.45E+12,base,1,3,3,0,director,Move the cassette tape down one into the black space,1,0,0,1
3558-0,1.45E+12,base,1,3,3,0,director,Cassette down one,1,0,0,1
3247-a,1.45E+12,base,1,3,3,0,director,tape down,1,1,0,0
2942-9,1.45E+12,exp,1,3,3,0,director,cassette tape to c2,1,0,0,1
2640-6,1.45E+12,exp,1,3,3,0,director,Move the cassette tape down,1,0,0,1
2377-a,1.45E+12,exp,1,3,3,0,director,cassette tape down,1,0,0,1
2255-1,1.45E+12,exp,1,3,3,0,director,Move the cassette down 1 space,1,0,0,1
1408-9,1.45E+12,exp,1,3,3,0,director,cassette 1 D,1,0,0,1
1383-5,1.45E+12,base,1,3,3,0,director,down tape,1,1,0,0
1264-4,1.45E+12,base,1,3,3,0,director,Cassette tape down,1,0,0,1
1184-c,1.45E+12,base,1,3,3,0,director,tape down one,1,1,0,0
0366-3,1.45E+12,exp,1,3,3,0,director,cassette tap down 1ƒ tape,1,0,0,1
0226-8,1.45E+12,base,1,3,3,0,director,move the casette tape one down,1,0,0,1
9693-5,1.45E+12,base,1,4,1,0,director,large measure cup down,1,1,0,0
8740-0,1.45E+12,base,1,4,1,0,director,pyrex measuring cup down,1,0,0,1
8676-f,1.45E+12,base,1,4,1,0,director,pyrex down,1,0,0,1
8136-9,1.45E+12,base,1,4,1,0,director,move the measuring cup one down,1,1,0,0
8008-1,1.45E+12,base,1,4,1,0,director,big measuring cup down ,1,1,0,0
7865-e,1.45E+12,exp,1,4,1,0,director,Move the measuring cup with handle down,1,1,0,0
7690-9,1.45E+12,base,1,4,1,0,director,measuring cup down one,1,1,0,0
7316-5,1.45E+12,exp,1,4,1,0,director,MOVE THE MEASURE CUP ONE SPACE DOWN,1,1,0,0
6811-a,1.45E+12,exp,1,4,1,0,director,Move the measuring cup down one space,1,1,0,0
6794-e,1.45E+12,base,1,4,1,0,director,move the measuring cup down,1,1,0,0
6008-1,1.45E+12,exp,1,4,1,0,director,measuring thing down,1,1,0,0
5712-f,1.45E+12,exp,1,4,1,0,director,move the measuring cup one block down to the block directly beneath it,1,1,0,0
5266-a,1.45E+12,base,1,4,1,0,director,move pyrex thing down,1,0,0,0
5186-6,1.45E+12,exp,1,4,1,0,director,Pyrex cup down,1,0,0,0
4928-d,1.45E+12,exp,1,4,1,0,director,Move the Pyrex measuring cup one space down,1,0,0,0
4878-0,1.45E+12,exp,1,4,1,0,director,Take the pyrex measuring cup (with the handle) and move it down one,1,0,0,1
4726-f,1.45E+12,base,1,4,1,0,director,measuring cup with the holder right down to it ,1,1,0,0
4726-4,1.45E+12,exp,1,4,1,0,director,Move the measuring cup down one spot into the black space,1,1,0,0
