gameid,objectSet,label,exp
7316-5,6,eraser,unscripted
6811-a,6,dryeraser,unscripted
6794-e,6,eraserexpo,unscripted
6008-1,6,eraser,unscripted
5712-f,6,eraser,unscripted
5535-6,6,expo,unscripted
5266-a,6,eraser,unscripted
5186-6,6,eraser,unscripted
4928-d,6,eraser,unscripted
4878-0,6,eraser,unscripted
4726-f,6,expoblock,unscripted
4726-4,6,eraser,unscripted
3558-0,6,eraser,unscripted
3247-a,6,eraser,unscripted
2942-9,6,expoeraser,unscripted
2640-6,6,eraser,unscripted
2377-a,6,whiteout,unscripted
2255-1,6,eraser,unscripted
1408-9,6,expo,unscripted
1383-5,6,eraser,unscripted
1264-4,6,expoeraser,unscripted
1184-c,6,eraser,unscripted
0366-3,6,blackeraser,unscripted
0226-8,6,expoeraser,unscripted
9693-5,7,candle,unscripted
8740-0,7,litcandle,unscripted
8676-f,7,candle,unscripted
8136-9,7,redcandle,unscripted
8008-1,7,redcandle,unscripted
7865-e,7,redcandle,unscripted
7690-9,7,redcandle,unscripted
7316-5,7,candle,unscripted
6811-a,7,candle,unscripted
6794-e,7,redcandle,unscripted
6008-1,7,candle,unscripted
5712-f,7,candle,unscripted
5535-6,7,candle,unscripted
5266-a,7,redcandle,unscripted
5186-6,7,redcandle,unscripted
4928-d,7,redcandleholder,unscripted
4878-0,7,candle,unscripted
4726-f,7,candle,unscripted
4726-4,7,candle,unscripted
3558-0,7,candle,unscripted
3247-a,7,candle,unscripted
2942-9,7,candle,unscripted
2640-6,7,candle,unscripted
2377-a,7,candlestick,unscripted
2255-1,7,candle,unscripted
1408-9,7,candle,unscripted
1383-5,7,candle,unscripted
1264-4,7,redcandle,unscripted
1184-c,7,candle,unscripted
0366-3,7,redcandle,unscripted
0226-8,7,redcandlestick,unscripted
9693-5,8,mouse,unscripted
8740-0,8,silvermouse,unscripted
8676-f,8,mouse,unscripted
8136-9,8,mouse,unscripted
8008-1,8,mouse,unscripted
7865-e,8,mouse,unscripted
7690-9,8,mouse,unscripted
7316-5,8,mouse,unscripted
6811-a,8,mouse,unscripted
6794-e,8,computermouse,unscripted
6008-1,8,mouse,unscripted
5712-f,8,computermouse,unscripted
5535-6,8,mouse,unscripted
5266-a,8,mouse,unscripted
5186-6,8,computermouse,unscripted
4928-d,8,mouse,unscripted
4878-0,8,mouse,unscripted
4726-f,8,mouse,unscripted
4726-4,8,mouse,unscripted
3558-0,8,mouse,unscripted
3247-a,8,mouse,unscripted
2942-9,8,mouse,unscripted
2640-6,8,mouse,unscripted
2377-a,8,mouse,unscripted
2255-1,8,mouse,unscripted
1408-9,8,mouse,unscripted
1383-5,8,mouse,unscripted
1264-4,8,computermouse,unscripted
1184-c,8,mouse,unscripted
0366-3,8,mouse,unscripted
0226-8,8,greymouse,unscripted
