gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
7865-e,1453322775074,exp,0,8,0,0,director,"Move the comb up"
7865-e,1453322790570,exp,1,8,1,0,director,"Move the mouse up"
7865-e,1453322810074,exp,1,8,1,1,director,"Move the computer mouse up"
7865-e,1453322825603,exp,0,8,2,0,director,"Move the frying pan up"
7865-e,1453322841059,exp,0,8,3,0,director,"Move the piano left"
7865-e,1453322855499,base,0,5,0,0,director,"Move the basketball down"
7865-e,1453322872451,base,1,5,1,0,director,"Move the hair brush left"
7865-e,1453322884915,base,0,5,2,0,director,"Move the headphones left"
7865-e,1453322897155,base,0,5,3,0,director,"Move the book right"
7865-e,1453322918563,base,0,7,0,0,director,"Move the magnet down"
7865-e,1453322929787,base,0,7,1,0,director,"Move the handcuffs down"
7865-e,1453322942091,base,0,7,2,0,director,"Move the panda bear down"
7865-e,1453322965804,base,1,7,3,0,director,"Move the red candle down"
7865-e,1453322978916,exp,0,3,0,0,director,"Move the scissors right"
7865-e,1453322989972,exp,0,3,1,0,director,"Move the knife down"
7865-e,1453323002236,exp,0,3,2,0,director,"Move the soap bar left"
7865-e,1453323014093,exp,1,3,3,0,director,"Move the cassette tape down"
7865-e,1453323025438,exp,0,1,0,0,director,"Move the airplane right"
7865-e,1453323056389,exp,1,1,1,1,director,"Move the sunglasses right"
7865-e,1453323068373,exp,0,1,2,0,director,"Move the barrel down"
7865-e,1453323083165,exp,0,1,3,0,director,"Move the saxophone up"
7865-e,1453323095869,base,0,2,0,0,director,"Move the binoculars right"
7865-e,1453323119805,base,0,2,1,0,director,"Move the crescent wrench left"
7865-e,1453323136173,base,1,2,2,0,director,"Move the alphabet block left"
7865-e,1453323151829,base,0,2,3,0,director,"Move the coffee cup right"
7865-e,1453323170054,exp,0,4,0,0,director,"Move the carrot up"
7865-e,1453323186510,exp,1,4,1,0,director,"Move the measuring cup with handle down"
7865-e,1453323209390,exp,1,4,1,1,director,"Move the pyrex cup down"
7865-e,1453323243902,exp,0,4,2,0,director,"Move the water bottle right"
7865-e,1453323259798,exp,0,4,3,0,director,"Move the chair left"
7865-e,1453323278118,base,0,6,0,0,director,"Move the banana up"
7865-e,1453323311903,base,0,6,1,1,director,"Move the dollar bill right"
7865-e,1453323325655,base,1,6,2,0,director,"Move the eraser up"
7865-e,1453323336271,base,0,6,3,0,director,"Move the feather left"
