gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
3558-0,1453322115613,exp,0,2,0,0,matcher,"I'm ready"
3558-0,1453322149109,exp,0,2,0,0,director,"Move the binoculars to the right"
3558-0,1453322163225,exp,0,2,1,0,director,"Move wrench one space to the left"
3558-0,1453322174751,exp,1,2,2,0,director,"Move block one space to left"
3558-0,1453322194027,exp,1,2,2,0,director,"Blue block"
3558-0,1453322196012,exp,1,2,2,0,matcher,"I can't move the yellow block"
3558-0,1453322207525,exp,0,2,3,0,director,"Move mug one space to the right"
3558-0,1453322216928,base,0,6,0,0,director,"Move banana one space up"
3558-0,1453322226312,base,0,6,1,0,director,"Move dollar one space right"
3558-0,1453322237498,base,1,6,2,0,director,"Move eraser up one space"
3558-0,1453322247300,base,0,6,3,0,director,"Move feather one space left"
3558-0,1453322256779,base,0,7,0,0,director,"Move magnet down one"
3558-0,1453322266250,base,0,7,1,0,director,"Move handcuffs down one"
3558-0,1453322275793,base,0,7,2,0,director,"Move panda down one"
3558-0,1453322285184,base,1,7,3,0,director,"Move candle down one"
3558-0,1453322298437,exp,0,5,0,0,director,"Pull basketball down one"
3558-0,1453322310292,exp,1,5,1,0,director,"Move hairbrush to the left"
3558-0,1453322321120,exp,0,5,2,0,director,"Move headphones left"
3558-0,1453322332806,exp,0,5,3,0,director,"Book to the right"
3558-0,1453322342220,exp,0,1,0,0,director,"Airplane to the right"
3558-0,1453322353270,exp,1,1,1,0,director,"Move sunglasses to the right"
3558-0,1453322365280,exp,0,1,2,0,director,"Please move barrel down one"
3558-0,1453322375604,exp,0,1,3,0,director,"Sax up one"
3558-0,1453322383858,base,0,8,0,0,director,"Comb up one space"
3558-0,1453322392545,base,1,8,1,0,director,"Mouse up one space"
3558-0,1453322401452,base,0,8,2,0,director,"Move pan up one"
3558-0,1453322409396,base,0,8,3,0,director,"Move piano to the left"
3558-0,1453322418948,base,0,3,0,0,director,"Scissors to the right"
3558-0,1453322426460,base,0,3,1,0,director,"Knife down one"
3558-0,1453322436354,base,0,3,2,0,director,"Soap to the left"
3558-0,1453322446253,base,1,3,3,0,director,"Cassette down one"
3558-0,1453322455304,exp,0,4,0,0,director,"Carrot up one space"
3558-0,1453322471873,exp,1,4,1,0,director,"Large measuring glass down one"
3558-0,1453322485401,exp,1,4,1,0,matcher,"the one with the handle?"
3558-0,1453322491342,exp,1,4,1,0,director,"Yes, the pyrex"
3558-0,1453322502389,exp,0,4,2,0,director,"Move water bottle over to the right"
3558-0,1453322512536,exp,0,4,3,0,director,"move chair to left"
