gameid, time, condition, critical, objectSet, instructionNum, attemptNum, targetX, targetY, distractorX, distractorY, mouseX, mouseY
0366-3,1453325890945,base,0,8,0,0,93.75,231.25,none,none,298,300
0366-3,1453325891007,base,0,8,0,0,93.75,231.25,none,none,276,308
0366-3,1453325891033,base,0,8,0,0,93.75,231.25,none,none,248,313
0366-3,1453325891033,base,0,8,0,0,93.75,231.25,none,none,195,318
0366-3,1453325891033,base,0,8,0,0,93.75,231.25,none,none,114,322
0366-3,1453325891034,base,0,8,0,0,93.75,231.25,none,none,71,322
0366-3,1453325891047,base,0,8,0,0,93.75,231.25,none,none,36,321
0366-3,1453325891060,base,0,8,0,0,93.75,231.25,none,none,3,315
0366-3,1453325901005,base,0,8,0,0,93.75,231.25,none,none,7,257
0366-3,1453325901039,base,0,8,0,0,93.75,231.25,none,none,22,254
0366-3,1453325901039,base,0,8,0,0,93.75,231.25,none,none,31,251
0366-3,1453325901051,base,0,8,0,0,93.75,231.25,none,none,35,251
0366-3,1453325901081,base,0,8,0,0,93.75,231.25,none,none,36,251
0366-3,1453325901081,base,0,8,0,0,93.75,231.25,none,none,38,251
0366-3,1453325901092,base,0,8,0,0,93.75,231.25,none,none,39,251
0366-3,1453325901120,base,0,8,0,0,93.75,231.25,none,none,41,251
0366-3,1453325901126,base,0,8,0,0,93.75,231.25,none,none,43,251
0366-3,1453325901152,base,0,8,0,0,93.75,231.25,none,none,44,251
0366-3,1453325901166,base,0,8,0,0,93.75,231.25,none,none,45,251
0366-3,1453325901193,base,0,8,0,0,93.75,231.25,none,none,46,251
0366-3,1453325901193,base,0,8,0,0,93.75,231.25,none,none,47,250
0366-3,1453325901221,base,0,8,0,0,93.75,231.25,none,none,51,248
0366-3,1453325901225,base,0,8,0,0,93.75,231.25,none,none,60,245
0366-3,1453325901252,base,0,8,0,0,93.75,231.25,none,none,62,245
0366-3,1453325902507,base,0,8,0,0,93.75,231.25,none,none,71,243
0366-3,1453325902507,base,0,8,0,0,93.75,231.25,none,none,74,242
0366-3,1453325902507,base,0,8,0,0,93.75,231.25,none,none,77,241
0366-3,1453325902507,base,0,8,0,0,93.75,231.25,none,none,78,241
0366-3,1453325902507,base,0,8,0,0,93.75,231.25,none,none,78,237
0366-3,1453325902508,base,0,8,0,0,95,229,none,none,78,228
0366-3,1453325902508,base,0,8,0,0,95,219,none,none,78,219
0366-3,1453325902508,base,0,8,0,0,95,211,none,none,78,210
0366-3,1453325902509,base,0,8,0,0,95,202,none,none,78,203
0366-3,1453325902509,base,0,8,0,0,95,195,none,none,77,193
0366-3,1453325902509,base,0,8,0,0,94,185,none,none,77,186
0366-3,1453325902509,base,0,8,0,0,94,177,none,none,76,179
0366-3,1453325902509,base,0,8,0,0,93,171,none,none,76,174
0366-3,1453325902510,base,0,8,0,0,93,165,none,none,75,167
0366-3,1453325902510,base,0,8,0,0,92,159,none,none,75,162
0366-3,1453325902510,base,0,8,0,0,92,154,none,none,74,158
0366-3,1453325902510,base,0,8,0,0,91,149,none,none,74,152
0366-3,1453325902510,base,0,8,0,0,91,144,none,none,73,148
0366-3,1453325902511,base,0,8,0,0,90,140,none,none,73,142
0366-3,1453325902511,base,0,8,0,0,90,134,none,none,72,138
0366-3,1453325902511,base,0,8,0,0,90,130,none,none,72,134
0366-3,1453325902511,base,0,8,0,0,90,125,none,none,72,131
0366-3,1453325902512,base,0,8,0,0,90,122,none,none,71,126
0366-3,1453325902512,base,0,8,0,0,90,118,none,none,71,122
0366-3,1453325902512,base,0,8,0,0,90,114,none,none,71,118
0366-3,1453325902512,base,0,8,0,0,90,109,none,none,71,111
0366-3,1453325902512,base,0,8,0,0,90,103,none,none,71,108
0366-3,1453325902513,base,0,8,0,0,90,100,none,none,70,104
0366-3,1453325902513,base,0,8,0,0,90,95,none,none,70,99
0366-3,1453325902513,base,0,8,0,0,90,91,none,none,70,96
0366-3,1453325902513,base,0,8,0,0,90,88,none,none,70,92
0366-3,1453325902514,base,0,8,0,0,90,83,none,none,70,91
