gameid,objectSet,text
9075-90e715e1-6ed3-4c5d-931a-00a4ea65040f,3,cassette tape
9364-1c5f814f-a77f-4f6f-ba61-eff48aae848d,4,measuring glass
9364-1c5f814f-a77f-4f6f-ba61-eff48aae848d,6,expo eraser
9364-1c5f814f-a77f-4f6f-ba61-eff48aae848d,2,block with B on top
9364-1c5f814f-a77f-4f6f-ba61-eff48aae848d,3,cassette tape
9364-1c5f814f-a77f-4f6f-ba61-eff48aae848d,7,red candle on stand
9364-1c5f814f-a77f-4f6f-ba61-eff48aae848d,8,silver (gray?) computer mouse
9364-1c5f814f-a77f-4f6f-ba61-eff48aae848d,1,black sunglasses
9364-1c5f814f-a77f-4f6f-ba61-eff48aae848d,5,black round brush with wooden handle
9374-45c200ac-fc35-406f-a1bb-ad2c4d35b4fc,2,alphabet block
9374-45c200ac-fc35-406f-a1bb-ad2c4d35b4fc,6,bundle which is near feather
9374-45c200ac-fc35-406f-a1bb-ad2c4d35b4fc,4,pyrex measuring cup
9374-45c200ac-fc35-406f-a1bb-ad2c4d35b4fc,7,lighted red candle
9374-45c200ac-fc35-406f-a1bb-ad2c4d35b4fc,8,silver mouse
9374-45c200ac-fc35-406f-a1bb-ad2c4d35b4fc,1,black sunglasses
9374-45c200ac-fc35-406f-a1bb-ad2c4d35b4fc,3,cassette recorder
9374-45c200ac-fc35-406f-a1bb-ad2c4d35b4fc,5,round hairbrush
9696-71907a9b-6b17-48d9-83a5-dcd44739991e,2,cube w/ a B
9696-71907a9b-6b17-48d9-83a5-dcd44739991e,3,cassette tape
9696-71907a9b-6b17-48d9-83a5-dcd44739991e,5,audio adapter
9696-71907a9b-6b17-48d9-83a5-dcd44739991e,1,sunglasses
9696-71907a9b-6b17-48d9-83a5-dcd44739991e,8,computer mouse
9696-71907a9b-6b17-48d9-83a5-dcd44739991e,4,measuring cup
9696-71907a9b-6b17-48d9-83a5-dcd44739991e,7,red candlestick
9696-71907a9b-6b17-48d9-83a5-dcd44739991e,6,chalkboard eraser
9774-a14f9086-ba45-44ee-a5f7-9b5f0703c41e,8,computer click
9774-a14f9086-ba45-44ee-a5f7-9b5f0703c41e,7,red
9774-a14f9086-ba45-44ee-a5f7-9b5f0703c41e,2,baby blue
9774-a14f9086-ba45-44ee-a5f7-9b5f0703c41e,4,handle cup
9774-a14f9086-ba45-44ee-a5f7-9b5f0703c41e,3,music
9774-a14f9086-ba45-44ee-a5f7-9b5f0703c41e,1,eyes
9774-a14f9086-ba45-44ee-a5f7-9b5f0703c41e,5,hair
9774-a14f9086-ba45-44ee-a5f7-9b5f0703c41e,6,box
