gameid,objectSet,text
1530-63446cf3-b006-4888-8af1-dc928951fabb,8,mouse
1530-63446cf3-b006-4888-8af1-dc928951fabb,5,brush
1530-63446cf3-b006-4888-8af1-dc928951fabb,4,measuring cup
1530-63446cf3-b006-4888-8af1-dc928951fabb,1,sunglasses
1530-63446cf3-b006-4888-8af1-dc928951fabb,7,candle
1530-63446cf3-b006-4888-8af1-dc928951fabb,6,chalkboard eraser
1530-63446cf3-b006-4888-8af1-dc928951fabb,3,cassette tape
1530-63446cf3-b006-4888-8af1-dc928951fabb,2,wooden block with B
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,8,silver mouse
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,2,block with a blue B
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,5,hairbrush
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,3,cassette tape
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,4,pyrex measuring cup
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,7,red candle
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,6,expo dry eraser
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,1,sunglasses
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,7,candle
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,1,sunglasses
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,8,computer mouse
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,5,hairbrush
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,2,toy block
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,3,cassette tape
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,4,pyrex measuring cup
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,6,expo eraser
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,8,mouse
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,2,B block
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,3,tape
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,5,brush
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,1,glasses
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,6,eraser
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,4,measure
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,7,candle
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,2,toy box
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,3,tape
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,6,eraser
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,7,candle
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,4,big measuring cup
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,1,black glasses
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,5,circular brush
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,8,silver mouse
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,8,computer mouse
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,3,cassette tape
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,2,B block
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,7,candle
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,4,large pyrex measuring cup
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,5,comb
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,1,sunglasses
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,6,whiteboard eraser
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,1,sunglasses
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,3,tape
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,7,candle
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,8,mouse
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,4,pyrex
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,6,eraser
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,2,B block
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,5,round brush
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,8,mouse
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,2,"toy alphabet block, blue with B"
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,5,round brush
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,6,eraser black with expo
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,3,cassette tape
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,4,large pyrex measuring cup
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,7,red candle
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,1,black sunglasses
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,8,mouse
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,6,eraser
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,3,cassette
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,2,B block
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,4,pyrex measuring cup
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,7,red candle
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,5,hairbrush
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,1,silver sunglasses
2424-e0f68d15-48c9-4e47-b792-605560d7a848,1,glasses
2424-e0f68d15-48c9-4e47-b792-605560d7a848,5,brush
2424-e0f68d15-48c9-4e47-b792-605560d7a848,8,mouse
2424-e0f68d15-48c9-4e47-b792-605560d7a848,3,cassette
2424-e0f68d15-48c9-4e47-b792-605560d7a848,6,expo
2424-e0f68d15-48c9-4e47-b792-605560d7a848,2,building block
2424-e0f68d15-48c9-4e47-b792-605560d7a848,4,pyrex cup
2424-e0f68d15-48c9-4e47-b792-605560d7a848,7,candle
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,8,mouse
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,2,letter block
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,6,eraser
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,5,brush
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,1,sunglasses
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,7,candle
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,3,cassette tape
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,4,measuring cup with handle
2639-58581614-3b73-42d8-952a-7193e7b52b79,8,mouse
2639-58581614-3b73-42d8-952a-7193e7b52b79,7,candle
2639-58581614-3b73-42d8-952a-7193e7b52b79,2,B block
2639-58581614-3b73-42d8-952a-7193e7b52b79,4,pyrex
2639-58581614-3b73-42d8-952a-7193e7b52b79,6,eraser
2639-58581614-3b73-42d8-952a-7193e7b52b79,3,tape
2639-58581614-3b73-42d8-952a-7193e7b52b79,5,round brush
2639-58581614-3b73-42d8-952a-7193e7b52b79,1,sunglasses
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,6,expo eraser
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,4,pyrex measuring cup
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,5,round hairbrush
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,2,block with letter B
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,7,red candle
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,3,cassette tape
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,1,sunglasses
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,8,mouse
2762-7c6e403e-e6c1-434c-a474-f37162627a34,5,hairbrush on bottom
2762-7c6e403e-e6c1-434c-a474-f37162627a34,6,eraser on bottom row
2762-7c6e403e-e6c1-434c-a474-f37162627a34,1,sunglasses in bottom row
2762-7c6e403e-e6c1-434c-a474-f37162627a34,7,candle in top row
2762-7c6e403e-e6c1-434c-a474-f37162627a34,2,B block in 3rd row
2762-7c6e403e-e6c1-434c-a474-f37162627a34,8,mouse in 3rd row
2762-7c6e403e-e6c1-434c-a474-f37162627a34,4,pyrex measuring cup in 3rd row
2762-7c6e403e-e6c1-434c-a474-f37162627a34,3,cassette in top row
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,5,hairbrush
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,1,sunglasses
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,7,red candle
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,8,computer mouse
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,6,expo eraser
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,2,B block
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,3,cassette tape
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,4,pyrex cup
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,5,hairbrush
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,7,red candle
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,4,pyrex measuring cup
