,attemptNum,condition,contents,critical,eventType,gameid,instructionNum,iterationName,objectSet,sender,serverTime,targetObject,trialNum,trialType,typingRT
0,0,unscripted,move the magnet down one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,planned_sample,7,director,1522820513314.0,magnet,1,base,4410
1,0,unscripted,move the handcuffs down one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,planned_sample,7,director,1522820535836.0,handcuffs,1,base,3898
2,0,unscripted,move the panda down one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,planned_sample,7,director,1522820552055.0,pandaToy,1,base,2590
3,0,unscripted,move the candle down one,True,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,planned_sample,7,director,1522820567709.0,mediumCandle,1,base,2510
4,0,unscripted,move the scissors left one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,planned_sample,3,director,1522820594794.0,scissors,2,exp,6620
5,0,unscripted,"ah, move them right",False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,planned_sample,3,director,1522820615656.0,scissors,2,exp,2800
6,0,unscripted,move the knife down,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,planned_sample,3,director,1522820630386.0,knife,2,exp,2550
7,0,unscripted,move the soap left one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,planned_sample,3,director,1522820644474.0,barOfSoap,2,exp,2798
8,0,unscripted,move the cassette down one,True,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,planned_sample,3,director,1522820660524.0,cassetteTape,2,exp,4168
9,0,unscripted,move the comb up one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,planned_sample,8,director,1522820674106.0,comb,3,exp,2416
10,0,unscripted,move the mouse up one,True,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,planned_sample,8,director,1522820688454.0,computerMouse,3,exp,2146
11,1,unscripted,move the computer mouse up one,True,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,planned_sample,8,director,1522820700934.0,computerMouse,3,exp,3048
12,0,unscripted,move the cast iron skillet up one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,planned_sample,8,director,1522820717351.0,castIronPan,3,exp,3956
13,0,unscripted,move the grand piano left one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,planned_sample,8,director,1522820731654.0,piano,3,exp,3620
14,0,unscripted,move the prop plane right one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,planned_sample,1,director,1522820750042.0,airplane,4,base,6354
15,0,unscripted,move the dark sunglasses right one,True,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,planned_sample,1,director,1522820769431.0,sunGlasses,4,base,5680
16,0,unscripted,move the wooden barrel down one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,planned_sample,1,director,1522820784675.0,barrel,4,base,4060
17,0,unscripted,move the silver saxaphone up one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,planned_sample,1,director,1522820800489.0,saxophone,4,base,5660
18,0,unscripted,move the orange basketball down one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,planned_sample,5,director,1522820817120.0,basketball,5,exp,4152
19,0,unscripted,move the thing that looks like a brush to the left one,True,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,planned_sample,5,director,1522820844158.0,roundBrush,5,exp,12676
20,1,unscripted,It's the one to the right of the gold/diamond ring~~~ Move it left one,True,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,planned_sample,5,director,1522820872075.0,roundBrush,5,exp,11972
21,0,unscripted,Move the red over ear headphones to the left one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,planned_sample,5,director,1522820896251.0,headphones,5,exp,6296
22,0,unscripted,move the red book to the right one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,planned_sample,5,director,1522820922557.0,book,5,exp,12746
23,0,unscripted,move the carrot up one,False,chatMessage,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,planned_sample,4,director,1522820938483.0,carrot,6,exp,4946
