gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
3494-2,1453165426617,base,0,6,0,0,director,"move the banana up one space"
3494-2,1453165440746,base,0,6,1,0,director,"move the dollar bill to the right"
3494-2,1453165454289,base,1,6,2,0,director,"move the expo eraseer one square up"
3494-2,1453165467715,base,0,6,3,0,director,"move the feather one square left"
3494-2,1453165485569,exp,0,2,0,0,director,"move the binolcuars one square right"
3494-2,1453165499441,exp,0,2,1,0,director,"move the wrench one square left"
3494-2,1453165513187,exp,1,2,2,0,director,"move the BLUE block one square left"
3494-2,1453165527166,exp,0,2,3,0,director,"move the coffee cup one square right"
3494-2,1453165540659,base,0,7,0,0,director,"move the magnet one square down"
3494-2,1453165552807,base,0,7,1,0,director,"move the handcuffs one square down"
3494-2,1453165561400,base,0,7,2,0,director,"move the panda one square down"
3494-2,1453165572056,base,1,7,3,0,director,"move the candle one square down"
3494-2,1453165580283,base,0,8,0,0,director,"comb one square up"
3494-2,1453165591463,base,1,8,1,0,director,"mouse one square up"
3494-2,1453165600517,base,0,8,2,0,director,"pan 1 sq up"
3494-2,1453165611430,base,0,8,3,0,director,"piano 1 sqs left"
3494-2,1453165617737,base,0,8,3,0,matcher,"dont even need to say sq "
3494-2,1453165623262,exp,0,1,0,0,matcher,":)"
3494-2,1453165627194,exp,0,1,0,0,director,"plane 1 right"
3494-2,1453165631497,exp,1,1,1,0,director,"kk"
3494-2,1453165637067,exp,1,1,1,0,director,"glasses one right"
3494-2,1453165645627,exp,0,1,2,0,director,"barrel 1 down"
3494-2,1453165651021,exp,0,1,3,0,director,"sax one up"
3494-2,1453165656216,exp,0,4,0,0,director,"carrot 1 up"
3494-2,1453165663023,exp,1,4,1,0,director,"pyrex one down"
3494-2,1453165671046,exp,0,4,2,0,director,"water bottle 1 right"
3494-2,1453165676787,exp,0,4,3,0,director,"chair one left"
3494-2,1453165682800,base,0,5,0,0,director,"basketball 1 down"
3494-2,1453165694637,base,1,5,1,0,director,"brush one left"
3494-2,1453165702175,base,0,5,2,0,director,"headphones one left"
3494-2,1453165710834,base,0,5,3,0,director,"book one right"
3494-2,1453165719036,exp,0,3,0,0,director,"scissors one right"
3494-2,1453165724980,exp,0,3,1,0,director,"knife one down"
3494-2,1453165733547,exp,0,3,2,0,director,"soap bar one left"
3494-2,1453165741319,exp,1,3,3,0,director,"tape one down"
3494-2,1453165751624,exp,1,3,3,1,director,"casette tape one down"
