gameid,trialNum,context,occlusions,text,numRawWords,hidden,colorMention,shapeMention,textureMention
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,1,far,irrelevant,blue square,2,yes,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,2,far,none,red triangle,2,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,3,far,none,black triangle,2,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,4,close,none,green star with dots,4,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,5,close,irrelevant,red star,2,yes,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,6,close,irrelevant,black circle,2,yes,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,7,far,irrelevant,red circle,2,yes,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,8,close,none,red star,2,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,9,close,irrelevant,blue star,2,yes,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,10,far,none,black square,2,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,11,far,irrelevant,blue square,2,yes,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,12,far,irrelevant,green circle,2,yes,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,13,close,none,red triangle,2,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,14,close,none,black triangle,2,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,15,close,irrelevant,blue square with little squares,5,yes,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,16,far,none,red triangle,2,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,17,far,none,green triangle,2,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,18,far,irrelevant,black square,2,yes,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,19,close,irrelevant,blue star,2,yes,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,20,close,none,blue circle,2,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,21,far,irrelevant,black star,2,yes,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,22,far,none,black circle,2,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,23,close,none,blue star,2,no,TRUE,TRUE,
0036-cbf7b0c5-6796-4e02-ac77-7a411b19dc73,24,close,irrelevant,black triangle,2,yes,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,1,far,irrelevant,The object is the striped triangle.,6,yes,FALSE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,2,far,irrelevant,The object is the checkered star.,6,yes,FALSE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,3,close,irrelevant,The object is the circle with waves.,7,yes,FALSE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,4,close,none,The object is the checkered triangle that is outlined in green.,11,no,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,5,close,irrelevant,The object is the triangle with waves that is outlined in black.,12,yes,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,6,far,none,The object is the checkered circle.,6,no,FALSE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,7,far,none,The object is the striped triangle.,6,no,FALSE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,8,close,none,The object is the striped square outlined in red.,9,no,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,9,close,irrelevant,The object is the checkered circle outlined in blue.,9,yes,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,10,close,none,The object is the striped circle outlined in red.,9,no,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,11,far,irrelevant,The object is the dotted square outlined in black.,9,yes,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,12,close,irrelevant,The object is the striped star outlined in blue.,9,yes,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,13,far,none,The object is the checkered square outlined in green.,9,no,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,14,far,none,The object is the wavy circle outlined in green.,9,no,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,15,close,none,The object is the wavy triangle outlined in black.,9,no,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,16,far,irrelevant,The object is the checkered circle outlined in red.,9,yes,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,17,far,none,The object is the checkered star outlined in black.,9,no,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,18,close,none,The object is the wavy square outlined in black.,9,no,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,19,close,irrelevant,The object is the wavy triangle outlined in red.,9,yes,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,20,far,none,The object is the dotted triangle outlined in black.,9,no,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,21,far,irrelevant,The object is the dotted star outlined in blue.,9,yes,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,22,far,irrelevant,The object is the dotted triangle outlined in red.,9,yes,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,23,close,irrelevant,The object is the dotted square outlined in blue.,9,yes,TRUE,TRUE,
0132-8ecccfe0-be22-46d9-a649-f8282878cd6a,24,close,none,The object is the striped star outlined in green.,9,no,TRUE,TRUE,
0134-ab144d5e-d784-4cbb-a3cc-73a04aeca49e,1,far,none,green square green square with checkerboards inside hello? Is anyone there and actually participating? If you don't do anything I'm going to disconnect and return this.,26,no,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,1,close,irrelevant,green triangle with vertical stripes,5,yes,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,2,far,none,red circle with horizontal wavy lines,6,no,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,3,close,irrelevant,black circle with vertical stripes,5,yes,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,4,close,none,red star with horizontal wavy lines,6,no,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,5,far,irrelevant,red square with checkers,4,yes,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,6,far,irrelevant,green star with horizontal wavy lines,6,yes,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,7,close,none,green star,2,no,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,8,far,none,triangle,1,no,FALSE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,9,far,irrelevant,blue triangle with horizontal wavy lines,6,yes,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,10,far,irrelevant,green triangle with vertical stripes,5,yes,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,11,close,irrelevant,green circle with dots,4,yes,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,12,close,irrelevant,blue triangle with horizontal wavy lines,6,yes,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,13,close,none,black square,2,no,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,14,far,none,square,1,no,FALSE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,15,close,none,green circle,2,no,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,16,far,none,circle,1,no,FALSE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,17,far,none,triangle,1,no,FALSE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,18,close,irrelevant,blue triangle with horizontal wavy lines,6,yes,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,19,close,none,green square,2,no,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,20,far,irrelevant,blue triangle with vertical lines,5,yes,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,21,close,irrelevant,blue square with horizontal wavy lines,6,yes,TRUE,TRUE,
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,22,far,irrelevant,blue square with checkers,4,yes,TRUE,TRUE,
