iterationName	gameid	time	distractorX	distractorY	targetX	targetY	mouseX	mouseY	eventType
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506671933	1500	300	300	900	890	918	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506671950	1500	300	300	900	885	918	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506671965	1500	300	300	900	883	918	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506671981	1500	300	300	900	880	918	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506671998	1500	300	300	900	878	918	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672014	1500	300	300	900	875	918	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672035	1500	300	300	900	871	918	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672048	1500	300	300	900	866	918	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672064	1500	300	300	900	861	918	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672080	1500	300	300	900	856	918	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672098	1500	300	300	900	848	916	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672114	1500	300	300	900	843	916	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672132	1500	300	300	900	834	916	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672148	1500	300	300	900	829	913	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672164	1500	300	300	900	824	913	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672181	1500	300	300	900	814	913	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672198	1500	300	300	900	809	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672224	1500	300	300	900	797	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672231	1500	300	300	900	789	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672248	1500	300	300	900	777	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672264	1500	300	300	900	765	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672281	1500	300	300	900	747	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672298	1500	300	300	900	730	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672314	1500	300	300	900	713	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672331	1500	300	300	900	686	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672348	1500	300	300	900	666	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672364	1500	300	300	900	639	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672380	1500	300	300	900	617	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672397	1500	300	300	900	577	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672414	1500	300	300	900	555	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672431	1500	300	300	900	533	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672448	1500	300	300	900	508	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672464	1500	300	300	900	486	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672481	1500	300	300	900	469	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672498	1500	300	300	900	457	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672514	1500	300	300	900	444	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672531	1500	300	300	900	434	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672552	1500	300	300	900	420	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672565	1500	300	300	900	407	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672581	1500	300	300	900	397	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672597	1500	300	300	900	380	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672615	1500	300	300	900	373	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672631	1500	300	300	900	365	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672648	1500	300	300	900	360	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506672709	1500	300	300	900	358	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506673037	1500	300	300	900	353	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506673310	1500	300	300	900	351	911	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506673725	1500	300	300	900	351	913	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506673806	1500	300	300	900	348	913	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506684906	none	none	1500	300	880	894	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506684919	none	none	1500	300	880	894	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506684926	none	none	1500	300	880	891	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506684931	none	none	1500	300	880	891	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506684951	none	none	1500	300	880	886	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506684953	none	none	1500	300	880	886	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506684972	none	none	1500	300	883	886	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506684977	none	none	1500	300	883	886	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506685370	none	none	1500	300	885	886	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506685377	none	none	1500	300	885	886	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506685389	none	none	1500	300	895	884	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506685405	none	none	1500	300	895	884	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506685407	none	none	1500	300	898	881	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506685409	none	none	1500	300	898	881	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506685419	none	none	1500	300	915	879	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506685423	none	none	1500	300	915	879	updateMouse
pilot0	7632-25123d63-fc4a-4e47-a78e-64b65160685c	1521506685436	none	none	1500	300	927	872	updateMouse
