gameid,objectSet,label
9693-5,1,glasses 
8740-0,1,black sunglasses
8676-f,1,glasses
8136-9,1,glasses
8008-1,1,sunglasses
7690-9,1,sunglasses
7316-5,1,sunglasses
6811-a,1,sunglasses
6794-e,1,sunglasses
6008-1,1,glasses
5712-f,1,sunglasses
5535-6,1,sunglasses
5266-a,1,sunglasses
5186-6,1,glasses
4928-d,1,sunglasses
4878-0,1,glasses
4726-f,1,shades
4726-4,1,sunglasses
3558-0,1,sunglasses
3247-a,1,glasses
2942-9,1,sunglasses
2640-6,1,sunglasses
2377-a,1,sunglasses
2255-1,1,sunglasses
1383-5,1,sunglasses
1264-4,1,sunglasses
1184-c,1,glasses
0366-3,1,sunglasses
0226-8,1,sunglasses
9693-5,2,B block
8740-0,2,toy block
8676-f,2,blue block
8136-9,2,B cube
8008-1,2,child's blue block
7865-e,2,alphabet block
7690-9,2,B box
7316-5,2,block
6811-a,2,blue block
6794-e,2,block
6008-1,2,block
5712-f,2,block with the blue writing
5535-6,2,block
5266-a,2,B
5186-6,2,B
4928-d,2,block with the B
4878-0,2,block
4726-4,2,B block
3558-0,2,blue block
3247-a,2,block
2942-9,2,B cube
2640-6,2,toy block
2377-a,2,B block
2255-1,2,the bluish block with a B
1408-9,2,B block
1383-5,2,letter block
1264-4,2,block toy
1184-c,2,block
0366-3,2,blue B block
0226-8,2,blue B block
9693-5,3,tape
8740-0,3,cassette
8676-f,3,cassette
8136-9,3,cassette
8008-1,3,cassette
7865-e,3,cassette tape
7690-9,3,tape
7316-5,3,cassette tape
6811-a,3,cassette
6794-e,3,cassette tape
6008-1,3,tape
5712-f,3,cassette tape
5535-6,3,tape
5266-a,3,clear audiocassette
5186-6,3,cassette
4928-d,3,cassette tape
4878-0,3,cassette tape
4726-f,3,tape
4726-4,3,cassette tape
3558-0,3,cassette
3247-a,3,tape
2942-9,3,cassette tape
2640-6,3,cassette tape
2377-a,3,cassette tape
2255-1,3,cassette
1408-9,3,cassette
1383-5,3,tape
1264-4,3,cassette tape
1184-c,3,tape
0366-3,3,cassette tape
0226-8,3,cassette tape
9693-5,4,large measure cup
8740-0,4,pyrex measuring cup
8676-f,4,pyrex
8136-9,4,measuring cup
8008-1,4,big measuring cup
7865-e,4,measuring cup with handle
7690-9,4,measuring cup
7316-5,4,measure cup
6811-a,4,measuring cup
6794-e,4,measuring cup
6008-1,4,measuring thing
5712-f,4,measuring cup
5266-a,4,pyrex thing
5186-6,4,pyrex cup
4928-d,4,pyrex measuring cup
4878-0,4,pyrex measuring cup (with the handle)
4726-f,4,measuring cup with the holder
4726-4,4,measuring cup
3558-0,4,large measuring glass ... the pyrex,1,0,0,1
3247-a,4,large cup
2942-9,4,larger measuring cup
2640-6,4,large measuring cup
2377-a,4,measuring cup
2255-1,4,larger measuring cup
1408-9,4,pyrex
1383-5,4,measure cup
1264-4,4,measurement cup ... the large one with red letters
1184-c,4,cup
0366-3,4,large pyrex measuring cup
0226-8,4,pyrex measuring cup (the one with the handle)
9693-5,5,brush
8740-0,5,hair curler
8676-f,5,brush
8136-9,5,brown brush
8008-1,5,hairbrush
7865-e,5,hairbrush
7690-9,5,brush
7316-5,5,brush
6811-a,5,hairbrush
6794-e,5,hairbrush
6008-1,5,brush
5712-f,5,brush
5535-6,5,brush
5266-a,5,brush
5186-6,5,brush
4928-d,5,hairbrush
4878-0,5,hairbrush
4726-f,5,brush
4726-4,5,hairbrush
3558-0,5,hairbrush
3247-a,5,brush
2942-9,5,hairbrush
2640-6,5,hairbrush
2377-a,5,brush
2255-1,5,brush
1408-9,5,hairbrush
1383-5,5,comb
1264-4,5,haircomb
1184-c,5,brush
0366-3,5,round hairbrush
0226-8,5,round hairbrush
9693-5,6,eraser
8740-0,6,expo eraser
8676-f,6,erase
8136-9,6,eraser
8008-1,6,dry eraser
7865-e,6,eraser
7690-9,6,eraser
7316-5,6,eraser
6811-a,6,dry eraser
6794-e,6,eraser expo
6008-1,6,eraser
5712-f,6,eraser
5535-6,6,expo
5266-a,6,eraser
5186-6,6,eraser
4928-d,6,eraser
4878-0,6,eraser
4726-f,6,expo block
4726-4,6,eraser
3558-0,6,eraser
3247-a,6,eraser
2942-9,6,expo eraser
2640-6,6,eraser
2377-a,6,white out
2255-1,6,eraser
1408-9,6,expo
1383-5,6,eraser
1264-4,6,expo eraser
1184-c,6,eraser
0366-3,6,black eraser
0226-8,6,expo eraser
9693-5,7,candle
8740-0,7,lit candle
8676-f,7,candle
8136-9,7,red candle
8008-1,7,red candle
7865-e,7,red candle
7690-9,7,red candle
7316-5,7,candle
6811-a,7,candle
6794-e,7,red candle
6008-1,7,candle
5712-f,7,candle
5535-6,7,candle
5266-a,7,red candle
5186-6,7,red candle
4928-d,7,red candle/holder
4878-0,7,candle
4726-f,7,candle
4726-4,7,candle
3558-0,7,candle
3247-a,7,candle
2942-9,7,candle
2640-6,7,candle
2377-a,7,candlestick
2255-1,7,candle
1408-9,7,candle
1383-5,7,candle
1264-4,7,red candle
1184-c,7,candle
0366-3,7,red candle
0226-8,7,red candlestick
9693-5,8,mouse
8740-0,8,silver mouse
8676-f,8,mouse
8136-9,8,mouse
8008-1,8,mouse
7865-e,8,mouse
7690-9,8,mouse
7316-5,8,mouse
6811-a,8,mouse
6794-e,8,computer mouse
6008-1,8,mouse
5712-f,8,computer mouse
5535-6,8,mouse
5266-a,8,mouse
5186-6,8,computer mouse
4928-d,8,mouse
4878-0,8,mouse
4726-f,8,mouse
4726-4,8,mouse
3558-0,8,mouse
3247-a,8,mouse
2942-9,8,mouse
2640-6,8,mouse
2377-a,8,mouse
2255-1,8,mouse
1408-9,8,mouse
1383-5,8,mouse
1264-4,8,computer mouse
1184-c,8,mouse
0366-3,8,mouse
0226-8,8,grey mouse
