difficulty,game,max_lat,mean_lat,n_players,noise,pid,score,wait
2en01,2015-01-25-11-32-5-407_8_3-2en01_745098564075,119.5,26.97048611111111,2,3-2en01,3580-d876de84-6e34-495f-b252-57eecc311eae,0.7840000000000001,1553
2en01,2015-01-25-11-32-5-407_8_3-2en01_745098564075,179.0,25.55,2,3-2en01,7445-aac1aa56-6bce-4748-9af7-17636c64cd7a,0.5519999999999999,901
2en01,2015-01-25-11-41-40-481_8_2-2en01_816255721962,125.0,16.571378951024663,4,2-2en01,4953-21c5f3cc-1150-4590-aee6-0fa4f9733731,0.6,2172
2en01,2015-01-25-11-41-40-481_8_2-2en01_816255721962,313.0,62.70389023966655,4,2-2en01,3199-c8a58735-c159-4e21-8dcf-5a95a14a63b4,0.6640000000000001,1790
2en01,2015-01-25-11-41-40-481_8_2-2en01_816255721962,87.0,47.298090277777774,4,2-2en01,9229-818504c0-2843-47a9-a703-afe4b88c1502,0.704,2395
2en01,2015-01-25-11-41-40-481_8_2-2en01_816255721962,211.0,44.234027777777776,4,2-2en01,0650-8ec13177-f231-4d8a-ab6e-113d000493dc,0.712,2130
2en01,2015-01-25-11-46-41-665_8_3-2en01_790439564036,148.5,37.98436957276832,1,3-2en01,7750-7b1f4943-8101-4bd8-866c-f3ae3dec94c1,0.5279999999999999,1886
2en01,2015-01-25-11-56-54-310_8_3-2en01_745747129898,32.5,14.577457450503648,1,3-2en01,4882-63ee0e74-1ccd-4f9e-9fe9-c4c255ac487c,0.8399999999999999,2408
2en01,2015-01-25-12-12-41-492_8_2-2en01_364310212666,330.0,54.407465277777774,2,2-2en01,9440-a04ecb59-cc7a-4fa2-9979-314a7ccea696,0.5519999999999999,569
2en01,2015-01-25-12-12-41-492_8_2-2en01_364310212666,158.5,26.343174713442167,2,2-2en01,3249-c7207757-8ab0-4e12-957e-5baff0da2c8a,0.696,2409
2en01,2015-01-25-12-2-14-79_8_2-2en01_710215174360,502.0,50.36944444444445,2,2-2en01,6103-e4b49e40-65ef-4931-aa6a-fa86f023cc3f,0.6000000000000001,2408
2en01,2015-01-25-12-2-14-79_8_2-2en01_710215174360,55.5,24.496180555555554,2,2-2en01,6475-aaf786c6-cbed-4476-8ae8-beae68a2a37c,0.736,1264
2en01,2015-01-25-12-37-13-890_8_3-2en01_117019667057,190.0,72.71378951024661,1,3-2en01,7414-8956062c-9ee1-48c4-8175-cd136979e69f,0.6880000000000001,948
2en01,2015-01-25-17-35-52-592_8_3-2en01_791332189692,318.5,29.320486111111112,4,3-2en01,0171-1029a5dc-49c4-472f-afb4-a8ee29710366,0.7759999999999999,1238
2en01,2015-01-25-17-35-52-592_8_3-2en01_791332189692,66.5,10.333333333333334,4,3-2en01,6585-ad3132ab-1c42-42df-bbe3-647145bef135,0.504,2407
2en01,2015-01-25-17-35-52-592_8_3-2en01_791332189692,174.5,41.016666666666666,4,3-2en01,8049-88a14420-308c-4155-8349-898bfdce1a80,0.52,103
2en01,2015-01-25-17-35-52-592_8_3-2en01_791332189692,19.0,8.738798193817297,4,3-2en01,1865-7a79a07c-4145-4913-b7f5-53992f652b15,0.5920000000000001,783
2en01,2015-01-25-17-45-7-823_2_2-2en01_136029488407,118.0,18.48141715873567,1,2-2en01,7421-97e7df93-20c8-451e-890a-c499cef70c63,0.64,836
2en01,2015-01-25-17-47-29-191_4_1-2en01_25809311075,1079.5,33.9234375,3,1-2en01,7325-63a9806a-2632-4991-a259-deeaeeb2f368,0.616,24
2en01,2015-01-25-17-47-29-191_4_1-2en01_25809311075,794.0,42.80277777777778,3,1-2en01,1905-1f606f5e-010e-4b33-ba37-c0d46f490606,0.76,310
2en01,2015-01-25-17-47-29-191_4_1-2en01_25809311075,694.5,126.56128472222223,3,1-2en01,6617-d2699799-2f36-40e4-93a8-a87a99297228,0.576,1966
2en01,2015-01-25-17-51-59-196_4_1-2en01_916630183113,335.5,40.372525182354984,1,1-2en01,1536-09334381-c8dd-4c7d-82ce-d40a59e2514e,0.528,24
2en01,2015-01-25-18-0-38-117_8_1-2en01_828798080561,59.5,32.958333333333336,1,1-2en01,6830-6d4b704b-4487-4241-8220-7319d075c7da,0.704,2413
2en01,2015-01-25-18-44-51-962_2_3-2en01_350363129284,151.5,35.34178534213269,2,3-2en01,1837-9f4d71f0-ed0a-4ea6-a244-9da2d5045599,0.7120000000000001,24
