gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
1264-4,1453325616038,base,0,3,0,0,matcher,"hello"
1264-4,1453325625317,base,0,3,0,0,director,"Hello"
1264-4,1453325634515,base,0,3,0,0,director,"Move the scissor to the right"
1264-4,1453325647477,base,0,3,1,0,director,"Move the knife down"
1264-4,1453325655420,base,0,3,2,0,director,"Move the soap to the left"
1264-4,1453325672445,base,1,3,3,0,director,"Cassette tape down"
1264-4,1453325679021,exp,0,4,0,0,director,"carrot up"
1264-4,1453325688060,exp,1,4,1,0,director,"measurement cup down"
1264-4,1453325693195,exp,1,4,1,0,matcher,"which ones"
1264-4,1453325694650,exp,1,4,1,0,matcher,"one*"
1264-4,1453325701172,exp,1,4,1,0,director,"the large one with red letters"
1264-4,1453325713644,exp,0,4,2,0,director,"water bottle right"
1264-4,1453325723821,exp,0,4,3,0,director,"chair left"
1264-4,1453325740357,base,0,2,0,0,director,"binoculars right"
1264-4,1453325754973,base,0,2,1,0,director,"wrench left"
1264-4,1453325768046,base,1,2,2,0,director,"block toy left"
1264-4,1453325780589,base,0,2,3,0,director,"white cup right"
1264-4,1453325787015,exp,0,6,0,0,director,"banana up"
1264-4,1453325796550,exp,0,6,1,0,director,"one dollar bill right"
1264-4,1453325805789,exp,1,6,2,0,director,"expo eraser up"
1264-4,1453325819558,exp,0,6,3,0,director,"one feather left"
1264-4,1453325828527,base,0,5,0,0,director,"basketball down"
1264-4,1453325842304,base,1,5,1,0,director,"haircomb left"
1264-4,1453325850430,base,0,5,2,0,director,"red headphones left"
1264-4,1453325856782,base,0,5,3,0,director,"red book right"
1264-4,1453325865158,exp,0,1,0,0,director,"picture of airplane right"
1264-4,1453325872559,exp,1,1,1,0,director,"sunglasses right"
1264-4,1453325882326,exp,0,1,2,0,director,"one keg barrel down"
1264-4,1453325897095,exp,0,1,3,0,director,"saxaphone up"
1264-4,1453325905766,exp,0,8,0,0,director,"brown haircomb up"
1264-4,1453325913734,exp,1,8,1,0,director,"computer mouse up"
1264-4,1453325919663,exp,0,8,2,0,director,"frying pan up"
1264-4,1453325924831,exp,0,8,3,0,director,"piano left"
1264-4,1453325930223,base,0,7,0,0,director,"magnet down"
1264-4,1453325938207,base,0,7,1,0,director,"handcuff down"
1264-4,1453325944104,base,0,7,2,0,director,"panda toy down"
1264-4,1453325951223,base,1,7,3,0,director,"red candle down"
