gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents,target?,distract?,alt?
8136-9,1.45332E+12,exp,0,2,0,0,director,move the binoculars one spot to the right,1,0,0
8136-9,1.45332E+12,exp,0,2,1,0,director,move the tool one spot to the left,1,0,0
8136-9,1.45332E+12,exp,0,2,3,0,director,move the mug one spot to the right,1,0,0
8136-9,1.45332E+12,base,1,3,3,0,director,move cassette one down,1,0,0
8136-9,1.45332E+12,base,0,3,0,0,director,move scissors one right,1,0,0
8136-9,1.45332E+12,base,0,3,1,0,director,move knife one down,1,0,0
8136-9,1.45332E+12,base,0,3,2,0,director,move soap one left,1,0,0
8136-9,1.45332E+12,base,1,4,1,0,director,move the measuring cup one down,1,1,0
8136-9,1.45332E+12,base,0,4,0,0,director,move the veggie one spot up,1,1,0
8136-9,1.45332E+12,base,0,4,2,0,director,move the bottle one to the right,1,1,0
8136-9,1.45332E+12,base,0,4,3,0,director,move chair one to the left,1,1,0
8136-9,1.45332E+12,exp,1,5,1,0,matcher,i don't see a comb just a red or brown brush,1,0,0
8136-9,1.45332E+12,exp,1,5,1,0,director,move the comb one spot to the left [I don't see comb] brown brush,1,0,0
8136-9,1.45332E+12,exp,1,5,1,0,director,brown brush,1,0,0
8136-9,1.45332E+12,exp,0,5,0,0,director,move the ball down one spot,1,0,0
8136-9,1.45332E+12,exp,0,5,2,0,director,move the headphones one spot to the left,1,0,0
8136-9,1.45332E+12,exp,0,5,3,0,director,move the red book one spot to the right,1,0,0
8136-9,1.45332E+12,exp,1,6,2,2,director,blackboard eraser,1,0,0
8136-9,1.45332E+12,exp,1,6,2,0,director,move eraser one up,1,1,0
8136-9,1.45332E+12,exp,0,6,0,0,director,move fruit one up,1,1,0
8136-9,1.45332E+12,exp,0,6,1,0,director,move cash one right,1,1,0
8136-9,1.45332E+12,exp,0,6,3,0,director,move feather one left,1,1,0
8136-9,1.45332E+12,exp,1,7,3,0,director,move the red candle down one spot,1,0,0
8136-9,1.45332E+12,exp,0,7,0,0,director,move the magnet down one spot,1,0,0alt
8136-9,1.45332E+12,exp,0,7,1,0,director,move the cuffs down one spot,1,0,0
8136-9,1.45332E+12,exp,0,7,2,0,director,move the bear down one spot,1,0,0
8136-9,1.45332E+12,base,1,8,1,0,director,move the mouse up one spot,1,1,0
8136-9,1.45332E+12,base,0,8,0,0,director,move the comb up one spot,1,1,0
8136-9,1.45332E+12,base,0,8,2,0,director,move the pan up one spot,1,1,0
8136-9,1.45332E+12,base,0,8,3,0,director,move the piano one spot to the left,1,1,0
8008-1,1.45333E+12,exp,1,1,1,0,director,sunglasses to the right 1 square,1,0,0
8008-1,1.45333E+12,exp,0,1,0,0,director,airplane to the right 1 square,1,0,0
8008-1,1.45333E+12,exp,0,1,2,0,director,barrel down 1 square,1,0,0
8008-1,1.45333E+12,exp,0,1,3,0,director,sax up 1,1,0,0
8008-1,1.45333E+12,base,1,2,2,0,director,childs blue block left 1,1,?,0
8008-1,1.45333E+12,base,0,2,0,0,director,binoculars right 1,1,?,0
8008-1,1.45333E+12,base,0,2,1,0,director,wrench left 1,1,?,0
8008-1,1.45333E+12,base,0,2,3,0,director,coffee right 1,1,?,0
8008-1,1.45333E+12,base,1,3,3,0,director,cassette down 1,1,0,0
8008-1,1.45333E+12,base,0,3,0,0,director,scissors right 1,1,0,0
8008-1,1.45333E+12,base,0,3,1,0,director,knife down 1,1,0,0
8008-1,1.45333E+12,base,0,3,2,0,director,soap left 1,1,0,0
8008-1,1.45333E+12,base,1,4,1,0,director,big measuring cup down ,1,1,0
8008-1,1.45333E+12,base,0,4,0,0,director,carrot up,1,1,0
8008-1,1.45333E+12,base,0,4,2,0,director,water bottle right,1,1,0
8008-1,1.45333E+12,base,0,4,3,0,director,chair left,1,1,0
8008-1,1.45333E+12,exp,1,5,1,0,director,hairbrush left,1,1,0
8008-1,1.45333E+12,exp,1,5,1,1,director,hairbrush at the bottom left,1,1,0
8008-1,1.45333E+12,exp,0,5,0,0,director,basketball down,1,1,0
8008-1,1.45333E+12,exp,0,5,2,0,director,whoops,1,1,0
8008-1,1.45333E+12,exp,0,5,2,0,director,red head phones left,1,1,0
8008-1,1.45333E+12,exp,0,5,3,0,director,red book right,1,1,0
8008-1,1.45333E+12,exp,1,6,2,0,director,dry eraser up,1,0,0
8008-1,1.45333E+12,exp,0,6,0,0,director,banana up,1,0,0
8008-1,1.45333E+12,exp,0,6,1,0,director,$1 bill right,1,0,0
8008-1,1.45333E+12,exp,0,6,3,0,director,silver feather left,1,0,0
8008-1,1.45333E+12,base,1,7,3,0,director,red candle down,1,0,0
8008-1,1.45333E+12,base,0,7,0,0,director,magnet down,1,0,0
8008-1,1.45333E+12,base,0,7,1,0,director,handcuffs down,1,0,0
8008-1,1.45333E+12,base,0,7,2,0,director,panda down,1,0,0
8008-1,1.45333E+12,exp,1,8,1,1,director,computer mouse up 1,1,0,0
8008-1,1.45333E+12,exp,1,8,1,0,director,mouse up 1,1,1,0
8008-1,1.45333E+12,exp,0,8,0,0,director,comb up 1,1,1,0
8008-1,1.45333E+12,exp,0,8,2,0,director,frying pan up 1,1,1,0
8008-1,1.45333E+12,exp,0,8,3,0,director,piano left ,1,1,0
7865-e,1.45332E+12,exp,1,1,1,1,director,Move the sunglasses right,1,1,0
7865-e,1.45332E+12,exp,0,1,0,0,director,Move the airplane right,1,1,0
7865-e,1.45332E+12,exp,0,1,2,0,director,Move the barrel down,1,1,0
7865-e,1.45332E+12,exp,0,1,3,0,director,Move the saxophone up,1,1,0
7865-e,1.45332E+12,base,1,2,2,0,director,Move the alphabet block left,1,1,0
7865-e,1.45332E+12,base,0,2,0,0,director,Move the binoculars right,1,1,0
7865-e,1.45332E+12,base,0,2,1,0,director,Move the crescent wrench left,1,1,0
7865-e,1.45332E+12,base,0,2,3,0,director,Move the coffee cup right,1,1,0
7865-e,1.45332E+12,exp,1,3,3,0,director,Move the cassette tape down,1,0,0
7865-e,1.45332E+12,exp,0,3,0,0,director,Move the scissors right,1,0,0
7865-e,1.45332E+12,exp,0,3,1,0,director,Move the knife down,1,0,0
7865-e,1.45332E+12,exp,0,3,2,0,director,Move the soap bar left,1,0,0
7865-e,1.45332E+12,exp,1,4,1,1,director,Move the pyrex cup down,1,0,0
7865-e,1.45332E+12,exp,1,4,1,0,director,Move the measuring cup with handle down,1,1,0
7865-e,1.45332E+12,exp,0,4,0,0,director,Move the carrot up,1,1,0
7865-e,1.45332E+12,exp,0,4,2,0,director,Move the water bottle right,1,1,0
7865-e,1.45332E+12,exp,0,4,3,0,director,Move the chair left,1,1,0
7865-e,1.45332E+12,base,1,5,1,0,director,Move the hair brush left,1,1,0
7865-e,1.45332E+12,base,0,5,0,0,director,Move the basketball down,1,1,0
7865-e,1.45332E+12,base,0,5,2,0,director,Move the headphones left,1,1,0
7865-e,1.45332E+12,base,0,5,3,0,director,Move the book right,1,1,0
7865-e,1.45332E+12,base,1,6,2,0,director,Move the eraser up,1,1,0
7865-e,1.45332E+12,base,0,6,0,0,director,Move the banana up,1,1,0
7865-e,1.45332E+12,base,0,6,1,1,director,Move the dollar bill right,1,1,0
7865-e,1.45332E+12,base,0,6,3,0,director,Move the feather left,1,1,0
7865-e,1.45332E+12,base,1,7,3,0,director,Move the red candle down,1,0,0
7865-e,1.45332E+12,base,0,7,0,0,director,Move the magnet down,1,0,0
7865-e,1.45332E+12,base,0,7,1,0,director,Move the handcuffs down,1,0,0
7865-e,1.45332E+12,base,0,7,2,0,director,Move the panda bear down,1,0,0
7865-e,1.45332E+12,exp,1,8,1,1,director,Move the computer mouse up,1,0,0
7865-e,1.45332E+12,exp,1,8,1,0,director,Move the mouse up,1,1,0
7865-e,1.45332E+12,exp,0,8,0,0,director,Move the comb up,1,1,0
7865-e,1.45332E+12,exp,0,8,2,0,director,Move the frying pan up,1,1,0
7865-e,1.45332E+12,exp,0,8,3,0,director,Move the piano left,1,1,0
7690-9,1.45333E+12,base,1,1,1,0,director,sun glasses right one,1,0,0
7690-9,1.45333E+12,base,0,1,0,0,director,airplane right one,1,0,0
7690-9,1.45333E+12,base,0,1,2,0,director,barrel down one,1,0,0
7690-9,1.45333E+12,base,0,1,3,0,director,sax up one,1,0,0
7690-9,1.45333E+12,exp,1,2,2,0,director,B box left one,1,0,0
7690-9,1.45333E+12,exp,0,2,0,0,director,binoculars right one,1,0,0
7690-9,1.45333E+12,exp,0,2,1,0,director,wrench left one,1,0,0
7690-9,1.45333E+12,exp,0,2,3,0,director,coffee cup right one,1,0,0
7690-9,1.45333E+12,exp,1,3,3,0,director,tape down one,1,1,0
7690-9,1.45333E+12,exp,0,3,0,0,director,scissors right one,1,1,0
7690-9,1.45333E+12,exp,0,3,1,0,director,knife down one,1,1,0
7690-9,1.45333E+12,exp,0,3,2,0,director,soap left one,1,1,0
7690-9,1.45333E+12,base,1,4,1,0,director,measuring cup down one,1,1,0
7690-9,1.45333E+12,base,0,4,0,0,director,move carrot up one space,1,1,0
7690-9,1.45333E+12,base,0,4,2,0,director,plastic water bottle right one,1,1,0
7690-9,1.45333E+12,base,0,4,3,0,director,chair left one,1,1,0
7690-9,1.45333E+12,base,1,5,1,0,director,brush left one,1,1,0
7690-9,1.45333E+12,base,0,5,0,0,director,basketball down one,1,1,0
7690-9,1.45333E+12,base,0,5,2,0,director,headphones left one,1,1,0
7690-9,1.45333E+12,base,0,5,3,0,director,book right one,1,1,0
7690-9,1.45333E+12,exp,1,6,2,0,director,erasure up one,1,1,0
7690-9,1.45333E+12,exp,0,6,0,0,director,banana up one,1,1,0
7690-9,1.45333E+12,exp,0,6,1,0,director,dollar right one,1,1,0
7690-9,1.45333E+12,exp,0,6,3,0,director,feather left one,1,1,0
7690-9,1.45333E+12,base,1,7,3,0,director,red candle down one,1,0,0
7690-9,1.45333E+12,base,0,7,0,0,director,magnet down one,1,0,0
7690-9,1.45333E+12,base,0,7,1,0,director,hand cuffs down one,1,0,0
7690-9,1.45333E+12,base,0,7,2,0,director,bear down one,1,0,0
7690-9,1.45333E+12,exp,1,8,1,0,director,mouse up one,1,1,0
7690-9,1.45333E+12,exp,0,8,0,0,director,comb up one,1,1,0
7690-9,1.45333E+12,exp,0,8,2,0,director,frying pan up one,1,1,0
7690-9,1.45333E+12,exp,0,8,3,0,director,piano left one,1,1,0
7316-5,1.45332E+12,base,1,1,1,0,director,MOVE THE SUNGLASSES ONE SPACE TO THE RIGHT,1,0,0
7316-5,1.45332E+12,base,0,1,0,0,director,MOVE THE AIRPLANE ONE SPACE TO THE RIGHT,1,0,0
7316-5,1.45332E+12,base,0,1,2,0,director,MOVE THE BARRELL ONE SPACE DOWN,1,0,0
7316-5,1.45332E+12,base,0,1,3,0,director,MOVE THE SAXAPHONE ONE SPACE UP,1,0,0
7316-5,1.45332E+12,exp,1,2,2,0,director,MOVE THE BLOCK ONE SPACE LEFT,1,1,0
7316-5,1.45332E+12,exp,0,2,0,0,director,MOVE THE BINOCULARS ONE SPACE RIGHT,1,1,0
7316-5,1.45332E+12,exp,0,2,1,0,director,MOVE THE WRENCH ONE SPACE LEFT,1,1,0
7316-5,1.45332E+12,exp,0,2,3,0,director,MOVE THE COFFEE MUG ONE SPACE RIGHT,1,1,0
7316-5,1.45332E+12,base,1,3,3,0,director,MOVE THE CASSETTE TAPE ONE SPACE DOWN,1,0,0
7316-5,1.45332E+12,base,0,3,0,0,director,MOVE THE SCISSORS ONE SPACE TO THE RIGHT,1,0,0
7316-5,1.45332E+12,base,0,3,1,0,director,MOVE THE KNIFE ONE SPACE DOWN,1,0,0
7316-5,1.45332E+12,base,0,3,2,0,director,MOVE THE BARSOAP ONE SPACE LEFT,1,0,0
7316-5,1.45332E+12,exp,1,4,1,0,director,MOVE THE MEASURE CUP ONE SPACE DOWN,1,1,0
7316-5,1.45332E+12,exp,0,4,0,0,director,MOVE THE CARROT ONE SPACE UP,1,1,0
7316-5,1.45332E+12,exp,0,4,2,0,director,MOVE THE BOTTLE OF WATER ONE SPACE LEFT,1,1,0
7316-5,1.45332E+12,exp,0,4,2,3,matcher,I cannot do that,1,1,0
7316-5,1.45332E+12,exp,0,4,2,3,director,MOVE THE WATER ONE SPACE RIGHT,1,1,0
7316-5,1.45332E+12,exp,0,4,3,0,director,MOVE THE CHAIR ONE SPACE LEFT,1,1,0
7316-5,1.45332E+12,exp,1,5,1,0,director,MOVE THE BRUSH ONE SPACE LEFT,1,1,0
7316-5,1.45332E+12,exp,0,5,0,0,director,MOVE THE BALL ONE SPACE DOWN,1,1,0
7316-5,1.45332E+12,exp,0,5,2,0,director,MOVE THE HEADPHONES ONE SPACE LEFT,1,1,0alt
7316-5,1.45332E+12,exp,0,5,3,0,director,MOVE THE BOOK ONE SPACE RIGHT,1,1,0
7316-5,1.45332E+12,base,1,6,2,0,director,MOVE THE ERASER ONE SPACE UP,1,1,0
7316-5,1.45332E+12,base,0,6,0,0,director,MOVE THE BANANA ONE SPACE UP,1,1,0
7316-5,1.45332E+12,base,0,6,1,0,director,MOVE THE DOLLAR ONE SPACE RIGHT,1,1,0
7316-5,1.45332E+12,base,0,6,3,0,director,MOVE THE FEATHER ONE SPACE LEFT,1,1,0
7316-5,1.45332E+12,base,1,7,3,0,director,MOVE THE CANDLE ONE SPACE DOWN,1,1,0
7316-5,1.45332E+12,base,0,7,0,0,director,MOVE THE MAGNET ONE SPACE DOWN,1,1,0
7316-5,1.45332E+12,base,0,7,1,0,director,MOVE THE HANDCUFFS ONE SPACE DOWN,1,1,0
7316-5,1.45332E+12,base,0,7,2,0,director,MOVE THE TEDDYBEAR ONE SPACE DOWN,1,1,0
7316-5,1.45332E+12,exp,1,8,1,0,director,MOVE THE MOUSE ONE SPACE UP,1,1,0
7316-5,1.45332E+12,exp,0,8,0,0,director,MOVE THE COMB ONE SPACE UP,1,1,0
7316-5,1.45332E+12,exp,0,8,2,0,director,MOVE THE SKILLET ONE SPACE UP,1,1,0
7316-5,1.45332E+12,exp,0,8,3,0,director,MOVE THE PIANO ONE SPACE TO THE LEFT,1,1,0
6811-a,1.45332E+12,exp,1,1,1,0,director,Move the sunglasses one space to the right,1,0,0
6811-a,1.45332E+12,exp,0,1,0,0,director,Move the airplane one space to  the right,1,0,0
6811-a,1.45332E+12,exp,0,1,2,0,director,Move the barrel down one space,1,0,0
6811-a,1.45332E+12,exp,0,1,3,0,director,Move the saxophone up one space,1,0,0
6811-a,1.45332E+12,exp,1,2,2,0,director,Move the blue block one space to the left,1,?,0
6811-a,1.45332E+12,exp,0,2,0,0,director,Move the binoculars one space to the right,1,?,0
6811-a,1.45332E+12,exp,0,2,1,0,director,Move the wrench one space to the left,1,?,0
6811-a,1.45332E+12,exp,0,2,3,0,director,Move the coffee mug one space to the right,1,?,0
6811-a,1.45332E+12,exp,1,3,3,0,director,Move the cassette down one space,1,0,0
6811-a,1.45332E+12,exp,0,3,0,0,director,Move the scissors one space to the right,1,0,0
6811-a,1.45332E+12,exp,0,3,1,0,director,Move the knife down one space,1,0,0
6811-a,1.45332E+12,exp,0,3,2,0,director,Move the soap one space to the left,1,0,0
6811-a,1.45332E+12,exp,1,4,1,0,director,Move the measuring cup down one space,1,1,0
6811-a,1.45332E+12,exp,0,4,0,0,director,Move the carrot up one space,1,1,0
6811-a,1.45332E+12,exp,0,4,2,0,director,Move the water bottle one space to the right,1,1,0
6811-a,1.45332E+12,exp,0,4,3,0,director,Move the chair one space to the left,1,1,0
6811-a,1.45332E+12,base,1,5,1,0,director,Move the hairbrush left one space,1,1,0
6811-a,1.45332E+12,base,0,5,0,0,director,Move the basketball down one space,1,1,0
6811-a,1.45332E+12,base,0,5,2,0,director,Move the headphones left one space,1,1,0
6811-a,1.45332E+12,base,0,5,3,0,director,Move the book right one space,1,1,0
6811-a,1.45332E+12,base,1,6,2,0,director,Move the dry eraser up one  space,1,0,0
6811-a,1.45332E+12,base,0,6,0,0,director,Move the banana up one space,1,0,0
6811-a,1.45332E+12,base,0,6,1,0,director,Move the dollar one space to the right,1,0,0
6811-a,1.45332E+12,base,0,6,3,0,director,Move the feather one space to the left,1,0,0
6811-a,1.45332E+12,base,1,7,3,0,director,Move the candle down one space,1,1,0
6811-a,1.45332E+12,base,0,7,0,0,director,Move the magnet down one space,1,1,0
6811-a,1.45332E+12,base,0,7,1,0,director,Move the handcuffs down one space,1,1,0
6811-a,1.45332E+12,base,0,7,2,0,director,Move the Panda down one space,1,1,0
6811-a,1.45332E+12,base,1,8,1,0,director,Move the mouse up one space,1,1,0
6811-a,1.45332E+12,base,0,8,0,0,director,Move the haircomb up one space,1,1,0
6811-a,1.45332E+12,base,0,8,2,0,director,Move the skillet up one space,1,1,0
