gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents,target?,distract?,alt?
9693-5,1.45333E+12,base,1,1,1,0,director,move glasses right,1,1,0
9693-5,1.45333E+12,base,0,1,0,0,director,move plane right,1,1,0
9693-5,1.45333E+12,base,0,1,2,0,director,barrel down,1,1,0
9693-5,1.45333E+12,base,0,1,3,0,director,saxaphone up,1,1,0
9693-5,1.45333E+12,exp,1,2,2,0,director,b block left,1,0,0
9693-5,1.45333E+12,exp,0,2,0,0,director,binoculars right,1,0,0
9693-5,1.45333E+12,exp,0,2,1,0,director,wrench left,1,0,0
9693-5,1.45333E+12,exp,0,2,3,0,director,coffee right,1,0,0
9693-5,1.45333E+12,base,1,3,3,0,director,tape down,1,1,0
9693-5,1.45333E+12,base,0,3,0,0,director,scissors right,1,1,0
9693-5,1.45333E+12,base,0,3,1,0,director,knife down,1,1,0
9693-5,1.45333E+12,base,0,3,2,0,director,soap left,1,1,0
9693-5,1.45333E+12,base,1,4,1,0,director,large measure cup down,1,1,0
9693-5,1.45333E+12,base,0,4,0,0,director,carrot up,1,1,0
9693-5,1.45333E+12,base,0,4,2,0,director,water bottle right,1,1,0
9693-5,1.45333E+12,base,0,4,3,0,director,chair left,1,1,0
9693-5,1.45333E+12,base,1,5,1,0,director,brush left,1,1,0
9693-5,1.45333E+12,base,0,5,0,0,director,basketball down,1,1,0
9693-5,1.45333E+12,base,0,5,2,0,director,headphones left,1,1,0
9693-5,1.45333E+12,base,0,5,3,0,director,book right,1,1,0
9693-5,1.45333E+12,exp,1,6,2,0,director,eraser up,1,1,0
9693-5,1.45333E+12,exp,0,6,0,0,director,banana up,1,1,0
9693-5,1.45333E+12,exp,0,6,1,0,director,dollar right,1,1,0
9693-5,1.45333E+12,exp,0,6,3,0,director,leaf left,1,1,0
9693-5,1.45333E+12,exp,1,7,3,0,director,candle down,1,1,0
9693-5,1.45333E+12,exp,0,7,0,0,director,magnet down,1,1,0
9693-5,1.45333E+12,exp,0,7,1,0,director,handcuffs down,1,1,0
9693-5,1.45333E+12,exp,0,7,2,0,director,panda down,1,1,0
9693-5,1.45333E+12,exp,1,8,1,0,director,mouse up,1,1,0
9693-5,1.45333E+12,exp,0,8,0,0,director,comb up,1,1,0
9693-5,1.45333E+12,exp,0,8,2,0,director,pan up,1,1,0
9693-5,1.45333E+12,exp,0,8,3,0,director,piano left,1,1,0
8969-c,1.45333E+12,exp,1,1,1,0,director,start at the thrid square of the last row and move one square to the right,?,?,?
8969-c,1.45333E+12,exp,0,1,0,0,director,start at the second square of the first row and move right one square,?,?,?
8969-c,1.45333E+12,exp,0,1,2,0,director,start at the fourth square of the second row and move down one square,?,?,?
8969-c,1.45333E+12,exp,0,1,3,0,director,start at the second square of the last row and move up one square,?,?,?
8969-c,1.45333E+12,base,1,2,2,0,director,start at the fourth square of the third row and move left one square,?,?,?
8969-c,1.45333E+12,base,0,2,0,0,director,start at the first square of the last row and move right one square,?,?,?
8969-c,1.45333E+12,base,0,2,1,0,director,start at the third square of the first row and move left one square,?,?,?
8969-c,1.45333E+12,base,0,2,3,0,director,start at the first square of the second row and move right one square,?,?,?
8969-c,1.45333E+12,exp,1,3,3,0,director,start at the third square of the first row and move down one square,?,?,?
8969-c,1.45333E+12,exp,0,3,0,0,director,start at the first square of the second square and move right one square,?,?,?
8969-c,1.45333E+12,exp,0,3,0,0,director,row,?,?,?
8969-c,1.45333E+12,exp,0,3,1,0,director,start at the third square of the third row and move down one square,?,?,?
8969-c,1.45333E+12,exp,0,3,2,0,director,start at fourth square of third row and move left one square,?,?,?
8969-c,1.45333E+12,base,1,4,1,0,director,start at the fourth square of the third row and move down one square,?,?,?
8969-c,1.45333E+12,base,0,4,0,0,director,start at the second square of the last row and move up one square,?,?,?
8969-c,1.45333E+12,base,0,4,2,0,director,start at the first square of teh second row and move right one square,?,?,?
8969-c,1.45333E+12,base,0,4,3,0,director,start at fourth square of the second row and move left one square,?,?,?
8969-c,1.45333E+12,base,1,5,1,0,director,start at the third square of the last row and move left on square,?,?,?
8969-c,1.45333E+12,base,0,5,0,0,director,start at the third square of the top row and move down one square,?,?,?
8969-c,1.45333E+12,base,0,5,2,0,director,start at the last square of the third row and move left one square,?,?,?
8969-c,1.45333E+12,base,0,5,3,0,director,start at the second square of the first row and move right one square,?,?,?
8969-c,1.45333E+12,exp,1,6,2,0,director,start at the second square of the last row and move up one square,?,?,?
8969-c,1.45333E+12,exp,0,6,0,0,director,start at the fourth square of the third row and move up one square,?,?,?
8969-c,1.45333E+12,exp,0,6,1,0,director,start at the third square of the third row and move right one square,?,?,?
8969-c,1.45333E+12,exp,0,6,3,0,director,start at the third square of the last row and move left one square,?,?,?
8969-c,1.45333E+12,base,1,7,3,0,director,start at the first square in the first row and move down one square,?,?,?
8969-c,1.45333E+12,base,0,7,0,0,director,move down one square,?,?,?
8969-c,1.45333E+12,base,0,7,1,0,director,start at the last square in the second row,?,?,?
8969-c,1.45333E+12,base,0,7,1,0,director,move down one square,?,?,?
8969-c,1.45333E+12,base,0,7,2,0,director,start at the third square of the first row and move down one square,?,?,?
8969-c,1.45333E+12,exp,1,8,1,0,director,start at the fourth square of the third row and move up one square,?,?,?
8969-c,1.45333E+12,exp,0,8,0,0,director,start at the first square of the second row and move up one square,?,?,?
8969-c,1.45333E+12,exp,0,8,2,0,director,start at the third square of the last row and move up one square,?,?,?
8969-c,1.45333E+12,exp,0,8,3,0,director,start at the second square of the last row and move left one square,?,?,?
8740-0,1.45332E+12,base,1,1,1,0,director,black sunglasses right,1,0,0
8740-0,1.45332E+12,base,0,1,0,0,director,plane picture right,1,0,0
8740-0,1.45332E+12,base,0,1,2,0,director,grey barrel down,1,0,0
8740-0,1.45332E+12,base,0,1,3,0,director,silver sax up,1,0,0
8740-0,1.45332E+12,base,1,2,2,0,director,toy block left,1,1,0
8740-0,1.45332E+12,base,0,2,0,0,director,binoculars right,1,1,0
8740-0,1.45332E+12,base,0,2,1,0,director,silver wrench left,1,1,0
8740-0,1.45332E+12,base,0,2,3,0,director,mug of coffee right,1,1,0
8740-0,1.45332E+12,base,1,3,3,0,director,cassette down,1,0,0
8740-0,1.45332E+12,base,0,3,0,0,director,scissors right,1,0,0
8740-0,1.45332E+12,base,0,3,1,0,director,knife down,1,0,0
8740-0,1.45332E+12,base,0,3,2,0,director,soap left,1,0,0
8740-0,1.45332E+12,base,1,4,1,0,director,pyrex measuring cup down,1,0,0
8740-0,1.45332E+12,base,0,4,0,0,director,carrot up,1,0,0
8740-0,1.45332E+12,base,0,4,2,0,director,blue plastic bottle righty,1,0,0
8740-0,1.45332E+12,base,0,4,2,0,director,right*,1,0,0
8740-0,1.45332E+12,base,0,4,3,0,director,wooden chair left,1,0,0
8740-0,1.45332E+12,exp,1,5,1,0,director,hair curler left,1,0,0
8740-0,1.45332E+12,exp,0,5,0,0,director,basketball down,1,0,0
8740-0,1.45332E+12,exp,0,5,2,0,director,orange black headphones left,1,0,0
8740-0,1.45332E+12,exp,0,5,3,0,director,red book right,1,0,0
8740-0,1.45332E+12,exp,1,6,2,0,director,expo eraser up,1,0,0
8740-0,1.45332E+12,exp,0,6,0,0,director,banana up,1,0,0
8740-0,1.45332E+12,exp,0,6,1,0,director,dollar bill right,1,0,0
8740-0,1.45332E+12,exp,0,6,3,0,director,grey feather left,1,0,0
8740-0,1.45332E+12,exp,1,7,3,1,director,red lit candle down*,1,0,0
8740-0,1.45332E+12,exp,1,7,3,0,director,lit candle down,1,1,0
8740-0,1.45332E+12,exp,0,7,0,0,director,red magnet down,1,1,0
8740-0,1.45332E+12,exp,0,7,1,0,director,handcuffs down,1,1,0
8740-0,1.45332E+12,exp,0,7,2,0,director,panda stuffed animal down,1,1,0
8740-0,1.45332E+12,exp,1,8,1,0,director,silver mouse up,1,0,0
8740-0,1.45332E+12,exp,0,8,0,0,director,brown hair comb up,1,0,0
8740-0,1.45332E+12,exp,0,8,2,0,director,black pan griddle up,1,0,0
8740-0,1.45332E+12,exp,0,8,3,0,director,grand piano left,1,0,0
8676-f,1.45332E+12,base,1,1,1,0,director,glasses right,1,1,0
8676-f,1.45332E+12,base,0,1,0,0,director,red airplane right,1,1,0
8676-f,1.45332E+12,base,0,1,2,0,director,barrel down,1,1,0
8676-f,1.45332E+12,base,0,1,3,0,director,saxophone up,1,1,0
8676-f,1.45332E+12,base,1,2,2,0,director,blue block left,1,?,0
8676-f,1.45332E+12,base,0,2,0,0,director,binoculars right,1,?,0
8676-f,1.45332E+12,base,0,2,1,0,director,wrench left,1,?,0
8676-f,1.45332E+12,base,0,2,3,0,director,cup right,1,?,0
8676-f,1.45332E+12,exp,1,3,3,0,director,cassette down,1,0,0
8676-f,1.45332E+12,exp,0,3,0,0,director,scissors right,1,0,0
8676-f,1.45332E+12,exp,0,3,1,0,director,knife down,1,0,0
8676-f,1.45332E+12,exp,0,3,2,0,director,soap left,1,0,0
8676-f,1.45332E+12,base,1,4,1,0,director,pyrex down,1,0,0
8676-f,1.45332E+12,base,0,4,0,0,director,carrot up,1,0,0
8676-f,1.45332E+12,base,0,4,2,0,director,bottle right,1,0,0
8676-f,1.45332E+12,base,0,4,3,0,director,chair left,1,0,0
8676-f,1.45332E+12,exp,1,5,1,0,director,brush left,1,1,0
8676-f,1.45332E+12,exp,0,5,0,0,director,ball down,1,1,0
8676-f,1.45332E+12,exp,0,5,2,0,director,headphones left,1,1,0
8676-f,1.45332E+12,exp,0,5,3,0,director,book right,1,1,0
8676-f,1.45332E+12,exp,1,6,2,0,director,move erase up,1,1,0
8676-f,1.45332E+12,exp,0,6,0,0,director,move banana up one,1,1,0
8676-f,1.45332E+12,exp,0,6,1,0,director,move dollar right one,1,1,0
8676-f,1.45332E+12,exp,0,6,3,0,director,move feather left,1,1,0
8676-f,1.45332E+12,exp,1,7,3,0,director,candle down,1,1,0
8676-f,1.45332E+12,exp,0,7,0,0,director,magnet down,1,1,0
8676-f,1.45332E+12,exp,0,7,1,0,director,handcuffs down,1,1,0
8676-f,1.45332E+12,exp,0,7,2,0,director,panda down,1,1,0
8676-f,1.45332E+12,base,1,8,1,0,director,move the mouse up one,1,1,0
8676-f,1.45332E+12,base,0,8,0,1,director,Move the comb up,1,1,0
8676-f,1.45332E+12,base,0,8,2,0,director,Move the pan up one,1,1,0
8676-f,1.45332E+12,base,0,8,3,0,director,move piano left one,1,1,0
8136-9,1.45332E+12,base,1,1,1,0,director,move the glasses one spot to the right,1,1,0
8136-9,1.45332E+12,base,0,1,0,0,director,move the plane one spot to the right,1,1,0
8136-9,1.45332E+12,base,0,1,2,0,director,move the barrel down one spot,1,1,0
8136-9,1.45332E+12,base,0,1,3,0,director,move the instrument up one spot,1,1,0
8136-9,1.45332E+12,exp,1,2,2,0,director,move the b cube one spot to the left,1,0,0
8136-9,1.45332E+12,exp,0,2,0,0,matcher,i don't see a red book,1,0,0
8136-9,1.45332E+12,exp,0,2,0,0,director,am i supposed to be saying the object name or describing it,1,0,0
8136-9,1.45332E+12,exp,0,2,0,0,matcher,is it beside something?,1,0,0
