gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
6008-1,1453321323969,base,0,8,0,0,director,"comb up"
6008-1,1453321330090,base,1,8,1,0,director,"mouse up"
6008-1,1453321336407,base,1,8,1,1,director,"mouse up"
6008-1,1453321344920,base,0,8,2,0,director,"pan up"
6008-1,1453321351553,base,0,8,3,0,director,"piana left"
6008-1,1453321365161,exp,0,6,0,0,director,"banana up"
6008-1,1453321379577,exp,0,6,1,1,director,"dollar riht"
6008-1,1453321386726,exp,1,6,2,0,director,"eraser up"
6008-1,1453321399922,exp,1,6,2,1,director,"again"
6008-1,1453321404936,exp,1,6,2,2,director,"again"
6008-1,1453321414528,exp,1,6,2,3,director,"eraser up"
6008-1,1453321415908,exp,1,6,2,3,matcher,"it says incorrect move"
6008-1,1453321429533,exp,1,6,2,4,director,"thats weird it keeps showing me eraser up everytime"
6008-1,1453321456824,exp,0,6,3,0,matcher,"oh I got it"
6008-1,1453321460171,exp,0,6,3,0,director,"FEATHER LEFT"
6008-1,1453321470570,exp,0,5,0,0,director,"ball down"
6008-1,1453321480051,exp,1,5,1,0,director,"brush left"
6008-1,1453321498279,exp,0,5,2,0,director,"headphones left"
6008-1,1453321504773,exp,0,5,2,1,director,"n"
6008-1,1453321512466,exp,0,5,3,0,director,"book right"
6008-1,1453321520808,base,0,2,0,0,director,"binis right"
6008-1,1453321523566,base,0,2,0,0,director,"binos"
6008-1,1453321531226,base,0,2,1,0,director,"wrench left"
6008-1,1453321540593,base,1,2,2,0,director,"block left"
6008-1,1453321549256,base,0,2,3,0,director,"cup right"
6008-1,1453321570867,base,0,7,0,1,director,"magnet down"
6008-1,1453321577614,base,0,7,1,0,director,"cuff down"
6008-1,1453321584523,base,0,7,2,0,director,"bear down"
6008-1,1453321589222,base,1,7,3,0,director,"candle down"
6008-1,1453321602997,exp,0,1,0,0,director,"plane right"
6008-1,1453321612490,exp,1,1,1,0,director,"glasses right"
6008-1,1453321618555,exp,0,1,2,0,director,"barrel down"
6008-1,1453321624057,exp,0,1,3,0,director,"music u"
6008-1,1453321625793,exp,0,1,3,0,director,"p"
6008-1,1453321630140,exp,0,4,0,0,director,"carrot up"
6008-1,1453321636815,exp,1,4,1,0,director,"measuring thing down"
6008-1,1453321644440,exp,0,4,2,0,director,"bottle right"
6008-1,1453321650075,exp,0,4,3,0,director,"chair left"
6008-1,1453321656439,base,0,3,0,0,director,"scissors right"
6008-1,1453321662840,base,0,3,1,0,director,"knidfe down"
6008-1,1453321667727,base,0,3,2,0,director,"soap right"
6008-1,1453321669195,base,0,3,2,0,director,"left"
6008-1,1453321674574,base,1,3,3,0,director,"tape down"
