gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
2255-1,1453328676767,base,0,8,0,1,matcher,"hello?"
2255-1,1453328680423,base,0,8,0,1,director,"Howdy"
2255-1,1453328696686,base,0,8,0,1,director,"Ready?"
2255-1,1453328704364,base,0,8,0,1,matcher,"yup"
2255-1,1453328704408,base,0,8,0,1,director,"Move the comb up 1 space"
2255-1,1453328725271,base,1,8,1,0,director,"Move the mouse up 1 space"
2255-1,1453328734671,base,0,8,2,0,director,"Good"
2255-1,1453328741471,base,0,8,2,0,director,"Move the pan up 1 space"
2255-1,1453328757631,base,0,8,3,0,director,"Move the piano left 1 space"
2255-1,1453328766503,exp,0,3,0,0,director,"All right, well done"
2255-1,1453328778927,exp,0,3,0,0,director,"Move the scissors right 1 space"
2255-1,1453328787432,exp,0,3,1,0,director,"Good"
2255-1,1453328792744,exp,0,3,1,0,director,"Move the knife down 1 space"
2255-1,1453328817890,exp,0,3,2,0,director,"Move the bar of soap left 1 space"
2255-1,1453328831736,exp,1,3,3,0,director,"Move the cassette down 1 space"
2255-1,1453328851209,base,0,5,0,0,director,"Move the basketball down 1 space"
2255-1,1453328869617,base,1,5,1,0,director,"Move the brush left 1 space"
2255-1,1453328883828,base,0,5,2,0,director,"Move the headphones left 1 space"
2255-1,1453328901874,base,0,5,3,0,director,"Move the book right 1 space"
2255-1,1453328916914,base,0,2,0,0,director,"Move the binoculars right 1 space"
2255-1,1453328937123,base,0,2,1,0,director,"Move the wrench left 1 space"
2255-1,1453328963108,base,1,2,2,0,director,"Move the bluish block with a B left 1 space"
2255-1,1453328993252,base,0,2,3,0,director,"Move the coffee mug right 1 space"
2255-1,1453329017348,exp,0,1,0,0,director,"Move the plane right 1 space"
2255-1,1453329038060,exp,1,1,1,0,director,"Move the sunglasses right 1 space"
2255-1,1453329052619,exp,0,1,2,0,director,"This seems to work wether the space is black or not"
2255-1,1453329063946,exp,0,1,2,0,director,"Move the barrel down 1 space"
2255-1,1453329066808,exp,0,1,2,0,matcher,"yeah"
2255-1,1453329082733,exp,0,1,3,0,director,"Move the sax up 1 space"
2255-1,1453329094730,exp,0,6,0,0,director,"Move the banana up"
2255-1,1453329096430,exp,0,6,0,0,director,"1 space"
2255-1,1453329104957,exp,0,6,1,0,director,"Move the dollar right"
2255-1,1453329113653,exp,1,6,2,0,director,"Eraser up"
2255-1,1453329127597,exp,1,6,2,1,director,"Eraser up 1 space"
2255-1,1453329129518,exp,1,6,2,1,director,"again"
2255-1,1453329151734,exp,0,6,3,0,director,"Feather left"
2255-1,1453329162023,base,0,4,0,0,director,"All right!"
2255-1,1453329165494,base,0,4,0,0,director,"Carrot up"
2255-1,1453329178502,base,1,4,1,0,director,"Larger measuring cup down"
2255-1,1453329190870,base,0,4,2,0,director,"Bottle right"
2255-1,1453329198623,base,0,4,3,0,director,"Chair left"
2255-1,1453329208384,exp,0,7,0,0,director,"Magnet down"
2255-1,1453329216751,exp,0,7,1,0,director,"Cuffs down"
2255-1,1453329222822,exp,0,7,2,0,director,"Panda down"
2255-1,1453329229524,exp,1,7,3,0,director,"Candle down"
