gameid, time, condition, critical, objectSet, instructionNum, attemptNum, targetX, targetY, distractorX, distractorY, mouseX, mouseY
4726-f,1453331198187,exp,0,2,0,0,93.75,506.25,none,none,300,303
4726-f,1453331198198,exp,0,2,0,0,93.75,506.25,none,none,300,308
4726-f,1453331198206,exp,0,2,0,0,93.75,506.25,none,none,301,311
4726-f,1453331198220,exp,0,2,0,0,93.75,506.25,none,none,304,314
4726-f,1453331198231,exp,0,2,0,0,93.75,506.25,none,none,304,319
4726-f,1453331198243,exp,0,2,0,0,93.75,506.25,none,none,304,322
4726-f,1453331198260,exp,0,2,0,0,93.75,506.25,none,none,304,329
4726-f,1453331198298,exp,0,2,0,0,93.75,506.25,none,none,298,390
4726-f,1453331198307,exp,0,2,0,0,93.75,506.25,none,none,289,425
4726-f,1453331198318,exp,0,2,0,0,93.75,506.25,none,none,283,463
4726-f,1453331198330,exp,0,2,0,0,93.75,506.25,none,none,274,495
4726-f,1453331198350,exp,0,2,0,0,93.75,506.25,none,none,266,528
4726-f,1453331198352,exp,0,2,0,0,93.75,506.25,none,none,258,550
4726-f,1453331198370,exp,0,2,0,0,93.75,506.25,none,none,255,567
4726-f,1453331198379,exp,0,2,0,0,93.75,506.25,none,none,249,580
4726-f,1453331198397,exp,0,2,0,0,93.75,506.25,none,none,246,590
4726-f,1453331199686,exp,0,2,0,0,93.75,506.25,none,none,177,598
4726-f,1453331199701,exp,0,2,0,0,93.75,506.25,none,none,149,572
4726-f,1453331199712,exp,0,2,0,0,93.75,506.25,none,none,120,550
4726-f,1453331199727,exp,0,2,0,0,93.75,506.25,none,none,97,535
4726-f,1453331199736,exp,0,2,0,0,93.75,506.25,none,none,81,526
4726-f,1453331199751,exp,0,2,0,0,93.75,506.25,none,none,69,522
4726-f,1453331199761,exp,0,2,0,0,93.75,506.25,none,none,61,520
4726-f,1453331199774,exp,0,2,0,0,93.75,506.25,none,none,56,519
4726-f,1453331199786,exp,0,2,0,0,93.75,506.25,none,none,53,519
4726-f,1453331199796,exp,0,2,0,0,93.75,506.25,none,none,52,519
4726-f,1453331199897,exp,0,2,0,0,93.75,506.25,none,none,52,526
4726-f,1453331201347,exp,0,2,0,0,93.75,506.25,none,none,53,525
4726-f,1453331201361,exp,0,2,0,0,93.75,506.25,none,none,53,522
4726-f,1453331201369,exp,0,2,0,0,93.75,506.25,none,none,53,519
4726-f,1453331201381,exp,0,2,0,0,93.75,506.25,none,none,53,514
4726-f,1453331201399,exp,0,2,0,0,93.75,506.25,none,none,52,510
4726-f,1453331201403,exp,0,2,0,0,93.75,506.25,none,none,49,504
4726-f,1453331201421,exp,0,2,0,0,93.75,506.25,none,none,47,498
4726-f,1453331201430,exp,0,2,0,0,93.75,506.25,none,none,43,493
4726-f,1453331201449,exp,0,2,0,0,93.75,506.25,none,none,41,491
4726-f,1453331201459,exp,0,2,0,0,93.75,506.25,none,none,38,489
4726-f,1453331201471,exp,0,2,0,0,93.75,506.25,none,none,37,487
4726-f,1453331201485,exp,0,2,0,0,93.75,506.25,none,none,35,487
4726-f,1453331201500,exp,0,2,0,0,93.75,506.25,none,none,35,486
4726-f,1453331201509,exp,0,2,0,0,93.75,506.25,none,none,34,485
4726-f,1453331201567,exp,0,2,0,0,93.75,506.25,none,none,34,486
4726-f,1453331211532,exp,0,2,0,0,93.75,506.25,none,none,28,485
4726-f,1453331211547,exp,0,2,0,0,93.75,506.25,none,none,17,483
4726-f,1453331211560,exp,0,2,0,0,93.75,506.25,none,none,0,483
4726-f,1453331241783,exp,0,2,0,0,93.75,506.25,none,none,3,337
4726-f,1453331241783,exp,0,2,0,0,93.75,506.25,none,none,7,346
4726-f,1453331241792,exp,0,2,0,0,93.75,506.25,none,none,14,358
4726-f,1453331241804,exp,0,2,0,0,93.75,506.25,none,none,19,371
4726-f,1453331241890,exp,0,2,0,0,93.75,506.25,none,none,37,421
4726-f,1453331241952,exp,0,2,0,0,93.75,506.25,none,none,38,421
4726-f,1453331241961,exp,0,2,0,0,93.75,506.25,none,none,40,421
4726-f,1453331242006,exp,0,2,0,0,93.75,506.25,none,none,41,418
4726-f,1453331242010,exp,0,2,0,0,93.75,506.25,none,none,42,413
4726-f,1453331242027,exp,0,2,0,0,93.75,506.25,none,none,43,406
4726-f,1453331242043,exp,0,2,0,0,93.75,506.25,none,none,44,397
4726-f,1453331242051,exp,0,2,0,0,93.75,506.25,none,none,44,389
4726-f,1453331242062,exp,0,2,0,0,93.75,506.25,none,none,44,383
4726-f,1453331242080,exp,0,2,0,0,93.75,506.25,none,none,44,376
4726-f,1453331242100,exp,0,2,0,0,93.75,506.25,none,none,44,374
4726-f,1453331242113,exp,0,2,0,0,93.75,506.25,none,none,44,372
4726-f,1453331242127,exp,0,2,0,0,93.75,506.25,none,none,43,371
4726-f,1453331242138,exp,0,2,0,0,93.75,506.25,none,none,40,370
4726-f,1453331242152,exp,0,2,0,0,93.75,506.25,none,none,35,369
4726-f,1453331242377,exp,0,2,0,0,93.75,506.25,none,none,36,369
4726-f,1453331242402,exp,0,2,0,0,93.75,506.25,none,none,48,363
4726-f,1453331242402,exp,0,2,0,0,93.75,506.25,none,none,63,352
4726-f,1453331242425,exp,0,2,0,0,93.75,506.25,none,none,81,331
4726-f,1453331242429,exp,0,2,0,0,93.75,506.25,none,none,97,305
4726-f,1453331242448,exp,0,2,0,0,93.75,506.25,none,none,112,277
4726-f,1453331242458,exp,0,2,0,0,93.75,506.25,none,none,121,253
4726-f,1453331242463,exp,0,2,0,0,93.75,506.25,none,none,127,234
