,attemptNum,condition,critical,eventType,gameid,instructionNum,iterationName,objectSet,onOff,serverTime,targetObject,timeElapsed,trialNum,trialType
0,0,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,1,planned_sample,4,on,1522788933246.0,mediumMeasuringCup,760,1,exp
1,1,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,0,planned_sample,4,off,1522788935948.0,mediumMeasuringCup,3461,1,exp
2,1,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,0,planned_sample,4,on,1522788936569.0,mediumMeasuringCup,4043,1,exp
3,1,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,0,planned_sample,4,off,1522788937844.0,mediumMeasuringCup,5360,1,exp
4,1,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,1,planned_sample,4,on,1522788954960.0,mediumMeasuringCup,22476,1,exp
5,1,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,1,planned_sample,4,off,1522788955044.0,mediumMeasuringCup,22560,1,exp
6,0,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,1,planned_sample,8,on,1522789017366.0,computerMouse,25018,1,base
7,0,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,1,planned_sample,8,off,1522789017399.0,computerMouse,25051,1,base
8,0,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,3,planned_sample,3,on,1522789175046.0,cassetteTape,1508,5,exp
9,0,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,3,planned_sample,3,off,1522789176232.0,cassetteTape,2692,5,exp
10,0,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,2,planned_sample,6,on,1522789244956.0,boardEraser,1522,3,exp
11,1,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,1,planned_sample,6,off,1522789247080.0,boardEraser,3650,3,exp
12,1,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,1,planned_sample,6,on,1522789249945.0,boardEraser,6514,3,exp
13,1,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,2,planned_sample,6,on,1522789250119.0,boardEraser,6687,3,exp
14,1,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,2,planned_sample,6,off,1522789254653.0,boardEraser,11221,3,exp
15,0,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,8,on,1522789272742.0,computerMouse,12267,1,exp
16,0,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,3,planned_sample,7,on,1522789275912.0,mediumCandle,6510,7,base
17,0,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,3,planned_sample,7,off,1522789275945.0,mediumCandle,6545,7,base
18,0,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,3,planned_sample,7,on,1522789277311.0,mediumCandle,7911,7,base
19,0,scripted,True,mouseOverDistractor,8947-629a9492-a323-44d4-bd04-4b85b5246f63,3,planned_sample,7,off,1522789277362.0,mediumCandle,7961,7,base
20,0,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,8,off,1522789279841.0,computerMouse,19366,1,exp
21,0,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,4,on,1522789354488.0,mediumMeasuringCup,5527,2,base
22,0,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,4,off,1522789356117.0,mediumMeasuringCup,7177,2,base
23,0,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,1,planned_sample,4,on,1522789405318.0,mediumMeasuringCup,1216,5,exp
24,1,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,0,planned_sample,4,off,1522789408434.0,mediumMeasuringCup,4334,5,exp
25,1,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,1,planned_sample,4,on,1522789413491.0,mediumMeasuringCup,9391,5,exp
26,1,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,1,planned_sample,4,off,1522789413544.0,mediumMeasuringCup,9441,5,exp
27,0,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,5,on,1522789573475.0,roundBrush,7710,6,exp
28,0,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,5,off,1522789573626.0,roundBrush,7861,6,exp
29,0,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,5,on,1522789577227.0,roundBrush,1300,6,exp
30,1,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,0,planned_sample,5,off,1522789580361.0,roundBrush,4432,6,exp
31,1,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,0,planned_sample,5,on,1522789581459.0,roundBrush,5532,6,exp
32,1,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,5,on,1522789584021.0,roundBrush,8094,6,exp
33,1,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,5,off,1522789584074.0,roundBrush,8149,6,exp
34,0,unscripted,True,mouseOverDistractor,3374-01519e79-6759-4f00-b000-cbd5605c12bb,2,planned_sample,2,on,1522789588571.0,middleBlock,5523,1,exp
35,0,unscripted,True,mouseOverDistractor,3374-01519e79-6759-4f00-b000-cbd5605c12bb,2,planned_sample,2,off,1522789589186.0,middleBlock,6122,1,exp
36,1,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,5,on,1522789602008.0,roundBrush,770,6,exp
37,1,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,5,off,1522789602576.0,roundBrush,1336,6,exp
38,0,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,2,planned_sample,2,on,1522789691902.0,middleBlock,5684,7,exp
39,1,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,1,planned_sample,2,off,1522789692983.0,middleBlock,6769,7,exp
40,1,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,2,planned_sample,2,on,1522789696749.0,middleBlock,10533,7,exp
41,1,scripted,True,mouseOverDistractor,7130-8492ab5a-49c5-4ec2-acfa-0d5492edf111,2,planned_sample,2,off,1522789696796.0,middleBlock,10583,7,exp
42,0,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,3,planned_sample,7,on,1522789742866.0,mediumCandle,1176,8,exp
43,0,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,3,planned_sample,7,off,1522789742898.0,mediumCandle,1209,8,exp
44,0,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,3,planned_sample,7,on,1522789743084.0,mediumCandle,1395,8,exp
45,1,scripted,True,mouseOverDistractor,5601-ef5309ee-189f-4d87-84a2-d1d52c65c529,2,planned_sample,7,off,1522789744856.0,mediumCandle,3168,8,exp
46,0,scripted,True,mouseOverDistractor,1578-92cffe95-8e93-4ad2-8078-2d0ec1c7442f,2,planned_sample,6,on,1522790681224.0,boardEraser,1472,3,exp
