iterationName	gameid	trialNum	serverTime	context	occlusions	numObjsOccluded	numDistractors	names	gridXs	gridYs	intendedName	clickedName	correct	condition	responseRT	eventType
planned_sample	9452-741992fa-5356-4447-bc18-89338ff71886	1	1522359568632	close	irrelevant	1	4	[striped_green_square,striped_black_star,checked_red_circle,spotted_blue_triangle,checked_blue_circle]	[1,2,3,1,3]	[2,3,2,1,1]	checked_blue_circle	checked_blue_circle	true	within	3150	clickedObj
planned_sample	9452-741992fa-5356-4447-bc18-89338ff71886	2	1522359588810	far	none	0	4	[striped_red_square,checked_black_circle,checked_black_square,wavy_green_square,wavy_red_triangle]	[3,3,3,1,1]	[3,1,2,2,3]	wavy_red_triangle	wavy_red_triangle	true	within	2499	clickedObj
planned_sample	9452-741992fa-5356-4447-bc18-89338ff71886	3	1522359610133	close	none	0	4	[wavy_green_triangle,checked_black_square,checked_red_triangle,spotted_green_circle,wavy_red_square]	[1,2,3,3,3]	[2,3,2,1,3]	wavy_red_square	wavy_red_square	true	within	5147	clickedObj
planned_sample	9452-741992fa-5356-4447-bc18-89338ff71886	4	1522359628614	close	irrelevant	1	3	[spotted_red_triangle,striped_black_square,wavy_green_circle,wavy_black_circle]	[2,1,1,3]	[3,3,2,3]	wavy_black_circle	wavy_black_circle	true	within	2928	clickedObj
planned_sample	9452-741992fa-5356-4447-bc18-89338ff71886	5	1522359649050	far	irrelevant	2	3	[checked_black_circle,striped_green_square,wavy_red_circle,spotted_green_star]	[2,1,1,3]	[1,1,3,1]	spotted_green_star	spotted_green_star	true	within	5158	clickedObj
planned_sample	9452-741992fa-5356-4447-bc18-89338ff71886	6	1522359666363	far	irrelevant	1	4	[striped_black_circle,spotted_green_star,striped_red_square,checked_blue_square,spotted_green_triangle]	[3,3,2,2,1]	[2,1,1,3,1]	spotted_green_triangle	spotted_green_triangle	true	within	3477	clickedObj
planned_sample	9452-741992fa-5356-4447-bc18-89338ff71886	7	1522359681870	far	none	0	2	[wavy_red_triangle,checked_green_triangle,wavy_red_circle]	[3,3,1]	[3,2,3]	wavy_red_circle	wavy_red_circle	true	within	3321	clickedObj
planned_sample	9452-741992fa-5356-4447-bc18-89338ff71886	8	1522359699285	close	none	0	4	[checked_green_circle,striped_red_triangle,striped_green_circle,striped_green_square,checked_green_square]	[1,1,2,3,3]	[1,3,3,3,1]	checked_green_square	checked_green_square	true	within	4262	clickedObj
planned_sample	9452-741992fa-5356-4447-bc18-89338ff71886	9	1522359724323	close	irrelevant	1	2	[striped_red_square,striped_black_triangle,checked_black_square]	[1,3,1]	[3,1,2]	checked_black_square	checked_black_square	true	within	2452	clickedObj
planned_sample	9452-741992fa-5356-4447-bc18-89338ff71886	10	1522359749102	close	none	0	3	[spotted_red_star,striped_green_circle,spotted_blue_triangle,striped_blue_triangle]	[1,2,3,1]	[1,3,3,2]	striped_blue_triangle	striped_blue_triangle	true	within	3693	clickedObj
