model,alpha,textureCost,colorCost,shapeCost,logLikelihood,prob
egocentric,5.313041122044329,0.00007444366771779793,0.00003764342153576044,0.0000565105668676123,-3581.0178722226688,-7.600902459542082
egocentric,5.313041122044329,0.00007444366771779793,0.00004177679449784232,0.00006474986101866775,-3581.0662537222142,-7.600902459542082
egocentric,5.313041122044329,0.00007444366771779793,0.000044757565962483034,0.00005574433216860122,-3581.02908206472,-7.600902459542082
egocentric,5.313041122044329,0.00007008361076855007,0.000042016181843266836,0.00006687324403242835,-3581.0741945643936,-7.600902459542082
egocentric,5.313041122044329,0.00008761780885224171,0.000042016181843266836,0.00006687324403242835,-3581.085447511425,-7.600902459542082
egocentric,5.313041122044329,0.0000862579576988455,0.00004620575384118748,0.00006723215570550075,-3581.0950819948775,-7.600902459542082
egocentric,5.313041122044329,0.00008656946943714408,0.000046292030483891016,0.00006394734161319241,-3581.0796261685437,-7.600902459542082
egocentric,5.313041122044329,0.00008846708932830119,0.00004957861130191589,0.00006059779505107591,-3581.071581137122,-7.600902459542082
egocentric,5.313041122044329,0.00008846708932830119,0.00006188555773310623,0.00005932353770388084,-3581.0912221140015,-7.600902459542082
egocentric,5.313041122044329,0.0000922694386812147,0.00005828743867989346,0.00006546076851107902,-3581.115712135519,-7.600902459542082
egocentric,5.313041122044329,0.00009243177525177084,0.00006355139168213244,0.0000650929959721014,-3581.1250719862296,-7.600902459542082
egocentric,5.313041122044329,0.00008686993194360798,0.00006355139168213244,0.0000650929959721014,-3581.121502154774,-7.600902459542082
egocentric,4.880856282888804,0.00008934578025323373,0.00006837151751486031,0.0000679031817013981,-3580.8868902400695,-7.600902459542082
egocentric,4.880856282888804,0.00007779122122249113,0.00007498860768122365,0.00005885656344144913,-3580.8527392319797,-7.600902459542082
egocentric,4.880856282888804,0.00008210411408014946,0.00007185688318531665,0.00005780917908099188,-3580.844632119496,-7.600902459542082
egocentric,4.880856282888804,0.0000815978458848214,0.00006845471396626249,0.000054365982403088185,-3580.8225174635,-7.600902459542082
egocentric,4.880856282888804,0.00007607345079543921,0.0000621237649651215,0.00005434930188890649,-3580.806897466228,-7.600902459542082
egocentric,4.880856282888804,0.00008326872049763881,0.0000721750350987939,0.00005711530133970205,-3580.84287432961,-7.600902459542082
egocentric,5.441673156681776,0.00008927041981647792,0.00007829952080322156,0.00006147250648242174,-3581.4225577072393,-7.600902459542082
egocentric,5.441673156681776,0.00009870628220660147,0.00009052005780259521,0.00006147250648242174,-3581.454936198244,-7.600902459542082
egocentric,5.441673156681776,0.00010689768109252883,0.00009052005780259521,0.00005865904276534913,-3581.4464060976693,-7.600902459542082
egocentric,5.441673156681776,0.00010824776511987995,0.00009052005780259521,0.000058743961296134365,-3581.4477098791617,-7.600902459542082
egocentric,5.441673156681776,0.00012145549668102519,0.00009718205064655416,0.000058743961296134365,-3581.470645436771,-7.600902459542082
egocentric,5.441673156681776,0.0001534264529470643,0.0000950844720430487,0.000055700702296021304,-3581.4720725440484,-7.600902459542082
egocentric,5.441673156681776,0.00013431407194796266,0.00009361942351542518,0.00005976078710010897,-3581.4764556365158,-7.600902459542082
egocentric,5.441673156681776,0.00013410174084981682,0.00009301080115647888,0.00006189126080425321,-3581.485533820916,-7.600902459542082
egocentric,5.441673156681776,0.00015241464049856542,0.00009301080115647888,0.00006585245166185041,-3581.5171015712976,-7.600902459542082
egocentric,5.586670547134549,0.00015241464049856542,0.00010192809182387095,0.00006585245166185041,-3581.959413864444,-7.600902459542082
egocentric,5.586670547134549,0.0001451404835910167,0.00011132056318062593,0.00006921260612488181,-3581.9922303314333,-7.600902459542082
egocentric,5.586670547134549,0.00013493021661998157,0.00010114004699283612,0.0000670080684576332,-3581.9518220765985,-7.600902459542082
egocentric,5.586670547134549,0.00014548871618319165,0.00010114004699283612,0.00006329944540091674,-3581.9400899113216,-7.600902459542082
