model,alpha,textureCost,colorCost,shapeCost,logLikelihood,prob
occlusionSensitivity,21.609711137134582,0.005336296656794863,0.000014324617332908361,0.000011170555574940872,-3098.775054032367,-7.600902459542082
occlusionSensitivity,23.105385459493846,0.00586994533077586,0.000014324617332908361,0.000010621947354133004,-3097.4560672889565,-7.600902459542082
occlusionSensitivity,23.105385459493846,0.004951428239393164,0.000016369889009916625,0.000011462034736431826,-3097.7467838599755,-7.600902459542082
occlusionSensitivity,24.63546757819131,0.004951428239393164,0.000017611698203057075,0.000011104001868549063,-3098.15543977307,-7.600902459542082
occlusionSensitivity,26.40375531744212,0.005251019099605266,0.000019432254057672296,0.00001090593130841963,-3100.2046700631277,-7.600902459542082
occlusionSensitivity,26.40375531744212,0.005675046669247449,0.000020082107977496073,0.00001090593130841963,-3100.006068522124,-7.600902459542082
occlusionSensitivity,26.40375531744212,0.005324504822624125,0.000020082107977496073,0.000009706029540978996,-3100.149331450857,-7.600902459542082
occlusionSensitivity,26.40375531744212,0.0048252178112073085,0.000018608011188694196,0.000010162466297978939,-3100.435929042039,-7.600902459542082
occlusionSensitivity,26.40375531744212,0.005125952032403685,0.00001891296238211251,0.000010162466297978939,-3100.2575274723345,-7.600902459542082
occlusionSensitivity,26.40375531744212,0.00544024494964629,0.00001850857027322261,0.000008865702873300946,-3100.069547548432,-7.600902459542082
occlusionSensitivity,26.54188370797783,0.00544024494964629,0.000018835502097607677,0.000010028182115750136,-3100.3313724197396,-7.600902459542082
occlusionSensitivity,26.54188370797783,0.004539100554666764,0.000018928632769407715,0.000010963874028267713,-3100.8924859004455,-7.600902459542082
occlusionSensitivity,26.54188370797783,0.004816508379806684,0.00001777036666869925,0.000011947097977771044,-3100.7138201271778,-7.600902459542082
occlusionSensitivity,25.817803512327373,0.00468839281791651,0.00001777036666869925,0.00001534651255526483,-3099.670948954094,-7.600902459542082
occlusionSensitivity,25.389226658735424,0.00468839281791651,0.00001930107487670387,0.000014372200100444746,-3099.0949088454904,-7.600902459542082
occlusionSensitivity,23.09726639650762,0.004254206142669002,0.000018060255153711134,0.000013906164048340987,-3098.106879106156,-7.600902459542082
occlusionSensitivity,23.574520437978208,0.0043274580318794454,0.000017193093263550734,0.000013763608516773642,-3098.048332035538,-7.600902459542082
occlusionSensitivity,22.644455635454506,0.0043274580318794454,0.000015947799939814525,0.000013763608516773642,-3098.214646159908,-7.600902459542082
occlusionSensitivity,21.865984166506678,0.0043274580318794454,0.000015918606328482037,0.000014046986066832154,-3098.8311744298253,-7.600902459542082
occlusionSensitivity,21.865984166506678,0.0043274580318794454,0.00001853506721080412,0.000013941948606530045,-3098.8418145124097,-7.600902459542082
occlusionSensitivity,21.743271918967366,0.004232413958237843,0.000018157294256302588,0.000014278921481966674,-3099.0213697405534,-7.600902459542082
occlusionSensitivity,24.653322433587164,0.004232413958237843,0.00001766921094716835,0.000016165227470530258,-3098.655866160125,-7.600902459542082
occlusionSensitivity,25.320132554043084,0.004143967789592002,0.00001660496987604673,0.000016035888225664052,-3099.382653550636,-7.600902459542082
occlusionSensitivity,25.320132554043084,0.004038206279971371,0.000017172086743837395,0.00001621935719675512,-3099.4655682162265,-7.600902459542082
occlusionSensitivity,26.255006222054362,0.0038430299319192553,0.000017172086743837395,0.00001621935719675512,-3101.011059711826,-7.600902459542082
occlusionSensitivity,26.255006222054362,0.004111122295997624,0.000015988592745463017,0.000017589575731686708,-3100.8044615869503,-7.600902459542082
occlusionSensitivity,23.752908592578024,0.004460637597651415,0.000015250128850170953,0.000016706915597558073,-3098.0461585384946,-7.600902459542082
occlusionSensitivity,22.51308409497142,0.004540662832115351,0.000015491863437185985,0.00001806437282398948,-3098.255846671997,-7.600902459542082
occlusionSensitivity,22.51308409497142,0.004798060095490062,0.000014944717717364174,0.000018018870252607304,-3098.150903421501,-7.600902459542082
occlusionSensitivity,22.51308409497142,0.004872016055664393,0.000014576195555418447,0.00002046140635438936,-3098.1587050321928,-7.600902459542082
occlusionSensitivity,21.214814321137965,0.004872016055664393,0.00001391649400840361,0.000021349580025458302,-3099.6160108237145,-7.600902459542082
occlusionSensitivity,21.214814321137965,0.004655128194689836,0.000014502267549876491,0.000021349580025458302,-3099.6816898093603,-7.600902459542082
occlusionSensitivity,23.825832079164684,0.004418681086098748,0.000016126262483384872,0.000021349580025458302,-3098.164376634424,-7.600902459542082
occlusionSensitivity,23.440997910220176,0.004742505253165413,0.000016126262483384872,0.000019824621099536648,-3097.9237210964498,-7.600902459542082
occlusionSensitivity,23.440997910220176,0.004997892314398094,0.000016353279090064214,0.000022344799784959822,-3097.856458916631,-7.600902459542082
occlusionSensitivity,25.54976509185508,0.005291563829441628,0.000016353279090064214,0.00001964815070724204,-3099.0444653014156,-7.600902459542082
occlusionSensitivity,22.980262159835547,0.005936842172807064,0.00001694301794108278,0.00001964815070724204,-3097.6336822313356,-7.600902459542082
