gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
4983-b,1453229566778,exp,0,5,0,0,director,"move the basketball down one spot"
4983-b,1453229609615,exp,1,5,1,0,director,"move the comb over a spot to the left"
4983-b,1453229656770,exp,1,5,1,1,director,"move the come one position over in the white spot"
4983-b,1453229673236,exp,1,5,1,1,director,"move the comb next to the ring"
4983-b,1453229705182,exp,0,5,2,0,director,"move the ear phones once to the left"
4983-b,1453229732913,exp,0,5,3,0,director,"Move the book one spot to the right"
4983-b,1453229752051,base,0,2,0,0,director,"move the binoculars to the right"
4983-b,1453229777972,base,0,2,1,0,director,"move the wrench next to the a"
4983-b,1453229815216,base,1,2,2,0,director,"move the b block once to the left"
4983-b,1453229837956,base,0,2,3,0,director,"move the coffee once to the right"
4983-b,1453229859831,exp,0,8,0,0,director,"move the comb up one spot"
4983-b,1453229877466,exp,1,8,1,0,director,"Move the mouse up one spot"
4983-b,1453229935140,exp,0,8,2,0,director,"move the pan up one spot"
4983-b,1453229959092,exp,0,8,3,0,director,"move he piano over to the left one spot"
4983-b,1453229987512,exp,0,4,0,0,director,"move the carrot  up one spot"
4983-b,1453230006661,exp,1,4,1,0,director,"move the glass down one spot"
4983-b,1453230039980,exp,1,4,1,1,director,"move the measure glass down one spot"
4983-b,1453230102467,exp,1,4,1,1,director,"Move the clear measure glass down one spot"
4983-b,1453230129101,exp,0,4,2,0,director,"move the water bottle one spot over"
4983-b,1453230149973,exp,0,4,3,0,director,"move the chair over one spot"
4983-b,1453230173465,base,0,3,0,0,director,"move the scissors over one spot"
4983-b,1453230186971,base,0,3,1,0,director,"move the knife one down spot"
4983-b,1453230203141,base,0,3,2,0,director,"move the soap over one spot"
4983-b,1453230215875,base,1,3,3,0,director,"move the tape down one spot"
4983-b,1453230234214,base,0,6,0,0,director,"move the banana up one spot"
4983-b,1453230253423,base,0,6,1,0,director,"move the dollar over one spot to the right"
4983-b,1453230272880,base,1,6,2,0,director,"move the block up one spot"
4983-b,1453230301300,base,0,6,3,0,director,"move the feather once to the left"
4983-b,1453230338904,exp,0,1,0,0,director,"move the plane over one spot to the right"
4983-b,1453230357862,exp,1,1,1,0,director,"move the sunglasses over to the right"
4983-b,1453230378244,exp,0,1,2,0,director,"move the bucket down one spot"
4983-b,1453230395138,exp,0,1,3,0,director,"move the instrument up one spot"
4983-b,1453230411458,base,0,7,0,0,director,"move the magnet down one spot"
4983-b,1453230427887,base,0,7,1,0,director,"move the handcuffs down one spot"
4983-b,1453230441293,base,0,7,2,0,director,"move the stuffed animal down one spot"
4983-b,1453230465214,base,1,7,3,0,director,"move the red candle down one spot"
