gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
5034-c,1453179022445,base,0,4,0,0,matcher,"hi"
5034-c,1453179045476,base,0,4,0,0,director,"Move the caret up"
5034-c,1453179051154,base,0,4,0,0,director,"Hi"
5034-c,1453179066387,base,1,4,1,0,director,"Move the measuring cup down"
5034-c,1453179078094,base,0,4,2,0,director,"Move the water bottle right"
5034-c,1453179096560,base,0,4,3,0,director,"Move the chair left"
5034-c,1453179106073,exp,0,1,0,0,director,"Move the airplane right"
5034-c,1453179115258,exp,1,1,1,0,director,"Move the sunglasses right"
5034-c,1453179123546,exp,0,1,2,0,director,"Move the barrel down"
5034-c,1453179136587,exp,0,1,3,0,director,"Move the saxophone up"
5034-c,1453179145021,base,0,2,0,0,director,"Move the binoculars right"
5034-c,1453179175698,base,0,2,1,0,director,"Move the wrench left"
5034-c,1453179196412,base,1,2,2,0,director,"Move the block with the B on top left"
5034-c,1453179210997,base,0,2,3,0,director,"Move the coffee right"
5034-c,1453179219778,base,0,7,0,0,director,"Move the magnet down"
5034-c,1453179229168,base,0,7,1,0,director,"Move the handcuffs down"
5034-c,1453179239449,base,0,7,2,0,director,"Move the panda down"
5034-c,1453179267661,base,1,7,3,0,director,"Move the candle looking thing that's with a red base down"
5034-c,1453179277885,exp,0,8,0,0,director,"Move the comb up"
5034-c,1453179298700,exp,1,8,1,0,director,"Move the mouse up"
5034-c,1453179307549,exp,0,8,2,0,director,"Move the frying pan up"
5034-c,1453179331366,exp,0,8,3,0,director,"Move the piano left"
5034-c,1453179339068,exp,0,5,0,0,director,"Move the basketball down"
5034-c,1453179349373,exp,1,5,1,0,director,"Move the comb left"
5034-c,1453179364899,exp,0,5,2,0,director,"Move head phones left"
5034-c,1453179373297,exp,0,5,3,0,director,"Move the book right"
5034-c,1453179381181,base,0,3,0,0,director,"Move the scissors right"
5034-c,1453179390798,base,0,3,1,0,director,"Move the knife down"
5034-c,1453179399068,base,0,3,2,0,director,"Move this soap left"
5034-c,1453179406450,base,1,3,3,0,director,"Move the cassette down"
5034-c,1453179413742,exp,0,6,0,0,director,"Move the banana up"
5034-c,1453179421383,exp,0,6,1,0,director,"Move the dollar right"
5034-c,1453179443238,exp,1,6,2,0,director,"Move the eraser up"
5034-c,1453179451782,exp,0,6,3,0,director,"Move the feather left"
