gameid, time, condition, critical, objectSet, instructionNum, attemptNum, targetX, targetY, distractorX, distractorY, mouseX, mouseY
7690-9,1453327895459,base,0,4,0,0,231.25,506.25,none,none,298,298
7690-9,1453327895501,base,0,4,0,0,231.25,506.25,none,none,298,297
7690-9,1453327895706,base,0,4,0,0,231.25,506.25,none,none,299,292
7690-9,1453327895712,base,0,4,0,0,231.25,506.25,none,none,307,290
7690-9,1453327895712,base,0,4,0,0,231.25,506.25,none,none,311,283
7690-9,1453327895712,base,0,4,0,0,231.25,506.25,none,none,313,276
7690-9,1453327895718,base,0,4,0,0,231.25,506.25,none,none,313,267
7690-9,1453327895725,base,0,4,0,0,231.25,506.25,none,none,313,266
7690-9,1453327895734,base,0,4,0,0,231.25,506.25,none,none,313,260
7690-9,1453327895741,base,0,4,0,0,231.25,506.25,none,none,313,256
7690-9,1453327895750,base,0,4,0,0,231.25,506.25,none,none,311,251
7690-9,1453327895757,base,0,4,0,0,231.25,506.25,none,none,309,246
7690-9,1453327895766,base,0,4,0,0,231.25,506.25,none,none,307,242
7690-9,1453327895782,base,0,4,0,0,231.25,506.25,none,none,304,236
7690-9,1453327895789,base,0,4,0,0,231.25,506.25,none,none,301,232
7690-9,1453327895799,base,0,4,0,0,231.25,506.25,none,none,295,226
7690-9,1453327895805,base,0,4,0,0,231.25,506.25,none,none,289,218
7690-9,1453327895814,base,0,4,0,0,231.25,506.25,none,none,278,204
7690-9,1453327895821,base,0,4,0,0,231.25,506.25,none,none,269,192
7690-9,1453327895830,base,0,4,0,0,231.25,506.25,none,none,255,173
7690-9,1453327895837,base,0,4,0,0,231.25,506.25,none,none,240,154
7690-9,1453327895846,base,0,4,0,0,231.25,506.25,none,none,221,130
7690-9,1453327895853,base,0,4,0,0,231.25,506.25,none,none,206,111
7690-9,1453327895862,base,0,4,0,0,231.25,506.25,none,none,186,89
7690-9,1453327895869,base,0,4,0,0,231.25,506.25,none,none,177,83
7690-9,1453327895878,base,0,4,0,0,231.25,506.25,none,none,158,66
7690-9,1453327895884,base,0,4,0,0,231.25,506.25,none,none,146,55
7690-9,1453327895894,base,0,4,0,0,231.25,506.25,none,none,128,41
7690-9,1453327895901,base,0,4,0,0,231.25,506.25,none,none,115,28
7690-9,1453327895910,base,0,4,0,0,231.25,506.25,none,none,100,17
7690-9,1453327895917,base,0,4,0,0,231.25,506.25,none,none,91,8
7690-9,1453327895926,base,0,4,0,0,231.25,506.25,none,none,77,0
7690-9,1453327896262,base,0,4,0,0,231.25,506.25,none,none,20,30
7690-9,1453327896269,base,0,4,0,0,231.25,506.25,none,none,60,40
7690-9,1453327896278,base,0,4,0,0,231.25,506.25,none,none,111,53
7690-9,1453327896285,base,0,4,0,0,231.25,506.25,none,none,159,71
7690-9,1453327896291,base,0,4,0,0,231.25,506.25,none,none,216,89
7690-9,1453327896301,base,0,4,0,0,231.25,506.25,none,none,250,99
7690-9,1453327896310,base,0,4,0,0,231.25,506.25,none,none,321,121
7690-9,1453327896317,base,0,4,0,0,231.25,506.25,none,none,387,144
7690-9,1453327896326,base,0,4,0,0,231.25,506.25,none,none,460,163
7690-9,1453327896333,base,0,4,0,0,231.25,506.25,none,none,529,182
7690-9,1453327896346,base,0,4,0,0,231.25,506.25,none,none,587,203
7690-9,1453327896480,base,0,4,0,0,231.25,506.25,none,none,595,555
7690-9,1453327896489,base,0,4,0,0,231.25,506.25,none,none,587,577
7690-9,1453327896496,base,0,4,0,0,231.25,506.25,none,none,579,595
7690-9,1453327896951,base,0,4,0,0,231.25,506.25,none,none,267,593
7690-9,1453327896957,base,0,4,0,0,231.25,506.25,none,none,280,587
