gameid, time, condition, critical, objectSet, intendedObj, actualObj, intendedX, intendedY, actualX, actualY
2212-1,1425955455403,exp,1,5,roundBrush,hairBrush,2,4,3,1
2212-1,1425955462505,exp,1,5,roundBrush,hairBrush,2,4,3,1
2212-1,1425955595749,exp,1,3,cassetteTape,rollOfTape,3,2,4,2
2212-1,1425955599888,exp,1,3,cassetteTape,cassetteTape,3,2,2,1
