gameid, time, condition, critical, objectSet, intendedObj, actualObj, intendedX, intendedY, actualX, actualY
4528-5,1425931703821,exp,1,4,mediumMeasuringCup,largeMeasuringCup,4,4,1,4
4528-5,1425931757749,exp,1,8,computerMouse,toyMouse,4,2,1,2
