gameid, time, condition, critical, objectSet, instructionNum, attemptNum, intendedObj, actualObj, intendedX, intendedY, actualX, actualY
6008-1,undefined,base,1,8,1,0,computerMouse,computerMouse,4,2,4,4
6008-1,undefined,exp,0,6,1,0,dollar,banana,4,3,4,1
6008-1,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2
6008-1,undefined,exp,1,6,2,1,boardEraser,pencilEraser,2,3,1,2
6008-1,undefined,exp,1,6,2,2,boardEraser,pencilEraser,2,3,1,2
6008-1,undefined,exp,1,6,2,3,boardEraser,pencilEraser,2,3,1,2
6008-1,undefined,exp,1,6,2,4,boardEraser,pencilEraser,2,3,1,2
6008-1,undefined,exp,1,6,2,5,boardEraser,pencilEraser,2,3,1,4
6008-1,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1
6008-1,undefined,exp,0,5,2,0,headphones,headphones,3,3,2,3
6008-1,undefined,base,0,7,0,0,magnet,largeCandle,2,4,4,4
6008-1,undefined,base,1,7,3,0,mediumCandle,largeCandle,1,2,3,5
6008-1,undefined,exp,1,4,1,0,mediumMeasuringCup,largeMeasuringCup,4,4,1,4
