gameid, time, condition, critical, objectSet, instructionNum, attemptNum, sender, contents
0366-3,1453325898368,base,0,8,0,0,director,"move the comb up please"
0366-3,1453325914525,base,1,8,1,0,director,"move the mouse up 1 square"
0366-3,1453325928601,base,0,8,2,0,director,"move the fry pan up 1 square"
0366-3,1453325940963,base,0,8,3,0,director,"move piano left"
0366-3,1453325961647,exp,0,3,0,0,director,"move scissors right 1 square"
0366-3,1453325972550,exp,0,3,1,0,director,"knife down"
0366-3,1453325985263,exp,0,3,2,0,director,"soap left 1"
0366-3,1453326000896,exp,1,3,3,0,director,"cassette tap down 1"
0366-3,1453326003740,exp,1,3,3,0,director,"tape"
0366-3,1453326016585,base,0,7,0,0,director,"magnet down"
0366-3,1453326050025,base,0,7,1,0,director,"handcuffs down 1"
0366-3,1453326071715,base,0,7,2,0,director,"teddy panda bear down 1"
0366-3,1453326091603,base,1,7,3,0,director,"RED candle down 1"
0366-3,1453326101503,exp,0,6,0,0,director,"banana up 1"
0366-3,1453326113772,exp,0,6,1,0,director,"dollar bill right"
0366-3,1453326130169,exp,1,6,2,0,director,"black eraser up 1"
0366-3,1453326157424,exp,0,6,3,0,director,"feather left 1"
0366-3,1453326175555,base,0,5,0,0,director,"basketball down 1"
0366-3,1453326193693,base,1,5,1,0,director,"round hairbrush left 1"
0366-3,1453326212275,base,0,5,2,0,director,"headphones left 1"
0366-3,1453326222733,base,0,5,3,0,director,"book right 1"
0366-3,1453326234790,exp,0,1,0,0,director,"airplane right 1"
0366-3,1453326254303,exp,1,1,1,0,director,"sunglasses right 1"
0366-3,1453326265583,exp,0,1,2,0,director,"barrel down 1"
0366-3,1453326279645,exp,0,1,3,0,director,"sax up 1"
0366-3,1453326290019,base,0,4,0,0,director,"carrot up 1"
0366-3,1453326308111,base,1,4,1,0,director,"LARGE pyrex measuring cup down"
0366-3,1453326322243,base,0,4,2,0,director,"water bottle right 1"
0366-3,1453326332051,base,0,4,3,0,director,"chair left 1"
0366-3,1453326347126,exp,0,2,0,0,director,"binoculars right 1"
0366-3,1453326356847,exp,0,2,1,0,director,"wrench left 1"
0366-3,1453326379734,exp,1,2,2,0,director,"blue B block left 1"
0366-3,1453326393126,exp,0,2,3,0,director,"mug right 1"
