context	occlusions	numObjsOccluded	numDistractors	iterationName	gameid	time	intendedName	trialNum	text	role	timeFromRoundStart	eventType
far	irrelevant	2	3	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509198598	checked_black_square	1	checkerboard	speaker	2399	chatMessage
far	irrelevant	2	3	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509203333	checked_black_square	1	square	speaker	1056	chatMessage
close	none	0	2	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509253293	checked_green_square	2	green square checkerboard	speaker	5145	chatMessage
close	critical	1	3	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509272857	wavy_green_triangle	3	triangle green squiggles	speaker	6023	chatMessage
far	irrelevant	2	3	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509319080	checked_blue_star	4	blue star checker	speaker	5238	chatMessage
close	irrelevant	1	2	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509362853	spotted_black_circle	5	dots black circle 	speaker	6306	chatMessage
close	none	0	2	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509377889	checked_green_square	6	green square checker	speaker	4572	chatMessage
close	critical	1	2	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509397364	spotted_blue_triangle	7	blue triangle dots	speaker	4562	chatMessage
far	none	0	4	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509409979	spotted_green_star	8	green star dots	speaker	5693	chatMessage
close	none	0	2	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509433011	striped_black_star	9	black star stripe	speaker	6828	chatMessage
far	irrelevant	1	2	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509457116	checked_green_circle	10	green circle checker	speaker	7850	chatMessage
far	none	0	3	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509485794	checked_blue_square	11	blue square checker	speaker	8199	chatMessage
far	none	0	3	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509537394	wavy_green_square	12	green square squiggles	speaker	7770	chatMessage
far	irrelevant	1	3	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509551693	spotted_red_square	13	red square dots	speaker	3562	chatMessage
close	critical	1	4	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509574127	striped_black_square	14	black square stripe	speaker	4704	chatMessage
far	none	0	3	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509602770	striped_green_circle	15	green circle stripe	speaker	6093	chatMessage
far	none	0	2	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509619839	spotted_black_triangle	16	black triangle dots	speaker	4781	chatMessage
close	irrelevant	2	4	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509636407	checked_blue_triangle	17	blue triangle checker	speaker	5983	chatMessage
close	irrelevant	2	4	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509707350	checked_blue_triangle	17	hello?	speaker	1227	chatMessage
close	irrelevant	1	2	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509772099	spotted_red_circle	18	red circle dots	speaker	3459	chatMessage
far	none	0	3	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509784561	striped_blue_square	19	blue square stripe	speaker	4063	chatMessage
close	none	0	3	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509800093	spotted_red_square	20	red square dots	speaker	4792	chatMessage
far	irrelevant	2	4	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509816195	wavy_black_triangle	21	black triangle squiggles	speaker	5189	chatMessage
close	none	0	4	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509847289	spotted_blue_circle	22	blue circle dots	speaker	5580	chatMessage
far	irrelevant	1	2	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509868131	striped_green_square	23	green square stripe	speaker	8906	chatMessage
close	none	0	2	pilot0	0608-88ff7068-4c8c-4047-85ee-efd6314be332	1521509899530	spotted_red_triangle	24	red triangle dots	speaker	3947	chatMessage
