context	occlusions	numObjsOccluded	numDistractors	iterationName	gameid	time	intendedName	trialNum	text	role	timeFromRoundStart	eventType
close	irrelevant	1	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505169619	striped_blue_triangle	1	blue triangle with grey verticle stripes	speaker	8881	chatMessage
close	none	0	4	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505208520	checked_green_star	2	green star with grey squares	speaker	9599	chatMessage
close	irrelevant	1	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505241712	checked_black_circle	3	black circle with large grey squares	speaker	11015	chatMessage
close	none	0	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505265511	spotted_red_circle	4	red circle with small grey circles	speaker	10974	chatMessage
far	irrelevant	1	4	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505285321	checked_black_circle	5	black circle with large grey squares	speaker	7233	chatMessage
close	none	0	4	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505306201	spotted_red_triangle	6	red triangle with small grey circles	speaker	8145	chatMessage
far	irrelevant	1	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505343833	wavy_red_circle	7	red circle with grey squiggles	speaker	13752	chatMessage
close	critical	1	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505365718	wavy_red_square	8	red square with grey squiggles	speaker	8401	chatMessage
far	none	0	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505383935	checked_red_star	9	red star with small grey squares	speaker	7879	chatMessage
far	irrelevant	1	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505401562	checked_black_circle	10	black circle with large grey squares	speaker	6831	chatMessage
close	critical	1	3	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505420460	spotted_green_square	11	green square with small grey circles	speaker	6623	chatMessage
far	none	0	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505438048	checked_green_circle	12	green circle with large grey squares	speaker	7496	chatMessage
close	critical	1	3	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505455231	checked_red_star	13	red star with small grey squares	speaker	7719	chatMessage
close	none	0	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505474343	checked_black_circle	14	black circle with large grey squares	speaker	7112	chatMessage
close	none	0	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505492121	spotted_black_triangle	15	black triangle with small grey cricles	speaker	6431	chatMessage
far	none	0	4	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505509062	striped_green_circle	16	green circle with grey verticle lines	speaker	6024	chatMessage
far	irrelevant	2	3	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505525193	wavy_blue_triangle	17	blue triangle with wavy lines	speaker	6664	chatMessage
far	irrelevant	1	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505541414	spotted_red_square	18	red square with small grey circles	speaker	6032	chatMessage
close	irrelevant	1	4	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505563779	striped_red_triangle	19	red triangle with vertical grey lines	speaker	11015	chatMessage
far	none	0	2	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505580134	checked_blue_circle	20	blue circle with large grey squares	speaker	5704	chatMessage
far	irrelevant	1	4	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505596023	wavy_blue_circle	21	blue circle with grey wavy lines	speaker	6192	chatMessage
far	none	0	3	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505610215	wavy_black_star	22	black star with wavy lines	speaker	4288	chatMessage
close	none	0	4	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505626691	striped_green_square	23	green square with vertical lines	speaker	6174	chatMessage
far	none	0	4	pilot0	9882-b9b80caf-d745-4d04-8d66-5e83dbd0f377	1521505645449	checked_red_square	24	red square with large grey squares	speaker	9232	chatMessage
