iterationName	gameid	trialNum	serverTime	context	occlusions	numObjsOccluded	numDistractors	names	gridXs	gridYs	occlusion1	occlusion2	clickedHiddenObj	intendedName	clickedName	correct	condition	responseRT	eventType
pilot1	2392-779676c1-f6cc-4744-ab2d-7b6a0a2561c3	1	1578455461244	far	irrelevant	2	4	[checked_blue_triangle,spotted_red_square,wavy_green_triangle,checked_red_star,checked_red_circle]	[1,2,1,2,3]	[1,3,3,1,2]	[2,3]	[1,3]	false	checked_red_circle	checked_red_circle	true	scripted	3261	clickedObj
pilot1	2392-779676c1-f6cc-4744-ab2d-7b6a0a2561c3	2	1578455473080	close	irrelevant	2	4	[striped_black_triangle,striped_red_circle,spotted_green_circle,checked_blue_circle,checked_green_triangle]	[3,3,3,2,1]	[3,1,2,1,3]	[3,1]	[2,1]	false	checked_green_triangle	checked_green_triangle	true	scripted	2752	clickedObj
pilot1	2392-779676c1-f6cc-4744-ab2d-7b6a0a2561c3	3	1578455483788	far	irrelevant	1	2	[checked_green_circle,spotted_blue_square,spotted_black_triangle]	[1,1,2]	[2,1,1]	[1,2]	[1,3]	true	spotted_black_triangle	checked_green_circle	false	scripted	6534	clickedObj
pilot1	2392-779676c1-f6cc-4744-ab2d-7b6a0a2561c3	4	1578455491492	far	irrelevant	1	2	[wavy_green_square,spotted_black_square,spotted_black_star]	[3,2,3]	[2,1,1]	[2,1]	[1,2]	false	spotted_black_star	spotted_black_star	true	scripted	2089	clickedObj
pilot1	2392-779676c1-f6cc-4744-ab2d-7b6a0a2561c3	5	1578455498741	far	irrelevant	2	4	[checked_green_circle,checked_red_square,spotted_black_triangle,wavy_black_triangle,spotted_green_star]	[3,3,1,1,3]	[1,3,3,1,2]	[3,1]	[1,1]	false	spotted_green_star	spotted_green_star	true	scripted	2610	clickedObj
pilot1	2392-779676c1-f6cc-4744-ab2d-7b6a0a2561c3	6	1578455510280	close	irrelevant	2	3	[striped_blue_square,checked_red_star,checked_green_circle,checked_blue_square]	[3,1,2,3]	[1,2,1,3]	[1,2]	[2,1]	false	checked_blue_square	striped_blue_square	false	scripted	5116	clickedObj
pilot1	2392-779676c1-f6cc-4744-ab2d-7b6a0a2561c3	7	1578455516731	far	irrelevant	1	2	[spotted_red_star,checked_red_star,checked_blue_circle]	[2,1,1]	[3,3,2]	[2,3]	[3,2]	false	checked_blue_circle	checked_blue_circle	true	scripted	1381	clickedObj
pilot1	2392-779676c1-f6cc-4744-ab2d-7b6a0a2561c3	8	1578455523129	far	irrelevant	1	2	[spotted_green_triangle,striped_black_square,wavy_green_circle]	[3,1,1]	[1,1,2]	[1,1]	[3,2]	false	wavy_green_circle	wavy_green_circle	true	scripted	1974	clickedObj
pilot1	2392-779676c1-f6cc-4744-ab2d-7b6a0a2561c3	9	1578455533510	close	critical	2	4	[spotted_black_square,wavy_green_square,striped_blue_star,striped_black_triangle,checked_blue_star]	[1,2,2,1,1]	[3,3,1,1,2]	[1,3]	[2,1]	false	checked_blue_star	checked_blue_star	true	scripted	4243	clickedObj
pilot1	2392-779676c1-f6cc-4744-ab2d-7b6a0a2561c3	10	1578455541187	far	irrelevant	1	2	[spotted_green_star,wavy_green_square,wavy_black_triangle]	[1,1,3]	[2,3,1]	[1,3]	[3,3]	false	wavy_black_triangle	wavy_black_triangle	true	scripted	1784	clickedObj
