iterationName	gameid	trialNum	serverTime	context	occlusions	numObjsOccluded	numDistractors	names	gridXs	gridYs	occlusion1	occlusion2	clickedHiddenObj	intendedName	clickedName	correct	condition	responseRT	eventType
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	1	1578455368670	close	irrelevant	1	3	[spotted_green_triangle,wavy_green_star,striped_red_triangle,striped_red_star]	[2,3,3,2]	[1,3,2,3]	[3,2]	[1,2]	false	striped_red_star	striped_red_star	true	scripted	7806	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	2	1578455379758	far	irrelevant	1	2	[spotted_blue_square,wavy_green_circle,spotted_red_triangle]	[3,1,2]	[2,1,1]	[3,2]	[3,3]	false	spotted_red_triangle	spotted_red_triangle	true	scripted	2538	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	3	1578455392959	far	irrelevant	1	4	[striped_red_circle,checked_blue_square,striped_blue_circle,wavy_black_star,checked_green_triangle]	[3,3,2,1,3]	[3,1,3,3,2]	[2,3]	[1,1]	false	checked_green_triangle	checked_green_triangle	true	scripted	6737	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	4	1578455405811	far	irrelevant	1	3	[spotted_green_star,spotted_blue_circle,striped_red_star,striped_black_square]	[1,3,1,3]	[2,2,3,3]	[1,3]	[2,1]	false	striped_black_square	spotted_green_star	false	scripted	7027	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	5	1578455415858	far	irrelevant	1	4	[spotted_black_star,checked_blue_star,spotted_black_circle,spotted_green_star,spotted_black_triangle]	[3,3,2,1,2]	[2,3,3,3,1]	[2,3]	[1,2]	false	spotted_black_triangle	spotted_black_triangle	true	scripted	2460	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	6	1578455425624	close	irrelevant	1	2	[striped_green_circle,checked_blue_star,checked_green_circle]	[2,3,1]	[3,1,3]	[3,1]	[1,2]	false	checked_green_circle	striped_green_circle	false	scripted	3490	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	7	1578455435725	close	critical	2	3	[wavy_black_star,striped_black_triangle,wavy_red_circle,spotted_red_star]	[3,2,2,1]	[3,1,3,3]	[3,3]	[2,1]	true	spotted_red_star	wavy_black_star	false	scripted	4762	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	8	1578455447062	far	irrelevant	1	4	[wavy_red_circle,checked_green_circle,wavy_green_triangle,checked_blue_triangle,striped_red_star]	[3,3,2,1,1]	[3,1,1,1,2]	[3,3]	[2,3]	false	striped_red_star	striped_red_star	true	scripted	1944	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	9	1578455458048	far	irrelevant	1	4	[striped_blue_triangle,spotted_green_star,wavy_green_circle,checked_blue_circle,striped_red_square]	[2,2,1,3,3]	[1,3,2,1,3]	[3,1]	[1,3]	false	striped_red_square	striped_red_square	true	scripted	3788	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	10	1578455470224	far	irrelevant	1	4	[checked_blue_star,spotted_black_star,wavy_red_star,wavy_black_star,striped_blue_square]	[1,3,2,2,1]	[1,2,3,1,3]	[1,1]	[3,3]	false	striped_blue_square	striped_blue_square	true	scripted	6090	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	11	1578455480501	close	critical	2	4	[checked_green_circle,spotted_red_star,checked_red_square,spotted_blue_triangle,spotted_black_star]	[3,3,1,2,1]	[1,2,1,3,2]	[3,2]	[1,1]	false	spotted_black_star	spotted_black_star	true	scripted	3764	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	12	1578455488938	close	irrelevant	1	2	[striped_blue_circle,spotted_green_star,striped_blue_star]	[2,3,2]	[3,2,1]	[2,3]	[3,1]	false	striped_blue_star	striped_blue_star	true	scripted	1774	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	13	1578455495798	far	irrelevant	1	2	[spotted_red_circle,checked_blue_square,spotted_green_star]	[2,1,3]	[3,1,2]	[1,1]	[1,2]	false	spotted_green_star	spotted_green_star	true	scripted	1764	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	14	1578455503093	close	irrelevant	1	2	[striped_blue_star,checked_red_circle,striped_blue_circle]	[3,1,1]	[3,3,1]	[3,3]	[2,3]	false	striped_blue_circle	striped_blue_circle	true	scripted	1788	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	15	1578455512295	close	critical	2	3	[striped_red_triangle,striped_black_star,striped_red_star,spotted_red_triangle]	[3,2,3,1]	[1,1,2,1]	[3,1]	[3,2]	false	spotted_red_triangle	spotted_red_triangle	true	scripted	3646	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	16	1578455521846	far	irrelevant	1	2	[checked_red_square,spotted_blue_square,checked_blue_star]	[1,3,1]	[3,3,2]	[1,3]	[2,1]	false	checked_blue_star	checked_blue_star	true	scripted	3514	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	17	1578455532141	close	critical	1	2	[wavy_red_square,wavy_red_triangle,checked_red_square]	[1,1,3]	[3,2,1]	[1,3]	[1,1]	false	checked_red_square	checked_red_square	true	scripted	2584	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	18	1578455540540	far	irrelevant	2	3	[spotted_red_triangle,striped_green_square,spotted_black_triangle,wavy_green_circle]	[3,3,2,1]	[2,1,3,1]	[3,2]	[2,3]	false	wavy_green_circle	wavy_green_circle	true	scripted	2568	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	19	1578455546866	far	irrelevant	1	2	[checked_black_triangle,checked_black_square,checked_green_circle]	[3,1,2]	[1,3,3]	[1,3]	[3,2]	false	checked_green_circle	checked_green_circle	true	scripted	1648	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	20	1578455554852	close	irrelevant	1	3	[checked_blue_square,striped_black_star,wavy_black_triangle,checked_red_star]	[3,1,3,2]	[1,2,2,3]	[3,2]	[1,3]	false	checked_red_star	checked_red_star	true	scripted	1890	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	21	1578455561788	far	irrelevant	1	3	[spotted_green_triangle,checked_green_triangle,striped_green_star,checked_black_circle]	[3,2,1,2]	[1,1,3,3]	[1,3]	[1,2]	false	checked_black_circle	checked_black_circle	true	scripted	1710	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	22	1578455569313	close	critical	2	4	[wavy_blue_square,spotted_blue_circle,striped_red_star,striped_green_star,wavy_green_square]	[2,1,1,3,3]	[3,1,3,3,1]	[2,3]	[1,1]	false	wavy_green_square	wavy_green_square	true	scripted	2358	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	23	1578455576894	far	irrelevant	1	2	[checked_black_star,spotted_green_triangle,striped_black_circle]	[2,3,3]	[1,3,1]	[2,1]	[1,3]	false	striped_black_circle	striped_black_circle	true	scripted	1663	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	24	1578455585224	far	irrelevant	1	2	[checked_red_triangle,striped_green_square,checked_blue_circle]	[3,1,2]	[1,2,3]	[3,1]	[1,1]	false	checked_blue_circle	checked_blue_circle	true	scripted	2076	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	25	1578455594668	close	critical	1	4	[wavy_red_star,checked_black_circle,spotted_red_star,spotted_black_square,wavy_black_circle]	[1,1,2,3,2]	[3,1,1,2,3]	[1,1]	[3,3]	false	wavy_black_circle	wavy_black_circle	true	scripted	2920	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	26	1578455605849	close	irrelevant	2	4	[checked_red_circle,wavy_black_star,wavy_blue_triangle,checked_green_square,striped_red_star]	[1,2,3,3,1]	[2,1,1,2,1]	[1,2]	[3,2]	false	striped_red_star	striped_red_star	true	scripted	2459	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	27	1578455614534	close	irrelevant	1	2	[spotted_green_star,checked_black_triangle,checked_blue_star]	[3,2,1]	[3,3,1]	[2,3]	[1,3]	false	checked_blue_star	checked_blue_star	true	scripted	1920	clickedObj
pilot1	0206-f5115657-dd59-4f6a-9769-03e60829872d	28	1578455623357	far	irrelevant	1	3	[checked_black_square,checked_blue_circle,spotted_blue_square,checked_black_star]	[1,1,2,3]	[3,1,3,2]	[1,3]	[2,1]	false	checked_black_star	checked_black_star	true	scripted	2541	clickedObj
