gameid, time, condition, critical, objectSet, targetX, targetY, distractorX, distractorY, mouseX, mouseY
2212-1,1425955374157,base,0,4,231.25,506.25,none,none,303,298
2212-1,1425955374477,base,0,4,231.25,506.25,none,none,303,298
2212-1,1425955375404,base,0,4,231.25,506.25,none,none,301,299
2212-1,1425955375415,base,0,4,231.25,506.25,none,none,297,302
2212-1,1425955375420,base,0,4,231.25,506.25,none,none,294,305
2212-1,1425955375431,base,0,4,231.25,506.25,none,none,289,308
2212-1,1425955375437,base,0,4,231.25,506.25,none,none,286,310
2212-1,1425955375444,base,0,4,231.25,506.25,none,none,285,310
2212-1,1425955375621,base,0,4,231.25,506.25,none,none,284,310
2212-1,1425955375652,base,0,4,231.25,506.25,none,none,283,310
2212-1,1425955375838,base,0,4,231.25,506.25,none,none,283,309
2212-1,1425955375925,base,0,4,231.25,506.25,none,none,283,308
2212-1,1425955375930,base,0,4,231.25,506.25,none,none,284,307
2212-1,1425955375937,base,0,4,231.25,506.25,none,none,284,306
2212-1,1425955375942,base,0,4,231.25,506.25,none,none,286,303
2212-1,1425955375953,base,0,4,231.25,506.25,none,none,287,301
2212-1,1425955375963,base,0,4,231.25,506.25,none,none,288,301
2212-1,1425955375984,base,0,4,231.25,506.25,none,none,288,300
2212-1,1425955375984,base,0,4,231.25,506.25,none,none,289,299
2212-1,1425955375989,base,0,4,231.25,506.25,none,none,289,298
2212-1,1425955375997,base,0,4,231.25,506.25,none,none,290,298
2212-1,1425955376008,base,0,4,231.25,506.25,none,none,292,298
2212-1,1425955376029,base,0,4,231.25,506.25,none,none,292,297
2212-1,1425955376170,base,0,4,231.25,506.25,none,none,292,296
2212-1,1425955376913,base,0,4,231.25,506.25,none,none,283,300
2212-1,1425955376918,base,0,4,231.25,506.25,none,none,274,305
2212-1,1425955376925,base,0,4,231.25,506.25,none,none,260,308
2212-1,1425955376936,base,0,4,231.25,506.25,none,none,243,311
2212-1,1425955376941,base,0,4,231.25,506.25,none,none,224,311
2212-1,1425955376952,base,0,4,231.25,506.25,none,none,197,309
2212-1,1425955376957,base,0,4,231.25,506.25,none,none,170,301
2212-1,1425955376964,base,0,4,231.25,506.25,none,none,138,298
2212-1,1425955376974,base,0,4,231.25,506.25,none,none,107,294
2212-1,1425955376979,base,0,4,231.25,506.25,none,none,81,293
2212-1,1425955376991,base,0,4,231.25,506.25,none,none,55,291
2212-1,1425955376996,base,0,4,231.25,506.25,none,none,33,290
2212-1,1425955377006,base,0,4,231.25,506.25,none,none,9,289
2212-1,1425955393783,base,0,4,231.25,506.25,none,none,18,183
2212-1,1425955393790,base,0,4,231.25,506.25,none,none,41,182
2212-1,1425955393798,base,0,4,231.25,506.25,none,none,68,182
2212-1,1425955393806,base,0,4,231.25,506.25,none,none,94,183
2212-1,1425955393814,base,0,4,231.25,506.25,none,none,125,185
2212-1,1425955393820,base,0,4,231.25,506.25,none,none,148,187
2212-1,1425955393828,base,0,4,231.25,506.25,none,none,169,190
2212-1,1425955393837,base,0,4,231.25,506.25,none,none,188,191
2212-1,1425955393845,base,0,4,231.25,506.25,none,none,203,194
2212-1,1425955393852,base,0,4,231.25,506.25,none,none,214,197
2212-1,1425955393861,base,0,4,231.25,506.25,none,none,225,200
2212-1,1425955393868,base,0,4,231.25,506.25,none,none,231,202
2212-1,1425955393875,base,0,4,231.25,506.25,none,none,238,206
2212-1,1425955393882,base,0,4,231.25,506.25,none,none,241,208
2212-1,1425955393887,base,0,4,231.25,506.25,none,none,243,211
2212-1,1425955393898,base,0,4,231.25,506.25,none,none,245,215
2212-1,1425955393909,base,0,4,231.25,506.25,none,none,249,220
2212-1,1425955393914,base,0,4,231.25,506.25,none,none,251,228
2212-1,1425955393921,base,0,4,231.25,506.25,none,none,253,238
2212-1,1425955393942,base,0,4,231.25,506.25,none,none,256,248
2212-1,1425955393944,base,0,4,231.25,506.25,none,none,258,269
2212-1,1425955393949,base,0,4,231.25,506.25,none,none,260,280
2212-1,1425955393956,base,0,4,231.25,506.25,none,none,261,290
2212-1,1425955393967,base,0,4,231.25,506.25,none,none,263,299
2212-1,1425955393978,base,0,4,231.25,506.25,none,none,265,310
2212-1,1425955393984,base,0,4,231.25,506.25,none,none,268,319
2212-1,1425955393990,base,0,4,231.25,506.25,none,none,269,330
2212-1,1425955393997,base,0,4,231.25,506.25,none,none,272,342
2212-1,1425955394007,base,0,4,231.25,506.25,none,none,276,353
2212-1,1425955394014,base,0,4,231.25,506.25,none,none,280,362
2212-1,1425955394019,base,0,4,231.25,506.25,none,none,285,375
2212-1,1425955394026,base,0,4,231.25,506.25,none,none,288,384
2212-1,1425955394037,base,0,4,231.25,506.25,none,none,289,391
2212-1,1425955394042,base,0,4,231.25,506.25,none,none,290,396
2212-1,1425955394049,base,0,4,231.25,506.25,none,none,290,399
2212-1,1425955394060,base,0,4,231.25,506.25,none,none,290,404
2212-1,1425955394065,base,0,4,231.25,506.25,none,none,290,407
2212-1,1425955394072,base,0,4,231.25,506.25,none,none,288,410
2212-1,1425955394082,base,0,4,231.25,506.25,none,none,286,416
2212-1,1425955394092,base,0,4,231.25,506.25,none,none,284,420
2212-1,1425955394098,base,0,4,231.25,506.25,none,none,281,427
2212-1,1425955394108,base,0,4,231.25,506.25,none,none,279,434
2212-1,1425955394110,base,0,4,231.25,506.25,none,none,278,441
2212-1,1425955394121,base,0,4,231.25,506.25,none,none,278,445
2212-1,1425955394132,base,0,4,231.25,506.25,none,none,277,450
2212-1,1425955394138,base,0,4,231.25,506.25,none,none,276,452
2212-1,1425955394144,base,0,4,231.25,506.25,none,none,275,453
2212-1,1425955394154,base,0,4,231.25,506.25,none,none,275,455
2212-1,1425955394160,base,0,4,231.25,506.25,none,none,274,458
