gameid, time, condition, critical, objectSet, instructionNum, attemptNum, intendedObj, actualObj, intendedX, intendedY, actualX, actualY, criticalError
6008-1,undefined,base,1,8,1,0,computerMouse,computerMouse,4,2,4,4,0
6008-1,undefined,exp,0,6,1,0,dollar,banana,4,3,4,1,0
6008-1,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
6008-1,undefined,exp,1,6,2,1,boardEraser,pencilEraser,2,3,1,2,1
6008-1,undefined,exp,1,6,2,2,boardEraser,pencilEraser,2,3,1,2,1
6008-1,undefined,exp,1,6,2,3,boardEraser,pencilEraser,2,3,1,2,1
6008-1,undefined,exp,1,6,2,4,boardEraser,pencilEraser,2,3,1,2,1
6008-1,undefined,exp,1,6,2,5,boardEraser,pencilEraser,2,3,1,4,1
6008-1,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
6008-1,undefined,exp,0,5,2,0,headphones,headphones,3,3,2,3,0
6008-1,undefined,base,0,7,0,0,magnet,largeCandle,2,4,4,4,0
6008-1,undefined,base,1,7,3,0,mediumCandle,largeCandle,1,2,3,5,0
6008-1,undefined,exp,1,4,1,0,mediumMeasuringCup,largeMeasuringCup,4,4,1,4,1
8136-9,undefined,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
8136-9,undefined,exp,1,6,2,1,boardEraser,pencilEraser,2,3,1,2,1
5266-a,undefined,exp,0,5,0,0,basketball,basketball,3,2,3,3,0
5266-a,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
8740-0,undefined,exp,1,7,3,0,mediumCandle,smallCandle,1,2,1,4,1
8740-0,undefined,base,0,4,2,0,waterBottle,waterBottle,2,2,3,2,0
3247-a,undefined,base,1,8,1,0,computerMouse,computerMouse,4,2,4,4,0
3247-a,undefined,exp,1,4,1,0,mediumMeasuringCup,largeMeasuringCup,4,4,1,4,1
3247-a,undefined,exp,1,4,1,1,mediumMeasuringCup,smallMeasuringCup,4,4,3,2,0
3247-a,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
