gameid, time, condition, critical, objectSet, instructionNum, attemptNum, intendedObj, actualObj, intendedX, intendedY, actualX, actualY,criticalError
5710-4,1426092517594,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
5710-4,1426092534034,exp,1,5,1,1,roundBrush,hairBrush,2,4,3,1,1
5710-4,1426092568290,exp,1,5,1,2,roundBrush,hairBrush,2,4,3,1,1
5710-4,1426092676234,exp,1,7,3,0,mediumCandle,smallCandle,1,2,1,4,1
5710-4,1426092714633,exp,0,4,3,0,chair,largeMeasuringCup,3,2,1,4,0
5710-4,1426092721385,exp,0,4,3,1,chair,waterBottle,3,2,3,2,0
5710-4,1426092785509,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
5710-4,1426092794322,exp,1,6,2,1,boardEraser,pencilEraser,2,3,1,2,1
5710-4,1426092800890,exp,1,6,2,2,boardEraser,pencilEraser,2,3,1,2,1
3814-8,1426092564059,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
3814-8,1426092766166,exp,1,2,2,0,middleBlock,bottomBlock,3,3,3,4,1
5247-5,1426093201110,exp,1,7,3,0,mediumCandle,smallCandle,1,2,1,4,1
3558-f,1426094955384,exp,1,1,1,0,sunGlasses,barrel,4,4,4,3,0
3558-f,1426095042432,base,1,5,1,0,roundBrush,basketball,2,4,3,3,0
3558-f,1426095182212,exp,1,4,1,0,mediumMeasuringCup,largeMeasuringCup,4,4,1,4,1
3558-f,1426095212916,exp,0,4,2,0,waterBottle,waterBottle,2,2,0,2,0
3558-f,1426095220331,exp,0,4,2,1,waterBottle,smallMeasuringCup,2,2,2,1,0
4171-7,1426095320470,exp,1,4,1,0,mediumMeasuringCup,largeMeasuringCup,4,4,1,4,1
4171-7,1426095415858,base,1,2,2,0,middleBlock,stapler,3,3,3,4,1
4171-7,1426095675694,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
4171-7,1426095742646,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
5416-8,1426096335756,exp,1,2,2,0,middleBlock,bottomBlock,3,3,3,4,1
8325-c,1426096341004,exp,1,8,1,0,computerMouse,toyMouse,4,2,1,2,1
3571-8,1426096469495,exp,1,2,2,0,middleBlock,bottomBlock,3,3,3,4,1
3571-8,1426096662255,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
0626-a,1426096389695,exp,1,4,1,0,mediumMeasuringCup,largeMeasuringCup,4,4,1,4,1
0626-a,1426096550990,exp,1,7,3,0,mediumCandle,smallCandle,1,2,1,4,1
0626-a,1426096561247,exp,1,7,3,1,mediumCandle,smallCandle,1,2,1,4,1
0626-a,1426096571472,exp,1,7,3,2,mediumCandle,smallCandle,1,2,1,4,1
0626-a,1426096607676,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
7121-5,1426096450102,base,0,6,1,0,dollar,dollar,4,3,2,3,0
7121-5,1426096550247,exp,0,4,3,0,chair,chair,3,2,5,2,0
7121-5,1426096608568,exp,0,3,2,0,barOfSoap,barOfSoap,3,3,5,3,0
7121-5,1426096632257,exp,1,3,3,0,cassetteTape,rollOfTape,3,2,4,2,1
7121-5,1426096708649,base,1,2,2,0,middleBlock,stapler,3,3,3,4,1
7121-5,1426096713557,base,1,2,2,1,middleBlock,binoculars,3,3,1,4,0
7121-5,1426096751039,exp,1,8,1,0,computerMouse,toyMouse,4,2,1,2,1
7812-0,1426093639467,exp,1,4,1,0,mediumMeasuringCup,largeMeasuringCup,4,4,1,4,1
7812-0,1426093660974,exp,0,4,2,0,waterBottle,waterBottle,2,2,0,2,0
7812-0,1426093733311,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
7812-0,1426093902928,exp,1,8,1,0,computerMouse,toyMouse,4,2,1,2,1
7812-0,1426093979062,exp,0,6,1,0,dollar,dollar,4,3,2,3,0
7812-0,1426094012040,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
5035-0,1426098936453,exp,1,7,3,0,mediumCandle,smallCandle,1,2,1,4,1
5035-0,1426099026388,exp,1,2,2,0,middleBlock,bottomBlock,3,3,3,4,1
7071-f,1426098914391,exp,1,2,2,0,middleBlock,bottomBlock,3,3,3,4,1
7071-f,1426099029348,exp,1,7,3,0,mediumCandle,smallCandle,1,2,1,4,1
7071-f,1426099041365,exp,1,7,3,1,mediumCandle,smallCandle,1,2,1,4,1
6696-5,1426099172146,exp,1,6,2,0,boardEraser,pencilEraser,2,3,1,2,1
4798-e,1426100538937,exp,1,3,3,0,cassetteTape,rollOfTape,3,2,4,2,1
4798-e,1426100600440,exp,1,7,3,0,mediumCandle,smallCandle,1,2,1,4,1
4798-e,1426100645084,base,0,6,1,0,dollar,dollar,4,3,2,3,0
4798-e,1426100649237,base,0,6,1,1,dollar,dollar,4,3,2,3,0
5071-3,1426100775779,exp,1,3,3,0,cassetteTape,rollOfTape,3,2,4,2,1
5071-3,1426100813791,base,1,4,1,0,mediumMeasuringCup,mediumMeasuringCup,4,4,4,2,0
5071-3,1426100903454,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1,1
5071-3,1426100977155,exp,1,8,1,0,computerMouse,toyMouse,4,2,1,2,1
5071-3,1426101056893,base,0,1,0,0,airplane,airplane,3,1,1,1,0
5071-3,1426101069545,base,0,1,0,1,airplane,airplane,3,1,1,1,0
5071-3,1426101253364,exp,0,2,1,0,wrench,wrench,2,1,4,1,0
