subid,age.group,trial,correct,age,condition
M22,2,faces,1,2,Label
M22,2,houses,1,2,Label
M22,2,pasta,0,2,Label
M22,2,beds,0,2,Label
T22,2,beds,0,2.13,Label
T22,2,faces,0,2.13,Label
T22,2,houses,1,2.13,Label
T22,2,pasta,1,2.13,Label
T17,2,pasta,0,2.32,Label
T17,2,faces,0,2.32,Label
T17,2,houses,0,2.32,Label
T17,2,beds,0,2.32,Label
M3,2,faces,0,2.38,Label
M3,2,houses,1,2.38,Label
M3,2,pasta,1,2.38,Label
M3,2,beds,1,2.38,Label
T19,2,faces,0,2.47,Label
T19,2,houses,0,2.47,Label
T19,2,pasta,1,2.47,Label
T19,2,beds,1,2.47,Label
T20,2,faces,1,2.5,Label
T20,2,houses,1,2.5,Label
T20,2,pasta,0,2.5,Label
T20,2,beds,1,2.5,Label
T21,2,faces,1,2.58,Label
T21,2,houses,1,2.58,Label
T21,2,pasta,1,2.58,Label
T21,2,beds,0,2.58,Label
M26,2,faces,1,2.59,Label
M26,2,houses,1,2.59,Label
M26,2,pasta,0,2.59,Label
M26,2,beds,1,2.59,Label
T18,2,faces,1,2.61,Label
T18,2,houses,0,2.61,Label
T18,2,pasta,1,2.61,Label
T18,2,beds,0,2.61,Label
T12,2,beds,0,2.72,Label
T12,2,faces,0,2.72,Label
T12,2,houses,1,2.72,Label
T12,2,pasta,0,2.72,Label
T16,2,faces,1,2.73,Label
T16,2,houses,0,2.73,Label
T16,2,pasta,1,2.73,Label
T16,2,beds,1,2.73,Label
T7,2,faces,1,2.74,Label
T7,2,houses,0,2.74,Label
T7,2,pasta,0,2.74,Label
T7,2,beds,0,2.74,Label
T9,2,houses,0,2.79,Label
T9,2,faces,1,2.79,Label
T9,2,pasta,0,2.79,Label
T9,2,beds,1,2.79,Label
T5,2,faces,1,2.8,Label
T5,2,houses,1,2.8,Label
T5,2,pasta,0,2.8,Label
T5,2,beds,1,2.8,Label
T14,2,faces,1,2.83,Label
T14,2,houses,1,2.83,Label
T14,2,pasta,0,2.83,Label
T14,2,beds,1,2.83,Label
T2,2,houses,0,2.83,Label
T2,2,faces,0,2.83,Label
T2,2,pasta,1,2.83,Label
T2,2,beds,1,2.83,Label
T15,2,faces,0,2.85,Label
T15,2,houses,0,2.85,Label
T15,2,pasta,1,2.85,Label
T15,2,beds,0,2.85,Label
M13,2,houses,0,2.88,Label
M13,2,beds,1,2.88,Label
M13,2,faces,1,2.88,Label
M13,2,pasta,0,2.88,Label
M12,2,faces,1,2.88,Label
M12,2,houses,0,2.88,Label
M12,2,pasta,1,2.88,Label
M12,2,beds,0,2.88,Label
T13,2,beds,0,2.89,Label
T13,2,faces,0,2.89,Label
T13,2,houses,1,2.89,Label
T13,2,pasta,1,2.89,Label
T8,2,faces,1,2.91,Label
T8,2,houses,0,2.91,Label
T8,2,pasta,1,2.91,Label
T8,2,beds,1,2.91,Label
T1,2,faces,1,2.95,Label
T1,2,houses,0,2.95,Label
T1,2,pasta,0,2.95,Label
T1,2,beds,1,2.95,Label
M15,2,faces,1,2.98,Label
M15,2,houses,1,2.98,Label
M15,2,pasta,1,2.98,Label
M15,2,beds,1,2.98,Label
T11,2,faces,1,2.99,Label
T11,2,houses,0,2.99,Label
T11,2,pasta,1,2.99,Label
T11,2,beds,1,2.99,Label
T10,2,faces,0,3,Label
T10,2,houses,1,3,Label
T10,2,pasta,1,3,Label
T10,2,beds,1,3,Label
T3,3,faces,1,3.09,Label
T3,3,houses,1,3.09,Label
T3,3,pasta,1,3.09,Label
T3,3,beds,1,3.09,Label
T6,3,faces,1,3.1,Label
T6,3,houses,1,3.1,Label
T6,3,pasta,1,3.1,Label
T6,3,beds,1,3.1,Label
M32,3,beds,1,3.19,Label
M32,3,faces,1,3.19,Label
M32,3,houses,0,3.19,Label
M32,3,pasta,1,3.19,Label
M1,3,faces,0,3.2,Label
M1,3,beds,1,3.2,Label
M1,3,pasta,0,3.2,Label
M1,3,houses,0,3.2,Label
C16,3,faces,0,3.22,Label
C16,3,houses,0,3.22,Label
C16,3,pasta,1,3.22,Label
C16,3,beds,1,3.22,Label
T4,3,faces,1,3.24,Label
T4,3,houses,0,3.24,Label
T4,3,pasta,0,3.24,Label
T4,3,beds,1,3.24,Label
C17,3,faces,1,3.25,Label
C17,3,houses,0,3.25,Label
C17,3,pasta,1,3.25,Label
C17,3,beds,0,3.25,Label
C6,3,faces,0,3.26,Label
C6,3,houses,1,3.26,Label
C6,3,pasta,1,3.26,Label
C6,3,beds,1,3.26,Label
M10,3,faces,1,3.28,Label
M10,3,houses,1,3.28,Label
M10,3,beds,1,3.28,Label
M10,3,pasta,1,3.28,Label
M31,3,faces,0,3.3,Label
M31,3,houses,1,3.3,Label
M31,3,pasta,1,3.3,Label
M31,3,beds,1,3.3,Label
C3,3,houses,0,3.46,Label
C3,3,pasta,1,3.46,Label
