gameid, time, condition, critical, objectSet, targetX, targetY, distractorX, distractorY, mouseX, mouseY
7206-6,1425803585465,base,0,3,93.75,231.25,none,none,300,304
7206-6,1425803585482,base,0,3,93.75,231.25,none,none,303,310
7206-6,1425803585499,base,0,3,93.75,231.25,none,none,307,318
7206-6,1425803585516,base,0,3,93.75,231.25,none,none,314,330
7206-6,1425803585533,base,0,3,93.75,231.25,none,none,317,341
7206-6,1425803585550,base,0,3,93.75,231.25,none,none,320,351
7206-6,1425803585567,base,0,3,93.75,231.25,none,none,322,362
7206-6,1425803585585,base,0,3,93.75,231.25,none,none,324,369
7206-6,1425803585602,base,0,3,93.75,231.25,none,none,325,375
7206-6,1425803585619,base,0,3,93.75,231.25,none,none,325,379
7206-6,1425803585636,base,0,3,93.75,231.25,none,none,325,382
7206-6,1425803585653,base,0,3,93.75,231.25,none,none,325,384
7206-6,1425803585670,base,0,3,93.75,231.25,none,none,322,385
7206-6,1425803586067,base,0,3,93.75,231.25,none,none,320,386
7206-6,1425803586083,base,0,3,93.75,231.25,none,none,315,391
7206-6,1425803586101,base,0,3,93.75,231.25,none,none,302,393
7206-6,1425803586118,base,0,3,93.75,231.25,none,none,287,395
7206-6,1425803586135,base,0,3,93.75,231.25,none,none,267,395
7206-6,1425803586152,base,0,3,93.75,231.25,none,none,247,394
7206-6,1425803586169,base,0,3,93.75,231.25,none,none,242,393
7206-6,1425803587574,base,0,3,93.75,231.25,none,none,241,393
7206-6,1425803587592,base,0,3,93.75,231.25,none,none,238,397
7206-6,1425803587608,base,0,3,93.75,231.25,none,none,232,402
7206-6,1425803587625,base,0,3,93.75,231.25,none,none,219,411
7206-6,1425803587642,base,0,3,93.75,231.25,none,none,207,416
7206-6,1425803587660,base,0,3,93.75,231.25,none,none,192,423
7206-6,1425803587677,base,0,3,93.75,231.25,none,none,172,429
7206-6,1425803595551,base,0,3,93.75,231.25,none,none,171,429
7206-6,1425803595569,base,0,3,93.75,231.25,none,none,159,429
7206-6,1425803595586,base,0,3,93.75,231.25,none,none,144,431
7206-6,1425803595603,base,0,3,93.75,231.25,none,none,125,438
7206-6,1425803595620,base,0,3,93.75,231.25,none,none,82,448
7206-6,1425803595638,base,0,3,93.75,231.25,none,none,46,456
