iterationName	gameid	trialNum	serverTime	context	occlusions	numObjsOccluded	numDistractors	names	gridXs	gridYs	occlusion1	occlusion2	clickedHiddenObj	intendedName	clickedName	correct	condition	responseRT	eventType
pilot1	0968-e4445c24-1f39-4502-8036-b314384dfde7	1	1578456068233	close	irrelevant	2	4	[checked_blue_star,striped_green_circle,spotted_blue_triangle,checked_black_square,wavy_black_square]	[1,1,1,3,3]	[2,1,3,1,2]	[1,2]	[1,3]	false	wavy_black_square	checked_black_square	false	scripted	9156	clickedObj
pilot1	0968-e4445c24-1f39-4502-8036-b314384dfde7	2	1578456076060	far	irrelevant	2	4	[spotted_green_circle,wavy_black_circle,striped_green_triangle,spotted_red_triangle,striped_red_star]	[2,3,3,1,1]	[1,3,1,2,1]	[2,1]	[3,1]	false	striped_red_star	striped_red_star	true	scripted	1870	clickedObj
pilot1	0968-e4445c24-1f39-4502-8036-b314384dfde7	3	1578456082637	far	irrelevant	1	2	[wavy_blue_star,striped_black_circle,wavy_green_triangle]	[2,1,1]	[1,2,1]	[2,1]	[3,1]	false	wavy_green_triangle	wavy_green_triangle	true	scripted	1572	clickedObj
pilot1	0968-e4445c24-1f39-4502-8036-b314384dfde7	4	1578456088508	far	irrelevant	1	3	[striped_black_square,spotted_blue_star,wavy_blue_square,striped_red_triangle]	[3,1,1,2]	[3,3,1,3]	[3,3]	[1,2]	false	striped_red_triangle	striped_red_triangle	true	scripted	1296	clickedObj
pilot1	0968-e4445c24-1f39-4502-8036-b314384dfde7	5	1578456097880	close	irrelevant	1	3	[wavy_black_square,spotted_black_circle,striped_black_star,striped_blue_star]	[1,2,2,1]	[2,3,1,1]	[2,3]	[3,3]	false	striped_blue_star	striped_blue_star	true	scripted	1378	clickedObj
pilot1	0968-e4445c24-1f39-4502-8036-b314384dfde7	6	1578456104626	far	irrelevant	1	2	[wavy_blue_circle,wavy_black_triangle,wavy_black_square]	[3,1,2]	[1,1,3]	[3,1]	[3,3]	false	wavy_black_square	wavy_black_square	true	scripted	1591	clickedObj
pilot1	0968-e4445c24-1f39-4502-8036-b314384dfde7	7	1578456111347	far	irrelevant	1	2	[striped_blue_triangle,striped_green_square,spotted_blue_circle]	[3,1,2]	[1,3,1]	[1,3]	[3,3]	false	spotted_blue_circle	spotted_blue_circle	true	scripted	1717	clickedObj
pilot1	0968-e4445c24-1f39-4502-8036-b314384dfde7	8	1578456120819	close	critical	2	3	[checked_blue_circle,striped_blue_square,wavy_blue_triangle,striped_blue_circle]	[3,3,1,2]	[2,1,2,1]	[3,2]	[1,2]	false	striped_blue_circle	striped_blue_circle	true	scripted	1250	clickedObj
pilot1	0968-e4445c24-1f39-4502-8036-b314384dfde7	9	1578456127521	close	irrelevant	1	2	[spotted_red_square,striped_blue_circle,spotted_blue_square]	[2,1,3]	[3,2,2]	[1,2]	[1,1]	false	spotted_blue_square	spotted_blue_square	true	scripted	1692	clickedObj
pilot1	0968-e4445c24-1f39-4502-8036-b314384dfde7	10	1578456133708	far	irrelevant	1	2	[checked_red_square,wavy_red_star,wavy_green_triangle]	[3,1,1]	[3,1,2]	[1,1]	[1,3]	false	wavy_green_triangle	wavy_green_triangle	true	scripted	1370	clickedObj
pilot1	0968-e4445c24-1f39-4502-8036-b314384dfde7	11	1578456139951	far	irrelevant	2	4	[striped_black_circle,striped_red_star,spotted_black_star,wavy_black_star,striped_red_square]	[2,3,3,1,1]	[3,1,2,1,2]	[2,3]	[3,2]	false	striped_red_square	striped_red_square	true	scripted	1305	clickedObj
