,attemptNum,attemptedObject,attemptedX,attemptedY,condition,correct,critical,eventType,gameid,instructionNum,intendedX,intendedY,iterationName,objectSet,responseTime,serverTime,targetObject,trialNum,trialType
0,0,magnet,2,4,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,2,4,planned_sample,7,6833,1522820525906.0,magnet,1,base
1,0,handcuffs,4,3,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,4,3,planned_sample,7,3323,1522820544569.0,handcuffs,1,base
2,0,pandaToy,3,2,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,3,2,planned_sample,7,3781,1522820558685.0,pandaToy,1,base
3,0,mediumCandle,1,2,unscripted,correct,True,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,1,2,planned_sample,7,10798,1522820581083.0,mediumCandle,1,base
4,0,scissors,2,2,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,2,2,planned_sample,3,24039,1522820621807.0,scissors,2,exp
5,0,knife,3,4,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,3,4,planned_sample,3,3266,1522820636769.0,knife,2,exp
6,0,barOfSoap,3,3,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,3,3,planned_sample,3,3557,1522820650196.0,barOfSoap,2,exp
7,0,cassetteTape,3,2,unscripted,correct,True,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,3,2,planned_sample,3,3830,1522820666318.0,cassetteTape,2,exp
8,0,comb,1,1,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,1,1,planned_sample,8,3346,1522820679785.0,comb,3,exp
9,1,toyMouse,1,2,unscripted,incorrect,True,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,4,2,planned_sample,8,2389,1522820693088.0,computerMouse,3,exp
10,0,computerMouse,4,2,unscripted,correct,True,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,4,2,planned_sample,8,4620,1522820707807.0,computerMouse,3,exp
11,0,castIronPan,3,3,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,3,3,planned_sample,8,3713,1522820723253.0,castIronPan,3,exp
12,0,piano,1,4,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,1,4,planned_sample,8,3380,1522820736846.0,piano,3,exp
13,0,airplane,3,1,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,3,1,planned_sample,1,5621,1522820758808.0,airplane,4,base
14,0,sunGlasses,4,4,unscripted,correct,True,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,4,4,planned_sample,1,4217,1522820775829.0,sunGlasses,4,base
15,0,barrel,4,3,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,4,3,planned_sample,1,2859,1522820789805.0,barrel,4,base
16,0,saxophone,2,3,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,2,3,planned_sample,1,3598,1522820807203.0,saxophone,4,base
17,0,basketball,3,2,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,3,2,planned_sample,5,3079,1522820822697.0,basketball,5,exp
18,1,hairBrush,3,1,unscripted,incorrect,True,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,2,4,planned_sample,5,5103,1522820853111.0,roundBrush,5,exp
19,0,roundBrush,2,4,unscripted,correct,True,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,2,4,planned_sample,5,7621,1522820885060.0,roundBrush,5,exp
20,0,headphones,3,3,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,3,3,planned_sample,5,3836,1522820903749.0,headphones,5,exp
21,0,book,3,1,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,3,1,planned_sample,5,2616,1522820927685.0,book,5,exp
22,0,carrot,2,3,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,2,3,planned_sample,4,2464,1522820947782.0,carrot,6,exp
23,0,mediumMeasuringCup,4,4,unscripted,correct,True,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,4,4,planned_sample,4,13066,1522820975319.0,mediumMeasuringCup,6,exp
24,0,waterBottle,2,2,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,2,2,planned_sample,4,4103,1522820993355.0,waterBottle,6,exp
25,0,chair,3,2,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,3,2,planned_sample,4,2857,1522821011644.0,chair,6,exp
26,0,binoculars,2,4,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,2,4,planned_sample,2,2988,1522821027734.0,binoculars,7,base
27,0,wrench,2,1,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,2,1,planned_sample,2,3730,1522821046601.0,wrench,7,base
28,0,middleBlock,3,3,unscripted,correct,True,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,3,3,planned_sample,2,3762,1522821067864.0,middleBlock,7,base
29,0,coffeeMug,2,2,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,2,2,planned_sample,2,4079,1522821090033.0,coffeeMug,7,base
30,0,banana,4,2,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,0,4,2,planned_sample,6,8568,1522821111353.0,banana,8,base
31,0,dollar,4,3,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,1,4,3,planned_sample,6,1930,1522821125263.0,dollar,8,base
32,0,boardEraser,2,3,unscripted,correct,True,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,2,2,3,planned_sample,6,4675,1522821146693.0,boardEraser,8,base
33,0,feather,2,4,unscripted,correct,False,drop,0043-06d2e329-051d-4c4b-898a-1b45447c5290,3,2,4,planned_sample,6,2688,1522821162052.0,feather,8,base
34,0,scissors,2,2,scripted,correct,False,drop,0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,0,2,2,planned_sample,3,5555,1522819897637.0,scissors,1,base
35,0,knife,3,4,scripted,correct,False,drop,0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,1,3,4,planned_sample,3,4662,1522819926926.0,knife,1,base
36,0,barOfSoap,3,3,scripted,correct,False,drop,0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,2,3,3,planned_sample,3,10115,1522819950942.0,barOfSoap,1,base
37,0,cassetteTape,3,2,scripted,correct,True,drop,0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,3,3,2,planned_sample,3,3870,1522819963530.0,cassetteTape,1,base
38,0,comb,1,1,scripted,correct,False,drop,0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,0,1,1,planned_sample,8,3144,1522819985983.0,comb,2,exp
39,1,toyMouse,1,2,scripted,incorrect,True,drop,0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,0,4,2,planned_sample,8,3014,1522820001773.0,computerMouse,2,exp
40,2,toyMouse,1,2,scripted,incorrect,True,drop,0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,0,4,2,planned_sample,8,10321,1522820065108.0,computerMouse,2,exp
41,0,computerMouse,4,2,scripted,correct,True,drop,0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,1,4,2,planned_sample,8,3949,1522820122741.0,computerMouse,2,exp
42,0,castIronPan,3,3,scripted,correct,False,drop,0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,2,3,3,planned_sample,8,5387,1522820143948.0,castIronPan,2,exp
43,0,piano,1,4,scripted,correct,False,drop,0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,3,1,4,planned_sample,8,5918,1522820188383.0,piano,2,exp
44,0,carrot,2,3,scripted,correct,False,drop,0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,0,2,3,planned_sample,4,3878,1522820203948.0,carrot,3,exp
