gameid, time, condition, critical, objectSet, instructionNum, attemptNum, intendedObj, actualObj, intendedX, intendedY, actualX, actualY
3982-9,undefined,exp,0,6,1,0,dollar,dollar,4,3,5,3
3982-9,undefined,base,1,4,1,0,mediumMeasuringCup,smallMeasuringCup,4,4,3,2
3982-9,undefined,exp,1,5,1,0,roundBrush,hairBrush,2,4,3,1
3982-9,undefined,exp,1,5,1,1,roundBrush,hairBrush,2,4,3,1
3982-9,undefined,exp,1,5,1,2,roundBrush,hairBrush,2,4,3,1
3982-9,undefined,exp,1,8,1,0,computerMouse,toyMouse,4,2,2,3
3982-9,undefined,exp,1,8,1,1,computerMouse,key,4,2,2,3
3982-9,undefined,exp,1,8,1,2,computerMouse,computerMouse,4,2,3,3
3982-9,undefined,exp,1,8,1,3,computerMouse,castIronPan,4,2,4,4
3982-9,undefined,exp,1,8,1,4,computerMouse,piano,4,2,1,4
3982-9,undefined,exp,1,8,1,5,computerMouse,comb,4,2,2,1
3982-9,undefined,exp,1,8,1,6,computerMouse,key,4,2,3,2
3982-9,undefined,exp,1,8,1,7,computerMouse,key,4,2,2,3
3982-9,undefined,exp,1,8,1,8,computerMouse,key,4,2,1,2
3982-9,undefined,exp,1,8,1,9,computerMouse,key,4,2,2,1
3982-9,undefined,exp,1,8,1,10,computerMouse,computerMouse,4,2,4,4
3982-9,undefined,exp,1,8,1,11,computerMouse,computerMouse,4,2,3,3
3982-9,undefined,exp,0,8,2,0,castIronPan,piano,3,3,2,3
3982-9,undefined,exp,0,8,2,1,castIronPan,piano,3,3,1,4
3982-9,undefined,exp,0,8,2,2,castIronPan,castIronPan,3,3,4,4
3982-9,undefined,exp,0,8,3,0,piano,key,1,4,3,2
3982-9,undefined,exp,0,8,3,1,piano,key,1,4,2,1
3982-9,undefined,exp,0,8,3,2,piano,key,1,4,1,2
3982-9,undefined,exp,0,8,3,3,piano,toyMouse,1,4,2,3
3982-9,undefined,exp,0,8,3,4,piano,toyMouse,1,4,1,2
3982-9,undefined,exp,0,8,3,5,piano,toyMouse,1,4,1,4
3982-9,undefined,exp,0,8,3,6,piano,computerMouse,1,4,3,2
3982-9,undefined,exp,0,8,3,7,piano,computerMouse,1,4,4,1
3982-9,undefined,exp,0,8,3,8,piano,computerMouse,1,4,4,3
3982-9,undefined,exp,0,8,3,9,piano,comb,1,4,2,1
3982-9,undefined,exp,0,8,3,10,piano,comb,1,4,1,2
3982-9,undefined,exp,0,8,3,11,piano,piano,1,4,3,4
