gameid,trialNum,distractorType,context,hidden,numDistractors,colorMention,shapeMention,textureMention
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,3,color_shape,close,yes,2,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,4,shape_only,close,no,4,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,5,diff_shape,far,yes,4,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,6,diff_shape,far,yes,3,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,7,shape_only,close,no,3,TRUE,TRUE,FALSE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,8,diff_shape,far,no,4,FALSE,TRUE,FALSE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,9,diff_shape,far,yes,3,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,10,diff_shape,far,yes,3,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,11,shape_only,close,yes,3,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,12,shape_only,close,yes,3,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,13,shape_only,close,no,2,TRUE,TRUE,FALSE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,14,diff_shape,far,no,2,FALSE,TRUE,FALSE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,15,shape_only,close,no,4,TRUE,TRUE,FALSE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,16,diff_shape,far,no,2,FALSE,TRUE,FALSE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,17,diff_shape,far,no,2,FALSE,TRUE,FALSE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,18,shape_only,close,yes,3,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,19,shape_only,close,no,4,TRUE,TRUE,FALSE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,20,diff_shape,far,yes,2,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,21,color_shape,close,yes,2,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,22,diff_shape,far,yes,4,TRUE,TRUE,TRUE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,23,diff_shape,far,no,4,FALSE,TRUE,FALSE
0310-cab6f98f-b24b-45ce-9ff6-be1af7a9dc61,24,shape_only,close,no,4,TRUE,TRUE,FALSE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,1,texture_shape,close,no,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,2,diff_shape,far,no,3,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,3,texture_shape,close,yes,3,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,4,color_shape,close,no,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,5,diff_shape,far,no,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,6,diff_shape,far,yes,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,7,texture_shape,close,yes,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,8,diff_shape,far,yes,3,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,9,diff_shape,far,yes,4,TRUE,TRUE,TRUE
0539-797dcb91-2801-4f57-81f6-34ff2e567b5d,10,diff_shape,far,no,4,TRUE,TRUE,TRUE
