gameid,objectSet,label,exp
9693-5,3,tape,unscripted
8740-0,3,cassette,unscripted
8676-f,3,cassette,unscripted
8136-9,3,cassette,unscripted
8008-1,3,cassette,unscripted
7865-e,3,cassettetape,unscripted
7690-9,3,tape,unscripted
7316-5,3,cassettetape,unscripted
6811-a,3,cassette,unscripted
6794-e,3,cassettetape,unscripted
6008-1,3,tape,unscripted
5712-f,3,cassettetape,unscripted
5535-6,3,tape,unscripted
5266-a,3,clearaudiocassette,unscripted
5186-6,3,cassette,unscripted
4928-d,3,cassettetape,unscripted
4878-0,3,cassettetape,unscripted
4726-f,3,tape,unscripted
4726-4,3,cassettetape,unscripted
3558-0,3,cassette,unscripted
3247-a,3,tape,unscripted
2942-9,3,cassettetape,unscripted
2640-6,3,cassettetape,unscripted
2377-a,3,cassettetape,unscripted
2255-1,3,cassette,unscripted
1408-9,3,cassette,unscripted
1383-5,3,tape,unscripted
1264-4,3,cassettetape,unscripted
1184-c,3,tape,unscripted
0366-3,3,cassettetape,unscripted
0226-8,3,cassettetape,unscripted
