objectSet,target,distractor
1,target_1,distractor_1
2,target_2,distractor_2
3,target_3,distractor_3
4,target_4,distractor_4
5,target_5,distractor_5
6,target_6,distractor_6
7,target_7,distractor_7
8,target_8,distractor_8
